tipo_decision,alcance,algorithm,init,run,seed,Compacidad,Tolerancia,Disimilitud,Balance
Compromise (ASF),Global,SMSEMOA,greedy_ting,5,318071043,259.0,62.0,106.71719858156028,231.0804843506363
Pseudo-Weights Match,Global,SPEA2,greedy_ting,26,900710768,289.0,60.0,119.84929078014184,530.314166163674
Mejor Knee Point,Global,SMSEMOA,random_dense,17,1505919470,344.0,87.0,142.33156028368793,385.9468053669334
Compromise (ASF),Local,SPEA2,random_dense,6,990272917,399.0,62.0,156.63209219858157,633.489643849656
Pseudo-Weights Match,Local,SPEA2,random_dense,6,990272917,391.0,63.0,157.5913120567376,757.7718039522672
Mejor Knee Point,Local,SPEA2,random_dense,6,990272917,351.0,51.0,138.72163120567376,496.84804272923935
Compromise (ASF),Local,SPEA2,random_dense,6,990272917,349.0,73.0,138.1790780141844,512.2799878024247
Pseudo-Weights Match,Local,SPEA2,random_dense,6,990272917,441.0,69.0,172.81560283687944,815.7106785372952
Mejor Knee Point,Local,SPEA2,random_dense,6,990272917,452.0,91.0,177.86170212765958,919.7751999396406
Compromise (ASF),Local,SPEA2,random_dense,6,990272917,403.0,69.0,163.51507092198582,841.5547374063174
Pseudo-Weights Match,Local,SPEA2,random_dense,6,990272917,403.0,69.0,163.51507092198582,841.5547374063174
Mejor Knee Point,Local,SPEA2,random_dense,6,990272917,399.0,62.0,156.63209219858157,633.489643849656
Compromise (ASF),Local,SPEA2,random_dense,6,990272917,342.0,55.0,136.0904255319149,483.03083031537636
Pseudo-Weights Match,Local,SPEA2,random_dense,6,990272917,344.0,60.0,133.40248226950354,432.5224051858552
Mejor Knee Point,Local,SPEA2,random_dense,6,990272917,333.0,71.0,130.1054964539007,427.0128066684276
Compromise (ASF),Local,SPEA2,random_dense,6,990272917,391.0,77.0,153.24202127659575,600.8678441413911
Pseudo-Weights Match,Local,SPEA2,random_dense,6,990272917,415.0,77.0,164.8927304964539,792.5000180763045
Mejor Knee Point,Local,SPEA2,random_dense,6,990272917,445.0,91.0,170.33244680851064,723.1510039422064
Compromise (ASF),Local,SPEA2,random_dense,6,990272917,340.0,55.0,133.76152482269504,443.5663565401642
Pseudo-Weights Match,Local,SPEA2,random_dense,6,990272917,435.0,74.0,173.61436170212767,884.4000419684627
Mejor Knee Point,Local,SPEA2,random_dense,6,990272917,483.0,105.0,185.92641843971631,977.9121389454757
Compromise (ASF),Local,SPEA2,random_dense,6,990272917,462.0,88.0,180.09485815602838,903.9369239160508
Pseudo-Weights Match,Local,SPEA2,random_dense,6,990272917,440.0,99.0,169.91843971631207,754.5536316080666
Mejor Knee Point,Local,SPEA2,random_dense,6,990272917,416.0,63.0,165.12765957446808,729.4269654443939
Compromise (ASF),Local,SPEA2,random_dense,6,990272917,356.0,71.0,136.94769503546098,480.859852843167
