Compacidad,Tolerancia,Disimilitud,Balance
7.0,1.0,3.381205673758865,1.5816325889039693
10.0,2.0,5.01063829787234,2.2552059755545386
20.0,5.0,10.157801418439716,5.258786655600843
26.0,7.0,12.826241134751774,6.062006438307922
38.0,11.0,18.5531914893617,10.80036215482116
54.0,15.0,26.19503546099291,20.720826417182234
39.0,11.0,19.72163120567376,14.369319324983616
47.0,13.0,22.322695035460992,14.349768623308705
16.0,3.0,8.134751773049645,3.8329057894472114
42.0,12.0,19.986702127659573,12.186879904180017
43.0,12.0,21.6604609929078,17.43701822720184
44.0,12.0,20.791666666666668,12.393653959810935
32.0,9.0,15.868794326241135,8.89413258890397
46.0,13.0,22.49645390070922,16.285448418087626
31.0,6.0,15.76418439716312,15.827369724862914
47.0,13.0,23.407801418439718,19.82305970524601
56.0,12.0,27.911347517730498,28.708452794125073
39.0,5.0,19.62854609929078,12.82567448191742
50.0,14.0,24.80673758865248,19.49811063326791
44.0,10.0,22.333333333333332,23.991725768321434
40.0,7.0,18.56648936170213,10.295224554851362
22.0,4.0,11.177304964539006,9.2912579850108
58.0,13.0,28.881205673758867,30.251845354861366
49.0,13.0,24.656028368794328,24.505796992102947
53.0,13.0,26.486702127659573,27.20904302474727
27.0,1.0,13.74290780141844,14.455180197173263
36.0,10.0,18.031028368794328,11.168363481464718
37.0,10.0,18.76063829787234,15.300862003923324
36.0,8.0,18.27659574468085,17.512147276294154
39.0,8.0,19.81737588652482,22.370903752326267
45.0,8.0,22.659574468085108,18.4514863437453
37.0,10.0,17.31826241134752,9.413779959509123
37.0,10.0,18.71631205673759,13.27058498063476
43.0,11.0,20.06028368794326,11.49281977767717
41.0,12.0,20.56382978723404,14.348762637694302
38.0,11.0,19.03191489361702,11.88905236155123
28.0,8.0,13.970744680851064,7.051449090840509
32.0,8.0,16.236702127659573,12.29414940772616
21.0,2.0,10.506205673758865,5.526557234294029
55.0,15.0,27.074468085106382,24.058284291534605
48.0,14.0,23.42109929078014,16.529235670992545
45.0,8.0,22.004432624113477,14.7366824795031
34.0,7.0,15.689716312056738,7.726419068457349
31.0,1.0,15.77127659574468,14.429955107891928
36.0,4.0,18.30939716312057,21.123245026658935
36.0,9.0,16.375,8.312389184397164
24.0,5.0,11.804078014184396,5.4359053556159065
24.0,1.0,12.215425531914894,10.910152123887148
57.0,14.0,27.304078014184398,22.607004646396085
48.0,10.0,23.01063829787234,15.187830089029752
35.0,4.0,17.59840425531915,10.63925277274789
47.0,10.0,21.60904255319149,13.193783480458766
47.0,11.0,21.854609929078013,13.567514209546829
36.0,4.0,18.273936170212767,15.668753300890279
30.0,6.0,14.000886524822695,6.821807724712061
18.0,4.0,9.120567375886525,5.0563854936874435
31.0,8.0,15.615248226950355,9.132107917106763
40.0,11.0,20.1968085106383,16.91516711936018
55.0,14.0,25.85372340425532,19.275588973140184
40.0,9.0,18.54609929078014,10.098938685176671
38.0,9.0,19.29255319148936,19.230015467028835
61.0,15.0,29.33421985815603,27.059396377194336
51.0,12.0,23.884751773049647,16.19948380363155
56.0,11.0,26.541666666666668,20.64897310874699
53.0,12.0,24.842198581560282,17.421907222976756
44.0,8.0,22.298758865248228,21.785743140435542
47.0,10.0,23.706560283687942,21.12931866480569
50.0,14.0,24.423758865248228,17.327520622705105
48.0,12.0,22.14450354609929,14.088161278356145
37.0,4.0,18.61081560283688,11.711124157487038
43.0,12.0,21.416666666666668,15.259013002364108
33.0,5.0,16.77836879432624,14.209744856898523
47.0,12.0,22.91223404255319,15.415169477138946
43.0,7.0,21.65514184397163,16.74898065363915
30.0,5.0,15.25709219858156,16.91262700568383
38.0,7.0,19.29432624113475,20.15450681555255
51.0,13.0,24.281028368794328,16.866945041748366
34.0,5.0,16.007978723404257,8.101886694582774
52.0,11.0,24.824468085106382,18.373443866002688
16.0,1.0,8.150709219858156,7.289343468638396
43.0,10.0,21.759751773049647,20.909479371007414
56.0,12.0,26.397163120567377,20.93091393793068
33.0,7.0,16.763297872340427,14.097340897087866
45.0,12.0,21.99468085106383,14.421957522257467
50.0,12.0,24.95921985815603,21.17918804386095
52.0,11.0,26.19060283687943,26.71101098410584
51.0,13.0,24.877659574468087,20.59850799758564
36.0,8.0,18.25,15.128989361702128
28.0,6.0,14.203014184397164,12.15293417710373
46.0,12.0,23.26418439716312,21.57205057592682
49.0,12.0,24.64450354609929,23.39933149112219
51.0,14.0,25.132978723404257,21.776642900256505
26.0,4.0,12.398936170212766,5.943686811528608
49.0,11.0,23.66578014184397,15.859041767265175
31.0,8.0,15.093971631205674,8.023084226145578
24.0,5.0,12.152482269503546,7.324266887983521
26.0,6.0,13.203014184397164,9.186622120366188
39.0,7.0,19.71985815602837,13.92506664654699
39.0,10.0,18.26418439716312,10.767086036919704
32.0,6.0,16.252659574468087,13.307617040138869
44.0,11.0,22.20921985815603,20.92785825662696
37.0,7.0,17.074468085106382,8.895163724158762
29.0,2.0,14.759751773049645,18.15947937100739
47.0,9.0,21.995567375886523,14.119661202907347
40.0,7.0,20.268617021276597,16.313483193752873
22.0,3.0,11.138297872340425,8.034065187867837
58.0,14.0,28.604609929078013,27.05643264926304
45.0,10.0,22.645390070921987,17.597656053518456
47.0,9.0,23.641843971631207,18.8575398621799
35.0,7.0,17.78368794326241,14.722712640209307
40.0,9.0,20.243794326241133,16.145351560535197
24.0,3.0,12.047872340425531,6.263665685830694
42.0,10.0,19.35195035460993,10.80609548689712
51.0,10.0,24.96631205673759,19.25773037070567
35.0,6.0,17.754432624113477,13.899803046878883
47.0,11.0,22.5531914893617,14.967028821487846
33.0,8.0,16.36968085106383,9.245428266938267
42.0,11.0,21.173758865248228,17.57619083547107
41.0,8.0,18.99290780141844,10.556687289371744
30.0,7.0,15.217198581560284,9.407612010210753
36.0,7.0,18.18794326241135,12.266095769830475
37.0,9.0,17.495567375886523,9.457427160354072
54.0,12.0,26.43794326241135,23.084801443589416
27.0,3.0,13.40514184397163,7.460860086263283
40.0,8.0,20.295212765957448,18.894232401539057
19.0,3.0,9.632978723404255,6.159621623660756
34.0,8.0,17.15336879432624,13.651123402997877
44.0,10.0,22.27304964539007,19.25168502590404
41.0,5.0,20.645390070921987,14.884890096071636
40.0,10.0,20.227836879432623,15.294721562044126
49.0,10.0,24.752659574468087,24.48935462879131
45.0,10.0,22.29078014184397,15.209773150243935
41.0,11.0,20.592198581560282,14.72022282581379
34.0,6.0,17.281028368794328,17.152406034656153
55.0,13.0,26.023936170212767,19.888611456918632
37.0,9.0,18.749113475177303,15.186169426839704
45.0,9.0,22.73936170212766,20.410791081937607
34.0,7.0,17.088652482269502,10.215544992706599
29.0,4.0,14.693262411347519,10.749883682913419
22.0,4.0,10.28014184397163,4.99598863236253
36.0,7.0,18.29964539007092,17.637162994819214
43.0,9.0,21.781028368794328,23.22776064458532
51.0,12.0,24.918439716312058,19.20965997686238
32.0,7.0,16.233156028368793,11.43411344374024
29.0,3.0,14.74113475177305,12.982634173331359
42.0,9.0,21.252659574468087,20.334212784819666
40.0,7.0,20.32890070921986,23.11079595468055
48.0,13.0,23.69148936170213,18.05375735626989
54.0,14.0,26.93439716312057,25.772292012474203
41.0,11.0,19.27127659574468,11.490238795835259
34.0,7.0,17.24290780141844,12.483548991499383
38.0,9.0,19.218971631205672,13.623150715507231
26.0,4.0,13.00709219858156,8.351013530506487
43.0,10.0,21.39982269503546,14.724007060761489
24.0,6.0,11.457446808510639,5.336841708163523
27.0,6.0,13.326241134751774,6.283637643981664
54.0,10.0,24.986702127659573,17.947518202052326
54.0,11.0,26.656028368794328,24.12991046728028
42.0,8.0,21.247340425531913,17.340418458578526
52.0,12.0,25.999113475177303,27.077126873648183
27.0,4.0,13.72517730496454,14.452841280619701
49.0,11.0,24.42464539007092,19.630846505457455
34.0,3.0,17.29255319148936,19.173277878376364
35.0,9.0,17.745567375886523,13.473384607162702
25.0,2.0,12.72340425531915,15.551154368492735
32.0,7.0,15.913120567375886,9.758409410995439
58.0,13.0,27.652482269503547,25.049444192948002
44.0,11.0,21.002659574468087,13.681730515316142
28.0,7.0,13.61968085106383,7.049506281122691
36.0,6.0,18.039893617021278,11.167734740455646
61.0,15.0,29.95567375886525,30.724985538956847
26.0,5.0,13.209219858156029,9.481049745988654
36.0,9.0,18.03014184397163,11.048736859312884
38.0,8.0,19.24822695035461,16.427745083245334
30.0,7.0,14.445035460992909,7.684922161863094
41.0,8.0,20.245567375886523,13.066469713545542
40.0,9.0,20.0354609929078,13.644132588903947
41.0,11.0,20.13741134751773,13.349025922991814
41.0,10.0,20.38209219858156,13.370849523414378
29.0,5.0,14.290780141843971,8.387078114782943
39.0,6.0,19.789893617021278,18.99752197449827
39.0,6.0,19.65514184397163,13.511392001156919
15.0,1.0,7.552304964539007,3.9688953963583313
45.0,12.0,22.34308510638298,16.877859985664678
