Compacidad,Tolerancia,Disimilitud,Balance
431.0,94.0,158.63031914893617,617.1089034442444
413.0,85.0,155.85283687943263,678.1733784769364
395.0,69.0,139.0921985815603,406.8922086414153
386.0,77.0,133.40691489361703,365.74665431190607
397.0,76.0,143.58156028368793,449.32845430310323
359.0,77.0,131.00797872340425,457.344794496001
294.0,57.0,104.7331560283688,257.11407798274746
327.0,68.0,119.38918439716312,344.65793266812534
334.0,63.0,126.58156028368795,470.8213621045215
377.0,64.0,139.97340425531914,472.51347706352766
449.0,94.0,165.8368794326241,741.604597354258
334.0,55.0,123.052304964539,361.6470868857205
419.0,94.0,149.30762411347519,517.5374596033896
450.0,86.0,165.479609929078,711.5758253797599
438.0,94.0,154.95744680851064,564.8527991549727
392.0,87.0,146.09397163120568,544.4911693325286
377.0,79.0,142.9459219858156,565.5227847882402
308.0,66.0,111.0709219858156,302.5694381570345
439.0,85.0,156.74202127659575,589.8244044250803
333.0,76.0,123.62056737588652,416.13617272773
363.0,67.0,129.17641843971631,357.881110576681
301.0,54.0,111.82358156028369,339.1701176688797
350.0,70.0,120.96719858156028,293.39697371233945
416.0,86.0,145.38475177304966,450.8271433781002
369.0,85.0,138.3537234042553,507.32789393767916
387.0,85.0,137.70212765957447,430.6524068205829
415.0,76.0,152.76063829787233,567.1093726422207
321.0,70.0,112.23847517730496,258.14437072456076
355.0,78.0,125.23049645390071,330.01424727126386
321.0,59.0,114.54521276595744,286.1061118341637
301.0,49.0,110.20390070921985,277.96551669936036
428.0,78.0,151.82890070921985,512.7535264511338
471.0,95.0,168.68085106382978,715.71020069413
