Compacidad,Tolerancia,Disimilitud,Balance
239.0,50.0,84.37411347517731,179.9345071927969
240.0,50.0,85.40159574468085,195.82542298551368
239.0,44.0,85.48581560283688,204.83135908656502
231.0,47.0,79.90691489361703,160.88761175871443
232.0,44.0,81.93794326241135,169.9039503797596
259.0,56.0,93.98049645390071,243.98188911523582
248.0,54.0,88.97960992907801,194.18486793295085
262.0,51.0,95.5372340425532,263.9312377395503
253.0,55.0,90.03812056737588,204.4302844109954
247.0,51.0,84.05053191489361,165.78734014259834
268.0,44.0,98.11879432624113,284.01780280167145
259.0,44.0,91.51418439716312,216.20369951209682
252.0,48.0,85.03900709219859,165.4062798651981
280.0,61.0,102.42021276595744,291.5042722951557
271.0,61.0,97.36702127659575,236.83338048890874
264.0,57.0,91.2482269503546,192.6263266435291
293.0,56.0,107.93351063829788,334.95568554775906
279.0,60.0,100.72695035460993,254.23395452944993
273.0,59.0,95.47251773049645,202.62158515039482
298.0,46.0,104.75443262411348,289.3235619121271
283.0,52.0,97.17375886524823,211.25349580001023
306.0,65.0,112.97783687943263,339.8230903563703
294.0,67.0,106.79078014184397,279.58388662542086
284.0,64.0,101.23847517730496,229.06812958980913
310.0,66.0,113.07890070921985,310.5372143943971
298.0,65.0,105.02393617021276,246.78045542854986
337.0,57.0,120.11258865248227,364.59636634852296
315.0,59.0,110.27925531914893,269.385668948996
342.0,69.0,123.5,370.9237588652482
327.0,68.0,115.66400709219859,298.3613995460484
341.0,67.0,119.00620567375887,323.36255014209434
