Compacidad,Tolerancia,Disimilitud,Balance
7.0,1.0,3.381205673758865,1.5816325889039693
38.0,8.0,18.625,12.381538120567376
36.0,7.0,17.67641843971631,11.610720505759287
12.0,2.0,5.914893617021277,2.7658065489663213
36.0,7.0,17.359929078014183,11.14350070418994
10.0,1.0,5.070921985815603,2.363764398169107
26.0,6.0,12.414007092198581,5.678775432573795
22.0,4.0,10.652482269503546,4.772848448267186
23.0,4.0,11.163120567375886,5.058498063477702
25.0,6.0,12.522163120567376,5.822203831547698
25.0,5.0,11.90691489361702,5.384065659423568
23.0,5.0,11.039007092198581,4.9594713545596285
24.0,5.0,11.574468085106384,5.240908405009812
26.0,6.0,12.875,6.006538120567376
21.0,5.0,10.61436170212766,4.82380083371059
20.0,3.0,10.13918439716312,4.635769547557961
29.0,7.0,14.549645390070921,7.556045973542559
26.0,5.0,13.080673758865249,6.348988198531261
25.0,5.0,12.546099290780141,5.928725919219433
23.0,5.0,11.042553191489361,4.994643126603319
21.0,3.0,10.180851063829786,4.6445978572506075
25.0,6.0,12.51418439716312,5.799444192948056
19.0,3.0,9.62854609929078,4.300851786881948
26.0,6.0,13.02482269503546,6.141227805442393
22.0,3.0,10.684397163120567,4.822380664956478
24.0,5.0,11.546099290780141,5.191137266737159
30.0,7.0,15.115248226950355,8.298774583773515
24.0,5.0,12.043439716312056,5.600063345656644
13.0,1.0,6.12677304964539,2.9014817853729444
32.0,7.0,15.914007092198581,9.335690326190823
25.0,6.0,12.372340425531915,5.680511543684953
15.0,2.0,7.601950354609929,3.457691231577938
22.0,4.0,11.14982269503546,5.095460961470754
15.0,1.0,7.132978723404255,3.2199053116040464
25.0,6.0,12.053191489361701,5.486532367587162
23.0,4.0,11.067375886524824,4.967091695588767
32.0,8.0,16.13386524822695,10.006016265529885
23.0,4.0,11.191489361702128,5.101629696695346
27.0,6.0,13.463652482269504,6.452579567174636
25.0,5.0,12.078014184397164,5.649942155827188
24.0,4.0,12.163120567375886,5.79608671595997
24.0,6.0,12.011524822695035,5.477704057894466
22.0,4.0,10.560283687943262,4.696720486897035
26.0,5.0,13.15159574468085,6.648118020974788
30.0,7.0,14.910460992907801,7.790741631457173
24.0,5.0,11.670212765957446,5.359325486645563
28.0,6.0,13.97340425531915,6.974469971329422
23.0,5.0,11.358156028368795,5.162504401187052
21.0,4.0,10.63209219858156,4.915175764549085
22.0,5.0,11.11790780141844,5.050814062421414
28.0,6.0,13.85549645390071,6.949863406015736
33.0,7.0,16.43882978723404,10.083137637694255
25.0,5.0,12.641843971631205,6.020660429555842
22.0,5.0,10.656028368794326,4.849768623308675
14.0,2.0,7.0629432624113475,3.2238750251496326
21.0,5.0,10.490248226950355,4.666571569589004
21.0,4.0,10.053191489361701,4.436886977516231
28.0,6.0,14.039007092198581,7.225428801368126
27.0,6.0,12.956560283687944,6.119566891755939
21.0,4.0,10.177304964539006,4.574945928273243
24.0,4.0,11.428191489361701,5.175694601629708
27.0,6.0,13.47163120567376,6.518698757607798
28.0,6.0,13.824468085106384,6.635855213520452
28.0,6.0,13.50531914893617,6.4786951109099
18.0,3.0,8.64982269503546,3.8357091884210908
27.0,6.0,13.536347517730496,6.855061836678182
23.0,4.0,11.63209219858156,5.392126119159012
20.0,3.0,9.674645390070921,4.343612462904306
9.0,1.0,4.401595744680851,2.089607382676924
31.0,8.0,15.49822695035461,8.390067778280782
20.0,4.0,10.1072695035461,4.540798218147979
22.0,5.0,10.997340425531915,4.9441418628338765
19.0,3.0,9.163120567375886,4.122327850711737
16.0,2.0,7.6436170212765955,3.5077429455258726
22.0,5.0,10.53191489361702,4.678059453749823
24.0,5.0,12.015070921985815,5.527255136814035
20.0,3.0,9.550531914893616,4.204893334087824
23.0,5.0,11.504432624113475,5.186150564609435
22.0,5.0,10.851063829787234,4.88561943564207
27.0,6.0,13.49468085106383,6.755290855590754
23.0,4.0,11.536347517730496,5.326693042351947
28.0,7.0,14.166666666666666,7.447399527186733
31.0,7.0,15.695035460992909,9.708415069664499
23.0,5.0,11.62854609929078,5.3398588790805
24.0,5.0,11.865248226950355,5.389643378099685
19.0,4.0,9.50177304964539,4.216308913032545
14.0,1.0,6.625886524822695,2.9380532920879268
29.0,6.0,14.334219858156029,7.153368008399941
27.0,6.0,13.066489361702128,6.145401859815921
26.0,5.0,13.088652482269504,6.414126552990201
13.0,1.0,6.587765957446808,2.979885789195723
31.0,7.0,15.420212765957446,8.326967330617148
22.0,4.0,11.150709219858156,5.182960489914988
18.0,3.0,8.657801418439716,4.014105804536984
20.0,3.0,9.670212765957446,4.309680096574638
34.0,6.0,16.65514184397163,10.825221788390937
21.0,3.0,10.6427304964539,4.82005353729694
33.0,8.0,16.516843971631207,10.136241103314733
27.0,6.0,13.321808510638299,6.290942828580049
27.0,6.0,13.656028368794326,7.108633871535615
20.0,4.0,10.13563829787234,4.562276011015544
18.0,3.0,9.125886524822695,4.055074568683679
30.0,6.0,14.84485815602837,7.58320051179517
19.0,3.0,9.15691489361702,4.036547928927123
22.0,4.0,11.025709219858156,4.975402865801512
29.0,7.0,14.407801418439716,7.418804386097307
21.0,4.0,9.904255319148936,4.43409536743627
26.0,6.0,13.055851063829786,6.458760091293087
12.0,1.0,5.914893617021277,2.7409838539308624
25.0,5.0,12.64982269503546,6.1158510323927455
24.0,5.0,12.13918439716312,5.692507136210456
23.0,5.0,11.532801418439716,5.245377967657559
24.0,5.0,11.39982269503546,5.167269472109065
18.0,4.0,9.118794326241135,4.134824078265674
16.0,2.0,8.10904255319149,3.7106274520899394
27.0,6.0,13.687943262411348,7.232407826568091
26.0,5.0,13.180851063829786,6.7509808359739605
25.0,5.0,12.375886524822695,5.731049745988619
24.0,5.0,11.893617021276595,5.463859966802476
21.0,4.0,10.148936170212766,4.562924400181071
23.0,5.0,10.8927304964539,4.882996799708264
20.0,4.0,10.10372340425532,4.5202698242040125
27.0,5.0,13.59131205673759,6.761165654393645
16.0,1.0,8.11258865248227,4.025444362708125
23.0,4.0,11.652482269503546,5.435969015643063
33.0,8.0,16.22872340425532,8.99733099441676
