Compacidad,Tolerancia,Disimilitud,Balance
291.0,69.0,117.85726950354609,268.31207481389265
392.0,94.0,158.76329787234042,542.6718089821941
377.0,95.0,154.90691489361703,507.2298103402742
326.0,82.0,135.64361702127658,343.78079259091623
341.0,85.0,141.75531914893617,381.5642447563006
339.0,83.0,141.13209219858157,375.39833179291804
354.0,87.0,147.18085106382978,425.1906971480303
339.0,83.0,141.44858156028369,382.1250157185251
334.0,85.0,139.66578014184398,375.1888290013078
345.0,81.0,142.5531914893617,381.17624867964383
339.0,82.0,140.5868794326241,368.9676292691515
345.0,84.0,143.54166666666666,393.735852541369
371.0,91.0,152.00531914893617,473.80848234495284
352.0,86.0,145.63652482269504,406.5310063628586
347.0,86.0,144.2695035460993,401.11531110105136
349.0,85.0,145.0540780141844,406.3277493272468
337.0,81.0,140.50886524822695,372.7339639605655
342.0,85.0,142.76063829787233,390.77958540817906
342.0,82.0,141.05230496453902,370.3882216374935
342.0,83.0,142.0921985815603,381.5092299180107
318.0,71.0,131.0904255319149,329.6513976912634
332.0,82.0,138.44769503546098,363.47953369423124
350.0,86.0,144.56737588652481,398.94404205019936
345.0,85.0,144.15602836879432,401.40473316231686
344.0,82.0,142.65159574468086,383.4362385883506
341.0,83.0,142.20124113475177,383.78485661561297
370.0,92.0,151.68439716312056,467.52096222524136
343.0,83.0,142.75709219858157,386.8629816156137
339.0,85.0,141.395390070922,382.5599787485539
352.0,85.0,146.13475177304966,410.4641114632062
346.0,87.0,143.9122340425532,401.1616233778475
347.0,85.0,144.66046099290782,404.82886219883306
344.0,84.0,142.56117021276594,382.4891660064884
347.0,86.0,143.81028368794327,395.27251835923767
348.0,87.0,144.16666666666666,397.7204491725748
316.0,79.0,129.36702127659575,318.4894088577027
329.0,80.0,136.63741134751774,348.97579897263785
346.0,84.0,143.69237588652481,393.1952610218303
346.0,84.0,144.31471631205673,400.43552811101085
336.0,84.0,139.81205673758865,370.262549670539
339.0,82.0,140.90336879432624,373.35325106257216
337.0,83.0,140.57535460992906,373.497867782052
365.0,89.0,148.88120567375887,441.2908524470613
340.0,83.0,140.80939716312056,369.24115282807526
349.0,83.0,144.74290780141843,397.97291069362655
373.0,92.0,153.61081560283688,485.9930390511041
344.0,85.0,143.23581560283688,392.3628307177703
341.0,82.0,140.9468085106383,372.5361777576578
348.0,85.0,144.57978723404256,400.4404425079223
348.0,83.0,144.00886524822695,392.5495667974445
358.0,88.0,147.479609929078,430.53327218827076
362.0,88.0,147.91046099290782,433.0159189364218
342.0,81.0,142.81205673758865,389.8299255570645
342.0,86.0,142.50443262411346,392.5389874440429
344.0,84.0,142.76418439716312,387.8273697248629
349.0,86.0,145.31117021276594,407.35796033272936
366.0,90.0,149.72783687943263,441.27610454076773
337.0,81.0,139.770390070922,364.66979701096466
340.0,84.0,141.5913120567376,382.0909528884361
349.0,85.0,145.3945035460993,409.90199106559015
341.0,83.0,141.57712765957447,377.43022153689486
347.0,85.0,143.72163120567376,390.48988670087033
343.0,84.0,142.40514184397162,384.2959664692421
358.0,85.0,147.95656028368793,421.8802051896279
343.0,83.0,141.61613475177305,374.3198460527644
335.0,79.0,139.29521276595744,361.4846579334542
352.0,87.0,146.0,411.031914893617
338.0,81.0,140.3758865248227,370.5466525828686
352.0,85.0,145.39893617021278,403.4507790101104
347.0,86.0,144.74822695035462,405.8976032392733
343.0,85.0,142.91578014184398,391.6994672991801
347.0,81.0,143.94326241134752,392.9896886474526
349.0,86.0,144.44326241134752,399.27869573965097
344.0,82.0,143.31117021276594,390.93952061641744
346.0,85.0,143.71808510638297,395.7219424324737
353.0,84.0,146.03900709219857,408.5197550425026
338.0,84.0,140.1968085106383,367.23786215482136
371.0,89.0,152.60106382978722,479.0039704994716
338.0,84.0,140.86879432624113,378.9402318796836
342.0,85.0,142.62056737588654,389.7354635078719
306.0,76.0,126.84574468085107,316.4407443036061
345.0,84.0,143.08244680851064,386.96217415497193
344.0,83.0,143.14804964539007,389.0605281110103
337.0,82.0,140.6950354609929,376.5701171973239
330.0,81.0,137.30673758865248,351.2321531864596
334.0,84.0,138.9671985815603,364.82605172652427
339.0,85.0,140.70478723404256,373.39600545118475
349.0,84.0,145.08510638297872,404.32609023690924
344.0,85.0,143.5328014184397,396.4616900243942
366.0,91.0,151.15514184397162,459.5867466110853
348.0,82.0,144.35195035460993,395.7475848485997
342.0,81.0,142.00531914893617,378.39358872793144
351.0,88.0,145.38120567375887,409.9256042201079
339.0,83.0,140.48492907801418,371.3597019453241
345.0,84.0,143.90514184397162,397.69933526356874
339.0,83.0,140.73758865248226,371.7467431215737
350.0,87.0,145.3927304964539,407.9920393529
350.0,88.0,144.85106382978722,405.72604496755724
356.0,89.0,147.98936170212767,438.71619888335596
348.0,83.0,144.17021276595744,395.60932548664545
336.0,83.0,139.1427304964539,361.8918620479352
347.0,85.0,145.07712765957447,410.58004423193006
349.0,86.0,144.7331560283688,400.933226918918
348.0,86.0,144.63031914893617,400.59117294779014
349.0,84.0,144.1090425531915,392.87020192017525
344.0,83.0,142.30141843971631,380.6502816759723
356.0,87.0,147.16489361702128,418.0579164780438
359.0,87.0,147.95124113475177,426.9825516510739
349.0,84.0,144.9671985815603,402.33314392510493
349.0,87.0,145.62943262411346,414.9974315929789
343.0,86.0,142.7695035460993,388.99297067551896
357.0,87.0,147.84663120567376,426.897577303707
343.0,84.0,142.19326241134752,381.6647772999348
366.0,91.0,151.4494680851064,472.85560255394677
347.0,85.0,144.16843971631207,396.0992876364374
345.0,85.0,143.270390070922,389.7327402733765
347.0,84.0,144.3209219858156,398.91119347618326
347.0,84.0,144.1586879432624,396.0129387040388
341.0,84.0,141.84840425531914,382.71017475856314
340.0,83.0,140.98758865248226,374.65232822795696
341.0,83.0,141.8909574468085,381.643251565566
345.0,85.0,142.96010638297872,387.1695077901006
344.0,83.0,143.07712765957447,387.8105406858309
338.0,81.0,140.4840425531915,371.03520635279887
346.0,85.0,143.24290780141843,388.76723693476185
348.0,87.0,144.3554964539007,401.66706198757674
346.0,87.0,143.3040780141844,391.7382103201544
346.0,87.0,144.38652482269504,405.4286127458384
347.0,87.0,144.47163120567376,405.1250817363309
338.0,83.0,140.86347517730496,376.74022622101546
350.0,86.0,145.88475177304966,416.8519660731351
339.0,84.0,140.93262411347519,379.0131909863693
367.0,90.0,150.47695035460993,455.8008871535637
337.0,85.0,140.26418439716312,378.0436817816007
340.0,83.0,141.60638297872342,380.2209521653837
342.0,82.0,141.84663120567376,376.64225815477084
333.0,82.0,138.2136524822695,358.2619767302956
340.0,84.0,140.9831560283688,373.93322691891774
346.0,85.0,143.6054964539007,393.8222038315483
348.0,83.0,145.11347517730496,406.5083999798805
353.0,87.0,146.54255319148936,418.0992530556811
341.0,82.0,141.3244680851064,374.01528783763393
337.0,84.0,140.5381205673759,376.2733695173786
347.0,87.0,144.50886524822695,406.6524036768773
351.0,85.0,145.22695035460993,402.9981389266138
357.0,86.0,146.6418439716312,413.8327171671441
353.0,88.0,146.7163120567376,420.60037221467803
341.0,84.0,141.36790780141843,376.13858001986864
339.0,83.0,141.24734042553192,380.8439645578688
344.0,86.0,142.4991134751773,384.68262332754887
338.0,82.0,139.40425531914894,360.50324430360655
337.0,85.0,139.99113475177305,374.1736802726219
348.0,87.0,144.74024822695034,409.7454722788095
