Compacidad,Tolerancia,Disimilitud,Balance
404.0,76.0,146.62322695035462,489.9830420690615
365.0,76.0,127.87943262411348,352.65213017453874
279.0,47.0,104.94060283687944,254.78813864368098
297.0,64.0,105.4831560283688,261.0192198267187
335.0,76.0,119.94503546099291,330.47924840299765
332.0,63.0,120.99468085106383,344.92195752225734
303.0,66.0,114.06117021276596,338.26487522634653
268.0,55.0,97.90868794326241,236.22481813666332
331.0,66.0,113.75531914893617,281.9720461747395
393.0,86.0,140.4078014184397,439.4755419747499
399.0,91.0,144.34840425531914,511.15786979402435
417.0,92.0,151.145390070922,558.8086489613199
338.0,74.0,127.71010638297872,463.0711035347823
337.0,54.0,119.96542553191489,297.45536488984413
377.0,64.0,135.0700354609929,384.6555560271122
386.0,63.0,144.1418439716312,516.5720788692724
440.0,93.0,161.61436170212767,705.0560703372555
352.0,72.0,137.18971631205673,603.3434403450527
281.0,52.0,107.44060283687944,320.77129467204765
428.0,93.0,162.17375886524823,784.2854106936269
387.0,83.0,151.1241134751773,724.7718298878317
352.0,52.0,130.7171985815603,394.2081439251049
310.0,50.0,118.74734042553192,366.51506384864905
409.0,91.0,154.73847517730496,667.6842643415816
386.0,74.0,147.43439716312056,579.4034976862341
302.0,53.0,107.73670212765957,248.74539054247828
425.0,84.0,160.69148936170214,736.9331899803824
373.0,84.0,140.45390070921985,550.3542578341132
406.0,84.0,151.74468085106383,581.5943866002709
375.0,75.0,139.80673758865248,459.6541390020624
313.0,62.0,121.59929078014184,460.7507796388511
365.0,84.0,133.1950354609929,404.1073512398765
351.0,64.0,134.7331560283688,475.23109925934267
