Compacidad,Tolerancia,Disimilitud,Balance
349.0,73.0,134.46985815602838,357.5806517529296
306.0,76.0,121.78989361702128,342.82021700995915
414.0,70.0,158.02393617021278,540.8602426625924
258.0,60.0,101.69414893617021,217.1112423607969
263.0,52.0,107.01329787234043,259.1460997623356
394.0,86.0,152.95567375886526,518.2285316382477
271.0,59.0,112.48758865248227,308.4927537598717
329.0,74.0,121.31382978723404,269.415695261808
433.0,104.0,172.35283687943263,764.0882720939595
295.0,60.0,112.4645390070922,248.638813439968
304.0,62.0,124.63741134751773,368.43679188043984
373.0,86.0,139.0168439716312,390.9935106068609
420.0,95.0,156.25886524822695,527.5039107690754
342.0,83.0,128.38918439716312,326.0497766397566
316.0,73.0,131.42287234042553,464.7688740191642
463.0,108.0,181.81205673758865,826.1242517981987
459.0,106.0,182.85283687943263,926.3861444343844
296.0,72.0,109.36081560283688,245.95225890926002
349.0,61.0,138.38563829787233,422.69436820959703
458.0,100.0,182.02659574468086,894.1801437301949
417.0,96.0,169.99822695035462,819.4822663598413
360.0,85.0,149.14804964539007,628.6208117989532
447.0,98.0,170.90336879432624,681.2716907788839
366.0,70.0,146.67641843971631,513.4990183781003
430.0,86.0,160.6595744680851,538.2493586841705
408.0,86.0,163.67375886524823,684.2694532468181
391.0,73.0,145.36436170212767,426.22273700392293
398.0,97.0,157.729609929078,631.1458608407521
344.0,85.0,137.99822695035462,462.0319117499119
