algorithm,init,crossover,Range_mean,Range_std,MinSum_mean,MinSum_std,SumMin_mean,SumMin_std,MaxToleranceRate_mean,MaxToleranceRate_std,AvgToleranceRate_mean,AvgToleranceRate_std,AvgHammingDistance_mean,AvgHammingDistance_std,Hypervolume_mean,Hypervolume_std,IGD+_mean,IGD+_std,GD+_mean,GD+_std,Average Ranking Overall,Average Ranking (Algorithm),Average Ranking (Initialization),Average Ranking (Crossover),elapsed_sec_mean,elapsed_sec_std,n_solutions_final_front_mean,n_solutions_final_front_std,n_infeasible_final_front_mean,n_infeasible_final_front_std
AGEMOEA2,greedy_multi,1P,0.20828792122820436,0.015070188226704221,1.8949295842189773,0.008164986404387554,1.837332169010004,0.01135347084553522,0.28316982617089836,0.006396604161817115,0.19159384808690685,0.00850977316502436,13.781807956018664,0.7384209024679635,0.0406821097062901,0.0024519374562053,0.0008494046182196772,0.00025172029638617844,0.03899563455869393,0.0028394819554664564,50.0,3.4444444444444446,2.2222222222222223,4.0,0.0,0.0,219.96774193548387,0.17960530202677447,0.03225806451612903,0.1796053020267749
AGEMOEA2,greedy_multi,2P,0.22664630524706278,0.020308046815691587,1.8881179908479633,0.009726924676206596,1.8248964351033046,0.014781656962797133,0.2857855763515471,0.007575098045876029,0.1939985883400858,0.01249388168074464,14.757676888999812,1.0659206382708022,0.04337499365562341,0.0032426264553237433,0.0008474677324619832,0.00022552058607978412,0.0427895606752629,0.004317315815572725,48.111111111111114,3.4444444444444446,2.2222222222222223,3.0,0.0,0.0,220.0,0.0,0.0,0.0
AGEMOEA2,greedy_multi,HUX,0.2938335848154093,0.02565087880138409,1.8598328508146582,0.011849073692867924,1.7770994241383922,0.018185469849842522,0.29039055910145056,0.006788836702404465,0.2059875248621886,0.012107166563805737,18.338621934859923,1.5383362185068583,0.054375796623227134,0.004371145926744421,0.000810432228179587,0.0002453046967586086,0.05604114768429462,0.005991075804820127,41.666666666666664,3.4444444444444446,2.2222222222222223,1.3333333333333333,0.0,0.0,220.0,0.0,0.0,0.0
AGEMOEA2,greedy_multi,UX,0.2957337630063982,0.019612248945299875,1.8604697526321794,0.009350220747526524,1.7763137076699576,0.013879679940828431,0.29165327566514787,0.004917217852087756,0.20410513599654362,0.012303594724975286,18.452525815810823,1.5493411412057079,0.05451971010782535,0.0033470313835776374,0.0008471871604598355,0.00021573888045207555,0.05644640291191333,0.0059948130488874105,41.55555555555556,3.4444444444444446,2.2222222222222223,1.6666666666666667,0.0,0.0,220.0,0.0,0.0,0.0
AGEMOEA2,greedy_ting,1P,2.236251836279098,0.08403975606996503,1.5172062216540316,0.015448784711092723,0.6819858835267121,0.04310340641843747,0.22808250251309603,0.004888462970085301,0.15591490917866954,0.011049907798243441,97.65061263804829,7.942862158087429,0.4465639831662445,0.010828704944293641,0.046528600871961014,0.036016176292131594,0.5548944488816557,0.05087103375381586,38.666666666666664,3.4444444444444446,2.0,4.0,0.0,0.0,220.0,0.0,0.0,0.0
AGEMOEA2,greedy_ting,2P,2.235841543806733,0.08913765016451496,1.5083830903972246,0.014186284525559891,0.665740579360367,0.040034933868595746,0.23077237403208606,0.004851185351313084,0.1614502340310176,0.011316337211114092,96.7913504034858,9.330599186721152,0.4604253424790655,0.007114007798921736,0.07168179173449221,0.04309784500985938,0.5444907276983203,0.0613680380029677,37.0,3.4444444444444446,2.0,3.0,0.0,0.0,220.0,0.0,0.0,0.0
AGEMOEA2,greedy_ting,HUX,1.7962238065158227,0.1611722165234015,1.505257474262679,0.014248405555556879,0.8411403619454184,0.05772863495101455,0.23802606767257944,0.006968185824722595,0.18475990554509197,0.00875272540482045,97.4388587747759,7.439839321703956,0.425428326479092,0.010913148983530636,0.1370048025052024,0.06891841890246969,0.5273174520776502,0.04448834785212078,38.0,3.4444444444444446,2.0,1.3333333333333333,0.0,0.0,220.0,0.0,0.0,0.0
AGEMOEA2,greedy_ting,UX,1.7620776278448975,0.12359444818737912,1.5043021904041274,0.014575317540623472,0.8565391367048051,0.038719926238679085,0.24164707713063788,0.007582831923330518,0.18517078217679564,0.008747077946868126,98.3737258480481,7.9853227478427655,0.4252737206181319,0.007354943286985881,0.15141346371438213,0.05429905024810186,0.533172744117969,0.04960105317402541,38.0,3.4444444444444446,2.0,1.6666666666666667,0.0,0.0,220.0,0.0,0.0,0.0
AGEMOEA2,random_dense,1P,1.180795568748483,0.09527587206378532,1.4958983320186776,0.011179565590441096,1.0511839225856305,0.04027587149331041,0.231999953888441,0.004471555661138637,0.19508579253222189,0.005914395411005086,133.09307496724276,4.007803118064288,0.41470761442666415,0.011781128650549396,0.5177293846367761,0.0238579871980494,0.7673003941517952,0.03345363621770799,45.333333333333336,3.4444444444444446,1.7777777777777777,4.0,0.0,0.0,220.0,0.0,0.0,0.0
AGEMOEA2,random_dense,2P,1.3268989496253174,0.08176770468889363,1.4807893659268019,0.015355890350893723,0.9695210712500254,0.03150307447315768,0.23685364848885337,0.00590632046308605,0.19774963336194393,0.006594567033572651,133.53155404421705,3.700059104010244,0.44193999557864566,0.008826015031569882,0.4857770354369038,0.02810063505572756,0.7639088263809052,0.028299502494482685,40.0,3.4444444444444446,1.7777777777777777,3.0,0.0,0.0,220.0,0.0,0.0,0.0
AGEMOEA2,random_dense,HUX,1.3561275887381354,0.08820342892284765,1.431949768663247,0.012766895589155315,0.9076097683867094,0.03259860875537995,0.2502576634897192,0.004661102625183153,0.20975029709619036,0.005556514385786216,140.26930206318505,3.5150471892460895,0.4774057702750159,0.009782371256791588,0.48896068155773525,0.028888204209943646,0.7840445259461764,0.02930260907885056,32.666666666666664,3.4444444444444446,1.7777777777777777,1.3333333333333333,0.0,0.0,220.0,0.0,0.0,0.0
AGEMOEA2,random_dense,UX,1.3404040065053293,0.07576012176465623,1.435961364228175,0.013088013185079335,0.9162684476046492,0.030497175442080086,0.24968571397639255,0.004999071724625058,0.20894645501447567,0.005391381975164804,139.36123091761817,4.11719599614695,0.4740480144944946,0.010694680025993336,0.4820630753298668,0.023085954594720945,0.7762957686191073,0.030572303524786126,33.333333333333336,3.4444444444444446,1.7777777777777777,1.6666666666666667,0.0,0.0,220.0,0.0,0.0,0.0
NSGA2,greedy_multi,1P,0.24504560945856374,0.021913342346027143,1.8789774164679145,0.010002358232450808,1.8111438637946633,0.015719113897259367,0.2772995218694549,0.006930345334968584,0.20939955156107995,0.00563192447662077,15.520131892471124,0.9671863071761907,0.04641895415953525,0.003529369523174618,4.7415371035219055e-05,2.98542182453422e-05,0.04557601167625139,0.0037840462500989373,43.77777777777778,2.3333333333333335,2.2222222222222223,4.0,0.0,0.0,219.03225806451613,0.8360171835451734,0.967741935483871,0.8360171835451684
NSGA2,greedy_multi,2P,0.2646287607705309,0.016776868877005958,1.8701439947680072,0.007681714349421883,1.7969398018917415,0.011934875727523574,0.2787554983890289,0.0070171328401621704,0.2085255456595865,0.005777761811408804,16.44447858310359,0.8396587682543691,0.04963033370029179,0.002752504220726466,7.910773670993232e-05,0.00014646934435022158,0.04886011742292852,0.003321774982542943,41.666666666666664,2.3333333333333335,2.2222222222222223,3.0,0.0,0.0,218.61290322580646,0.8823234234995204,1.3870967741935485,0.8823234234995203
NSGA2,greedy_multi,HUX,0.3408936902737022,0.02236940340523916,1.8427426830413116,0.009252564185343265,1.7451461284999488,0.015046098290329593,0.27731972123157583,0.0064162237956149944,0.21310864461057047,0.0072125979721839074,20.426323686355982,1.0454454927875867,0.06221209670779909,0.0038592112410322415,0.00012131962400482432,0.0002607287387346821,0.06386528044014936,0.004247830221166542,38.666666666666664,2.3333333333333335,2.2222222222222223,1.3333333333333333,0.0,0.0,219.19354838709677,0.5427924611801225,0.8064516129032258,0.5427924611801259
NSGA2,greedy_multi,UX,0.3374118131784573,0.02201427737886323,1.8438801633956183,0.009868053998710285,1.7475453773339116,0.015337578936949483,0.27797912265819136,0.006801994144555066,0.21181306512601406,0.006230137664028121,20.22994553273562,0.9388278310828687,0.061609410269333156,0.00387574303829832,7.65436187636947e-05,0.00017261158444740367,0.0631433959408275,0.0037983214955207875,38.77777777777778,2.3333333333333335,2.2222222222222223,1.6666666666666667,0.0,0.0,219.19354838709677,0.6010743070375293,0.8064516129032258,0.6010743070375286
NSGA2,greedy_ting,1P,2.344916036491191,0.04940885074479765,1.5349238826153173,0.01911082947902312,0.615318647653788,0.02177673338377848,0.22399941566966675,0.006125169187556205,0.17884964089115862,0.004431621095119768,97.04342022212042,2.08021334867649,0.4482263222969837,0.0069690995752797235,0.007486646177849554,0.0013155990485601186,0.5317682330702784,0.01832051713816385,35.77777777777778,2.3333333333333335,2.0,4.0,0.0,0.0,219.8709677419355,0.3407771005482455,0.12903225806451613,0.3407771005482389
NSGA2,greedy_ting,2P,2.4151666817028246,0.05009248370094739,1.5196236555027283,0.015565381017984332,0.5808683461209259,0.02084755982547471,0.23206593450367416,0.005392128457438193,0.18744679280113713,0.003922004436520101,99.67616911789077,2.080839565615357,0.46477791505879884,0.0073360056508282164,0.006961441081979948,0.0017040586535810992,0.5437654496400393,0.018378305002217644,31.555555555555557,2.3333333333333335,2.0,3.0,0.0,0.0,219.8709677419355,0.34077710054824345,0.12903225806451613,0.34077710054823895
NSGA2,greedy_ting,HUX,2.4181410041420235,0.055793525139003854,1.4613628266240317,0.01184942200252465,0.5344073934393864,0.026024510929900567,0.24622017423359416,0.003972027687687115,0.21131547454001412,0.0030595877491854523,99.47487859029555,2.2905675926191886,0.4996015043937022,0.008361706043609264,0.007903137355498822,0.0011811672267868605,0.5265167253282116,0.016103316875276868,20.555555555555557,2.3333333333333335,2.0,1.3333333333333333,0.0,0.0,220.0,0.0,0.0,0.0
NSGA2,greedy_ting,UX,2.4228786116691032,0.07158067792043839,1.4636566375416493,0.014117134374530787,0.5326422094669269,0.034785175099250346,0.2437009377856421,0.0051845334051748605,0.20995017254531295,0.002823454823822709,99.45141415008007,2.4288477477693613,0.4990167825757168,0.011378522364509671,0.008076343649054017,0.0012114619152817153,0.5271033827733485,0.017163243749166984,21.555555555555557,2.3333333333333335,2.0,1.6666666666666667,0.0,0.0,220.0,0.0,0.0,0.0
NSGA2,random_dense,1P,1.3112088396739363,0.08161853249098278,1.5087827907503746,0.013780575578293175,0.9910676579453407,0.03439065816405967,0.22516098501187656,0.00492238699907254,0.2071579713371133,0.004264987904299419,137.2866960384352,3.8403320847399796,0.424469960158243,0.010671217917179916,0.4915622415467033,0.024914533675221257,0.7893056029849334,0.03152692090532737,44.333333333333336,2.3333333333333335,1.7777777777777777,4.0,0.0,0.0,219.83870967741936,0.5829107532346252,0.16129032258064516,0.5829107532346262
NSGA2,random_dense,2P,1.4891160350113966,0.0809632645777099,1.498864612948365,0.017616014822095138,0.8957317598588567,0.02924852763666836,0.22999644922863616,0.0045194061155098015,0.20973892377476022,0.0040606614137456394,137.59391328514886,2.7474359819464516,0.4532727299088735,0.007900518761472105,0.44707409521846514,0.020809309328143514,0.7840386685024308,0.024083228416980792,38.0,2.3333333333333335,1.7777777777777777,3.0,0.0,0.0,219.93548387096774,0.2497310381147101,0.06451612903225806,0.24973103811470743
NSGA2,random_dense,HUX,1.9522755181551028,0.06334087297053496,1.4452052676814284,0.011124787412195875,0.632351736687925,0.024517972648145973,0.23695945274841004,0.004381332830042237,0.2187370600818787,0.0033134141346514217,141.26762390549283,2.574238024927762,0.532365406301462,0.006227694090803277,0.36209388791227104,0.020785116667332376,0.7944200047237995,0.020350516409954014,27.22222222222222,2.3333333333333335,1.7777777777777777,1.3333333333333333,0.0,0.0,220.0,0.0,0.0,0.0
NSGA2,random_dense,UX,1.9463096250590655,0.07937035180802925,1.4442939341367989,0.010068499323911137,0.6372289198593396,0.02669399048807543,0.2362752023760646,0.00475360482312707,0.2176673265109751,0.003773875481644778,140.71147555687278,3.239394366637422,0.5303606294417128,0.006008417217157569,0.3599900637489509,0.02005961330060176,0.7891093208763458,0.026627621526224207,28.0,2.3333333333333335,1.7777777777777777,1.6666666666666667,0.0,0.0,220.0,0.0,0.0,0.0
NSGA3,greedy_multi,1P,0.18876648667029777,0.016832401816168286,1.8997632415385024,0.007798319237943503,1.8495819191765086,0.012158137666251163,0.2740898963899348,0.009394136684356664,0.19221330593458522,0.0066143156811993105,13.133048213204836,0.920169902278954,0.03808674983194839,0.002483661953896201,0.0008819780887251188,0.00016104675283578606,0.03614730592460488,0.003642443639104934,53.22222222222222,3.6666666666666665,2.2222222222222223,4.0,0.0,0.0,24.612903225806452,2.5518283557067956,0.0,0.0
NSGA3,greedy_multi,2P,0.20343259011561424,0.01394827739764776,1.8941543753270418,0.007162170732901563,1.8393076320014015,0.010419831659904216,0.2750400131006924,0.006642251963610758,0.19472407869949912,0.008312591964575379,14.093517002657503,0.7138369543159567,0.04020238097776847,0.00219447959246005,0.0008511151684897947,0.00020814429904171913,0.039753672853646484,0.0027440987231351173,50.77777777777778,3.6666666666666665,2.2222222222222223,3.0,0.0,0.0,23.35483870967742,2.7147545880094355,0.0,0.0
NSGA3,greedy_multi,HUX,0.2569881997872444,0.02277599529482745,1.8732043615531944,0.0105363286598069,1.8020488451471772,0.016524526310497476,0.2767323299007897,0.0071348279289121476,0.20200101946013235,0.00538872682522808,17.214717448251402,1.1916622914932835,0.0484508375383348,0.0038510433811210824,0.0011297797963040078,0.0012064317238997218,0.05108171685619032,0.004596806425110068,46.111111111111114,3.6666666666666665,2.2222222222222223,1.3333333333333333,0.0,0.0,22.193548387096776,1.8514742745302495,0.0,0.0
NSGA3,greedy_multi,UX,0.24585241565164465,0.017404617131384897,1.8769454774852568,0.00830833675981707,1.8093729720647331,0.012839616135954964,0.2727398175010465,0.005200414488140831,0.1989501350606268,0.006496132374498056,16.613208243802898,0.9473790810491012,0.04679708385784457,0.0029402789878723748,0.0012805554274602391,0.0014402777756036926,0.04872899345621362,0.0036278795341604182,48.333333333333336,3.6666666666666665,2.2222222222222223,1.6666666666666667,0.0,0.0,21.806451612903224,1.9221403840286944,0.0,0.0
