algorithm,init_cross,Compacidad ($f_1$ min),Tolerancia Real ($f_2$ max),Disimilitud ($f_3$ max) / $f_1$,Varianza ($f_4$ min) / $f_1^2$
AGEMOEA2,greedy_ting+2P,0.008888888888888889,0.0,0.9998840445269014,0.43744527862692345
AGEMOEA2,greedy_ting+2P,0.04,0.04950495049504951,0.9096428571428572,0.16134420257983828
AGEMOEA2,greedy_ting+2P,0.0044444444444444444,0.0,0.8496315192743762,0.39824377165479136
AGEMOEA2,greedy_ting+2P,0.017777777777777778,0.009900990099009901,0.9917517006802721,0.3214743419909457
AGEMOEA2,greedy_ting+2P,0.06,0.0,0.21736194477791118,0.03452871667075462
AGEMOEA2,greedy_ting+2P,0.13555555555555557,0.10891089108910891,0.8854666866746698,0.09674261261652539
AGEMOEA2,greedy_ting+2P,0.72,0.693069306930693,0.49564168567729194,0.014938244818677397
AGEMOEA2,greedy_ting+2P,0.006666666666666667,0.0,0.6502551020408163,0.30389471350611774
AGEMOEA2,greedy_ting+2P,0.31333333333333335,0.2871287128712871,0.5343870656370655,0.015588783081968682
AGEMOEA2,greedy_ting+2P,0.022222222222222223,0.009900990099009901,0.9822178871548617,0.2511416011264276
AGEMOEA2,greedy_ting+2P,0.3088888888888889,0.32673267326732675,0.7652537042214146,0.05298593731144102
AGEMOEA2,greedy_ting+2P,0.5688888888888889,0.5346534653465347,0.6805162178940016,0.03796913239109642
AGEMOEA2,greedy_ting+2P,0.13111111111111112,0.07920792079207921,0.7692099567099567,0.0569366477202005
AGEMOEA2,greedy_ting+2P,0.27111111111111114,0.2871287128712871,0.7950581395348837,0.08707218620304287
AGEMOEA2,greedy_ting+2P,0.06222222222222222,0.0594059405940594,0.9538265306122449,0.14868439215348564
AGEMOEA2,greedy_ting+2P,0.05555555555555555,0.0297029702970297,0.9698660714285712,0.3576673105223755
AGEMOEA2,greedy_ting+2P,0.21777777777777776,0.24752475247524752,0.814103498542274,0.08085755182872047
AGEMOEA2,greedy_ting+2P,0.017777777777777778,0.0,0.9873299319727887,0.2862675864529952
AGEMOEA2,greedy_ting+2P,0.07111111111111111,0.0594059405940594,0.9045983778126633,0.10490753533396253
AGEMOEA2,greedy_ting+2P,0.27111111111111114,0.26732673267326734,0.8301198386331275,0.09533463529550174
AGEMOEA2,greedy_ting+2P,0.5155555555555555,0.48514851485148514,0.7232996755187431,0.05050744958688597
AGEMOEA2,greedy_ting+2P,0.17777777777777778,0.19801980198019803,0.7545889045273279,0.045817866587461134
AGEMOEA2,greedy_ting+2P,0.08444444444444445,0.04950495049504951,0.9613095238095236,0.3027969628464699
AGEMOEA2,greedy_ting+2P,0.011111111111111112,0.0,0.8718112244897959,0.2894003393457893
AGEMOEA2,greedy_ting+2P,0.1,0.06930693069306931,0.9555043171114597,0.24496208098419966
AGEMOEA2,greedy_ting+2P,0.10444444444444445,0.10891089108910891,0.912603930461073,0.11173966923247017
AGEMOEA2,greedy_ting+2P,0.011111111111111112,0.0,0.6041666666666667,0.2414605857839484
AGEMOEA2,greedy_ting+2P,0.3488888888888889,0.25742574257425743,0.700737307117969,0.034720432919118145
AGEMOEA2,greedy_ting+2P,0.05555555555555555,0.039603960396039604,0.9590242346938775,0.21683820292014278
AGEMOEA2,greedy_ting+2P,0.44,0.43564356435643564,0.7535278745644597,0.056457444057337776
AGEMOEA2,greedy_ting+2P,0.04888888888888889,0.039603960396039604,0.8632565095003516,0.13249239717242356
AGEMOEA2,greedy_ting+2P,0.1288888888888889,0.12871287128712872,0.8114795918367346,0.09019622951940152
AGEMOEA2,greedy_ting+2P,0.15333333333333332,0.1188118811881188,0.5965695488721803,0.033280547565122616
AGEMOEA2,greedy_ting+2P,0.024444444444444446,0.009900990099009901,0.7305839002267571,0.15322136829612049
AGEMOEA2,greedy_ting+2P,0.024444444444444446,0.0,0.2994614512471655,0.09915816472763962
AGEMOEA2,greedy_ting+2P,0.006666666666666667,0.0,0.7548469387755101,0.3300812007751624
AGEMOEA2,greedy_ting+2P,0.3,0.24752475247524752,0.7866843920666857,0.05727102725121625
AGEMOEA2,greedy_ting+2P,0.24,0.22772277227722773,0.7899401064773734,0.05540896456127095
AGEMOEA2,greedy_ting+2P,0.13777777777777778,0.1188118811881188,0.9155390417036379,0.13529330312657276
AGEMOEA2,greedy_ting+2P,0.33555555555555555,0.3564356435643564,0.7628196848359596,0.07175794610552798
AGEMOEA2,greedy_ting+2P,0.22444444444444445,0.2079207920792079,0.8753779289493574,0.10441796831309266
AGEMOEA2,greedy_ting+2P,0.21333333333333335,0.21782178217821782,0.8614151971468198,0.08583692666744275
AGEMOEA2,greedy_ting+2P,0.8866666666666667,0.8514851485148515,0.5402948125062832,0.02138374443649741
AGEMOEA2,greedy_ting+2P,0.02,0.0,0.6243622448979591,0.18010712101297166
AGEMOEA2,greedy_ting+2P,0.7688888888888888,0.7623762376237624,0.5263737931433196,0.018886563963306714
AGEMOEA2,greedy_ting+2P,0.05333333333333334,0.04950495049504951,0.9169272547728766,0.1272836693991944
AGEMOEA2,greedy_ting+2P,0.36666666666666664,0.36633663366336633,0.7732706454674892,0.05443265229429694
AGEMOEA2,greedy_ting+2P,0.18444444444444444,0.18811881188118812,0.8684523809523809,0.1464742312966815
AGEMOEA2,greedy_ting+2P,0.18666666666666668,0.19801980198019803,0.8276659564924871,0.06033103497399933
AGEMOEA2,greedy_ting+2P,0.43777777777777777,0.39603960396039606,0.48614445778311316,0.015411023307448523
AGEMOEA2,greedy_ting+2P,0.31777777777777777,0.297029702970297,0.7997108843537416,0.06362306393334954
AGEMOEA2,greedy_ting+2P,0.32,0.3465346534653465,0.7133987701040679,0.06709903953583812
