algorithm,init_cross,Compacidad ($f_1$ min),Tolerancia Real ($f_2$ max),Disimilitud ($f_3$ max) / $f_1$,Varianza ($f_4$ min) / $f_1^2$
AGEMOEA2,greedy_ting+HUX,0.013333333333333334,0.0,0.9997056514913657,0.42935932594491133
AGEMOEA2,greedy_ting+HUX,0.042222222222222223,0.04950495049504951,0.9370094191522763,0.15763489929528124
AGEMOEA2,greedy_ting+HUX,0.0044444444444444444,0.0,0.9142573696145121,0.3811607647015236
AGEMOEA2,greedy_ting+HUX,0.02666666666666667,0.009900990099009901,0.9932196562835659,0.2412661070960428
AGEMOEA2,greedy_ting+HUX,0.8666666666666667,0.801980198019802,0.5347215082506555,0.01828093984281366
AGEMOEA2,greedy_ting+HUX,0.6155555555555555,0.5841584158415841,0.4825919804541534,0.010376551557190654
AGEMOEA2,greedy_ting+HUX,0.057777777777777775,0.06930693069306931,0.9584492888064314,0.13125118720411327
AGEMOEA2,greedy_ting+HUX,0.3933333333333333,0.3564356435643564,0.4416870008873115,0.01327481444389754
AGEMOEA2,greedy_ting+HUX,0.015555555555555555,0.0,0.9976311953352767,0.3655069798040991
AGEMOEA2,greedy_ting+HUX,0.042222222222222223,0.039603960396039604,0.9729199372056512,0.14141227320193875
AGEMOEA2,greedy_ting+HUX,0.5933333333333334,0.6435643564356436,0.7207005064799642,0.03872840829006835
AGEMOEA2,greedy_ting+HUX,0.27111111111111114,0.297029702970297,0.9157273374466064,0.08783169961896344
AGEMOEA2,greedy_ting+HUX,0.3977777777777778,0.44554455445544555,0.8419190256747862,0.05986044899199458
AGEMOEA2,greedy_ting+HUX,0.4777777777777778,0.42574257425742573,0.45190981798124646,0.010690167033375227
AGEMOEA2,greedy_ting+HUX,0.035555555555555556,0.019801980198019802,0.987854924578527,0.18386968901422163
AGEMOEA2,greedy_ting+HUX,0.21777777777777776,0.16831683168316833,0.3875485908649172,0.014855814054629293
AGEMOEA2,greedy_ting+HUX,0.37333333333333335,0.42574257425742573,0.854497084548105,0.0719972571938781
AGEMOEA2,greedy_ting+HUX,0.5088888888888888,0.5247524752475248,0.7669707713593913,0.04416833037977197
AGEMOEA2,greedy_ting+HUX,0.2866666666666667,0.3069306930693069,0.9018232292917162,0.07310805154096421
AGEMOEA2,greedy_ting+HUX,0.5488888888888889,0.49504950495049505,0.4513900048208259,0.00975527422936507
AGEMOEA2,greedy_ting+HUX,0.2644444444444444,0.18811881188118812,0.7957968901846453,0.04298130249722451
AGEMOEA2,greedy_ting+HUX,0.017777777777777778,0.0,0.4628401360544217,0.16238788152844538
AGEMOEA2,greedy_ting+HUX,0.3288888888888889,0.36633663366336633,0.8865454246214615,0.07970275394078194
AGEMOEA2,greedy_ting+HUX,0.14888888888888888,0.12871287128712872,0.899958632101489,0.06933079115306567
AGEMOEA2,greedy_ting+HUX,0.06,0.039603960396039604,0.7900660264105641,0.0778924378329386
AGEMOEA2,greedy_ting+HUX,0.3422222222222222,0.33663366336633666,0.863187666370896,0.06097038130246726
AGEMOEA2,greedy_ting+HUX,0.12,0.10891089108910891,0.840603044496487,0.05748036190836498
AGEMOEA2,greedy_ting+HUX,0.16,0.10891089108910891,0.9267469646086282,0.08442580283183818
AGEMOEA2,greedy_ting+HUX,0.06444444444444444,0.019801980198019802,0.26346371882086156,0.039514058489168266
AGEMOEA2,greedy_ting+HUX,0.5755555555555556,0.6039603960396039,0.7384916372564063,0.0391534245342649
AGEMOEA2,greedy_ting+HUX,0.006666666666666667,0.0,0.7760204081632651,0.3169068361412233
AGEMOEA2,greedy_ting+HUX,0.02,0.0,0.3561862244897958,0.12696648159246035
AGEMOEA2,greedy_ting+HUX,0.5177777777777778,0.594059405940594,0.7670068027210883,0.04633711872017249
AGEMOEA2,greedy_ting+HUX,0.4111111111111111,0.48514851485148514,0.8286298894557822,0.05734725632276827
AGEMOEA2,greedy_ting+HUX,0.008888888888888889,0.0,0.6165352504638217,0.2545218261457096
AGEMOEA2,greedy_ting+HUX,0.011111111111111112,0.0,0.5361394557823129,0.21182502544086987
AGEMOEA2,greedy_ting+HUX,0.46444444444444444,0.5247524752475248,0.761207955404384,0.052336282363238194
AGEMOEA2,greedy_ting+HUX,0.1622222222222222,0.13861386138613863,0.5737882653061225,0.026211298821387705
AGEMOEA2,greedy_ting+HUX,0.31555555555555553,0.3069306930693069,0.884202506505958,0.06524752910277533
AGEMOEA2,greedy_ting+HUX,0.024444444444444446,0.0,0.5130385487528343,0.12399875624311149
AGEMOEA2,greedy_ting+HUX,0.32222222222222224,0.26732673267326734,0.4319783834586465,0.013699932779157665
AGEMOEA2,greedy_ting+HUX,0.7044444444444444,0.6336633663366337,0.5046060090702947,0.012448329035459718
AGEMOEA2,greedy_ting+HUX,0.30444444444444446,0.3465346534653465,0.8872059240362812,0.07714448389889737
AGEMOEA2,greedy_ting+HUX,0.006666666666666667,0.0,0.7015306122448979,0.30673128878078404
AGEMOEA2,greedy_ting+HUX,0.36,0.39603960396039606,0.87366411061466,0.06631566621060096
AGEMOEA2,greedy_ting+HUX,0.19777777777777777,0.1782178217821782,0.8405346513605443,0.04964497383699049
AGEMOEA2,greedy_ting+HUX,0.017777777777777778,0.009900990099009901,0.8601190476190474,0.21656461957069054
AGEMOEA2,greedy_ting+HUX,0.06,0.0297029702970297,0.5816326530612244,0.06320173059179483
AGEMOEA2,greedy_ting+HUX,0.5533333333333333,0.48514851485148514,0.6102917729591836,0.021400426418434853
AGEMOEA2,greedy_ting+HUX,0.11333333333333333,0.12871287128712872,0.8285098522167488,0.10002210393196741
AGEMOEA2,greedy_ting+HUX,0.3,0.32673267326732675,0.7475388042540959,0.041759203527207085
AGEMOEA2,greedy_ting+HUX,0.26666666666666666,0.31683168316831684,0.8745279607906155,0.0639734724880563
AGEMOEA2,greedy_ting+HUX,0.10666666666666667,0.0891089108910891,0.9065630797773655,0.07956747300356899
AGEMOEA2,greedy_ting+HUX,0.15555555555555556,0.1485148514851485,0.9526404717731246,0.12085013884925334
AGEMOEA2,greedy_ting+HUX,0.17333333333333334,0.1782178217821782,0.9238745498199278,0.08041675839792527
AGEMOEA2,greedy_ting+HUX,0.7466666666666667,0.7128712871287128,0.6115792526923304,0.027051253721214412
AGEMOEA2,greedy_ting+HUX,0.09333333333333334,0.07920792079207921,0.8732559350270719,0.07219134290663919
AGEMOEA2,greedy_ting+HUX,0.4222222222222222,0.37623762376237624,0.5390616906661142,0.017451771105974297
AGEMOEA2,greedy_ting+HUX,0.7733333333333333,0.7128712871287128,0.5058386030468526,0.014680526017755163
AGEMOEA2,greedy_ting+HUX,0.2733333333333333,0.31683168316831684,0.8816130298273153,0.08290869818660461
AGEMOEA2,greedy_ting+HUX,0.09111111111111111,0.07920792079207921,0.9335671768707482,0.09314960992412204
AGEMOEA2,greedy_ting+HUX,0.017777777777777778,0.0,0.7174319727891156,0.21032333993553273
AGEMOEA2,greedy_ting+HUX,0.05555555555555555,0.0297029702970297,0.9190051020408162,0.11028080024134024
AGEMOEA2,greedy_ting+HUX,0.33111111111111113,0.31683168316831684,0.8213468079539507,0.04876032347734599
AGEMOEA2,greedy_ting+HUX,0.33555555555555555,0.39603960396039606,0.8164556962025316,0.06915742410570061
AGEMOEA2,greedy_ting+HUX,0.044444444444444446,0.019801980198019802,0.6668083900226757,0.10993429793189441
AGEMOEA2,greedy_ting+HUX,0.21555555555555556,0.2376237623762376,0.9073783359497642,0.0682675985822444
AGEMOEA2,greedy_ting+HUX,0.4911111111111111,0.5643564356435643,0.7777143752237737,0.051762780273701584
AGEMOEA2,greedy_ting+HUX,0.5288888888888889,0.5841584158415841,0.7234121199500209,0.04171576099626381
AGEMOEA2,greedy_ting+HUX,0.03333333333333333,0.019801980198019802,0.7782931354359925,0.15121784377382225
AGEMOEA2,greedy_ting+HUX,0.10222222222222223,0.0594059405940594,0.48048228725452435,0.04098017849463168
AGEMOEA2,greedy_ting+HUX,0.35555555555555557,0.32673267326732675,0.7913280581693753,0.040467362836609004
AGEMOEA2,greedy_ting+HUX,0.12666666666666668,0.1188118811881188,0.9512914540816325,0.14470507692616874
AGEMOEA2,greedy_ting+HUX,0.17333333333333334,0.13861386138613863,0.856467587034814,0.05783034694756344
AGEMOEA2,greedy_ting+HUX,0.19111111111111112,0.22772277227722773,0.8958881939872723,0.08815957080391659
AGEMOEA2,greedy_ting+HUX,0.22444444444444445,0.25742574257425743,0.8733938019652303,0.07460559182316522
AGEMOEA2,greedy_ting+HUX,0.2511111111111111,0.26732673267326734,0.883779761904762,0.06355569814184875
