algorithm,init_cross,Compacidad ($f_1$ min),Tolerancia Real ($f_2$ max),Disimilitud ($f_3$ max) / $f_1$,Varianza ($f_4$ min) / $f_1^2$
NSGA2,greedy_multi+1P,0.0,0.0,0.9972667638483963,0.5172204455055058
NSGA2,greedy_multi+1P,0.06888888888888889,0.06930693069306931,0.7091165413533833,0.05805095203593446
NSGA2,greedy_multi+1P,0.06666666666666667,0.06930693069306931,0.7045987313844456,0.05785578013628547
NSGA2,greedy_multi+1P,0.013333333333333334,0.0,0.5468014128728413,0.16495003561795063
NSGA2,greedy_multi+1P,0.02,0.0,0.4756058673469387,0.1265310210300915
NSGA2,greedy_multi+1P,0.0044444444444444444,0.0,0.9992913832199543,0.4400969595855977
NSGA2,greedy_multi+1P,0.03333333333333333,0.0297029702970297,0.8526205936920224,0.11808995534880487
NSGA2,greedy_multi+1P,0.04888888888888889,0.039603960396039604,0.6924261083743841,0.06948588277294225
NSGA2,greedy_multi+1P,0.02666666666666667,0.019801980198019802,0.7442937701396348,0.12397211638181431
NSGA2,greedy_multi+1P,0.057777777777777775,0.0594059405940594,0.7254560915275201,0.06563674027375706
NSGA2,greedy_multi+1P,0.028888888888888888,0.009900990099009901,0.5372448979591836,0.10158679918133849
NSGA2,greedy_multi+1P,0.04888888888888889,0.039603960396039604,0.6647167487684728,0.06723950883804511
NSGA2,greedy_multi+1P,0.06,0.04950495049504951,0.7415216086434572,0.06480597230449986
NSGA2,greedy_multi+1P,0.035555555555555556,0.0297029702970297,0.9332852706299909,0.12861565667687241
NSGA2,greedy_multi+1P,0.06444444444444444,0.06930693069306931,0.7219387755102039,0.06068673485928433
NSGA2,greedy_multi+1P,0.051111111111111114,0.04950495049504951,0.7737244897959183,0.07563400325636407
NSGA2,greedy_multi+1P,0.022222222222222223,0.009900990099009901,0.5351890756302521,0.11860735144014878
NSGA2,greedy_multi+1P,0.02666666666666667,0.019801980198019802,0.6669575725026853,0.11898572226666547
NSGA2,greedy_multi+1P,0.05333333333333334,0.0594059405940594,0.7803242264647794,0.07306393325569152
NSGA2,greedy_multi+1P,0.0,0.0,0.9918002915451894,0.48486506139276464
NSGA2,greedy_multi+1P,0.0,0.0,0.9961734693877549,0.4889389989892828
NSGA2,greedy_multi+1P,0.0022222222222222222,0.0,0.9964923469387752,0.41870135149339327
NSGA2,greedy_multi+1P,0.006666666666666667,0.0,0.9992346938775508,0.3834537407725236
NSGA2,greedy_multi+1P,0.03111111111111111,0.019801980198019802,0.9484329446064139,0.14239779062050367
NSGA2,greedy_multi+1P,0.06222222222222222,0.04950495049504951,0.7136661807580174,0.06180180083200227
NSGA2,greedy_multi+1P,0.044444444444444446,0.039603960396039604,0.6447940287226002,0.07276965663601433
NSGA2,greedy_multi+1P,0.05555555555555555,0.0594059405940594,0.7486447704081632,0.06813343851377249
NSGA2,greedy_multi+1P,0.0022222222222222222,0.0,0.9869260204081631,0.407516990154383
NSGA2,greedy_multi+1P,0.0022222222222222222,0.0,0.9977678571428569,0.4381791562898641
NSGA2,greedy_multi+1P,0.051111111111111114,0.039603960396039604,0.6958333333333332,0.06937171463907645
NSGA2,greedy_multi+1P,0.011111111111111112,0.0,0.9094387755102041,0.24462133610065415
NSGA2,greedy_multi+1P,0.03777777777777778,0.039603960396039604,0.7746598639455781,0.09886715689225305
NSGA2,greedy_multi+1P,0.057777777777777775,0.04950495049504951,0.6765228818800246,0.06329146404942851
NSGA2,greedy_multi+1P,0.06444444444444444,0.0594059405940594,0.702097505668934,0.05866583674868138
NSGA2,greedy_multi+1P,0.008888888888888889,0.0,0.8811456400742114,0.26500847705001485
NSGA2,greedy_multi+1P,0.04666666666666667,0.039603960396039604,0.6822157434402333,0.0712591760573104
NSGA2,greedy_multi+1P,0.06222222222222222,0.04950495049504951,0.7113338192419825,0.06125671429777132
NSGA2,greedy_multi+1P,0.024444444444444446,0.009900990099009901,0.6053004535147392,0.12174192499452142
NSGA2,greedy_multi+1P,0.006666666666666667,0.0,0.9964285714285712,0.3315071652879978
NSGA2,greedy_multi+1P,0.015555555555555555,0.0,0.5187682215743439,0.14557060309094969
NSGA2,greedy_multi+1P,0.011111111111111112,0.0,0.9355867346938775,0.2548866384267994
NSGA2,greedy_multi+1P,0.03333333333333333,0.0297029702970297,0.7535946196660483,0.10321329265458527
NSGA2,greedy_multi+1P,0.017777777777777778,0.0,0.6888605442176868,0.16131771299367462
NSGA2,greedy_multi+1P,0.0044444444444444444,0.0,0.9961734693877549,0.35892506458190515
NSGA2,greedy_multi+1P,0.06,0.0594059405940594,0.7220138055222085,0.06259052764509133
NSGA2,greedy_multi+1P,0.028888888888888888,0.019801980198019802,0.7570153061224489,0.12340324018191115
NSGA2,greedy_multi+1P,0.008888888888888889,0.0,0.9896799628942484,0.28102665471304905
NSGA2,greedy_multi+1P,0.02,0.009900990099009901,0.7895408163265304,0.1606210046386941
NSGA2,greedy_multi+1P,0.04666666666666667,0.0297029702970297,0.8186042274052477,0.08871705156104573
NSGA2,greedy_multi+1P,0.03111111111111111,0.019801980198019802,0.6143707482993197,0.10384824383821113
NSGA2,greedy_multi+1P,0.04,0.0297029702970297,0.8139285714285711,0.10084924366956914
NSGA2,greedy_multi+1P,0.04,0.039603960396039604,0.851377551020408,0.10556403967807514
NSGA2,greedy_multi+1P,0.05555555555555555,0.039603960396039604,0.7304687499999999,0.06664273814377243
NSGA2,greedy_multi+1P,0.044444444444444446,0.039603960396039604,0.7045068027210883,0.07626286177320225
NSGA2,greedy_multi+1P,0.0044444444444444444,0.0,0.9978741496598638,0.39748093485691327
NSGA2,greedy_multi+1P,0.013333333333333334,0.0,0.7542189952904236,0.20236038027147943
NSGA2,greedy_multi+1P,0.05333333333333334,0.04950495049504951,0.7412360105332453,0.0705376413283883
NSGA2,greedy_multi+1P,0.042222222222222223,0.039603960396039604,0.6665031397174254,0.07879419622889966
NSGA2,greedy_multi+1P,0.022222222222222223,0.019801980198019802,0.8503151260504201,0.15653362218960507
NSGA2,greedy_multi+1P,0.035555555555555556,0.0297029702970297,0.9096606033717833,0.11852342723483786
NSGA2,greedy_multi+1P,0.042222222222222223,0.039603960396039604,0.8709772370486654,0.1039779819046538
NSGA2,greedy_multi+1P,0.024444444444444446,0.019801980198019802,0.8826530612244898,0.1563832753307302
NSGA2,greedy_multi+1P,0.017777777777777778,0.009900990099009901,0.8227040816326531,0.1777473280653492
NSGA2,greedy_multi+1P,0.06666666666666667,0.0594059405940594,0.7068050193050192,0.05847380519652648
NSGA2,greedy_multi+1P,0.015555555555555555,0.0,0.7627551020408162,0.18226065236532224
NSGA2,greedy_multi+1P,0.05333333333333334,0.0594059405940594,0.7702024358130347,0.07283911258476132
NSGA2,greedy_multi+1P,0.03777777777777778,0.039603960396039604,0.823235544217687,0.10900054440392205
NSGA2,greedy_multi+1P,0.013333333333333334,0.0,0.48852040816326525,0.160137028482336
NSGA2,greedy_multi+1P,0.0044444444444444444,0.0,0.9012188208616779,0.34343056712576686
NSGA2,greedy_multi+1P,0.0022222222222222222,0.0,0.7940051020408161,0.38007612711837363
NSGA2,greedy_multi+1P,0.006666666666666667,0.0,0.8732142857142858,0.2975070695044045
NSGA2,greedy_multi+1P,0.022222222222222223,0.0,0.49917466986794706,0.11625001123155827
NSGA2,greedy_multi+1P,0.006666666666666667,0.0,0.937755102040816,0.30945482659724705
NSGA2,greedy_multi+1P,0.011111111111111112,0.0,0.8431122448979589,0.2357556531043597
NSGA2,greedy_multi+1P,0.02666666666666667,0.019801980198019802,0.9580424274973145,0.15767555393207777
NSGA2,greedy_multi+1P,0.013333333333333334,0.0,0.48479199372056503,0.15536880282242482
NSGA2,greedy_multi+1P,0.008888888888888889,0.0,0.8776669758812614,0.26112412891499753
NSGA2,greedy_multi+1P,0.008888888888888889,0.0,0.9982606679035249,0.3366349694253082
NSGA2,greedy_multi+1P,0.0022222222222222222,0.0,0.9955357142857141,0.41133370446418327
NSGA2,greedy_multi+1P,0.006666666666666667,0.0,0.8127551020408162,0.2847814696243165
NSGA2,greedy_multi+1P,0.011111111111111112,0.0,0.8900935374149661,0.24284005583424956
NSGA2,greedy_multi+1P,0.03777777777777778,0.019801980198019802,0.6020408163265305,0.08258385245572086
NSGA2,greedy_multi+1P,0.015555555555555555,0.0,0.8360058309037901,0.1938103838798716
NSGA2,greedy_multi+1P,0.008888888888888889,0.0,0.7628710575139145,0.24814502878425565
NSGA2,greedy_multi+1P,0.0044444444444444444,0.0,0.996740362811791,0.3713292595727514
NSGA2,greedy_multi+1P,0.006666666666666667,0.0,0.9117346938775509,0.3039245747383876
NSGA2,greedy_multi+1P,0.017777777777777778,0.009900990099009901,0.8623299319727888,0.18594690274586068
NSGA2,greedy_multi+1P,0.011111111111111112,0.0,0.7193877551020407,0.2176263388409076
NSGA2,greedy_multi+1P,0.006666666666666667,0.0,0.9071428571428569,0.30178907349593687
NSGA2,greedy_multi+1P,0.03111111111111111,0.019801980198019802,0.7671890184645286,0.11167373055865408
NSGA2,greedy_multi+1P,0.008888888888888889,0.0,0.5810528756957327,0.21631649412647208
NSGA2,greedy_multi+1P,0.0044444444444444444,0.0,0.9839852607709749,0.35205983190882845
NSGA2,greedy_multi+1P,0.02,0.0,0.6564094387755101,0.14672022132721127
NSGA2,greedy_multi+1P,0.015555555555555555,0.0,0.5880102040816326,0.16191471174791117
NSGA2,greedy_multi+1P,0.03333333333333333,0.019801980198019802,0.5663265306122448,0.08902171379077566
NSGA2,greedy_multi+1P,0.017777777777777778,0.0,0.5024659863945579,0.13362583275185785
NSGA2,greedy_multi+1P,0.0044444444444444444,0.0,0.9970238095238091,0.3743320992394632
NSGA2,greedy_multi+1P,0.02,0.0,0.508609693877551,0.12730952307657756
NSGA2,greedy_multi+1P,0.006666666666666667,0.0,0.8660714285714283,0.28882579271443054
NSGA2,greedy_multi+1P,0.011111111111111112,0.0,0.8807397959183672,0.23874102073376563
NSGA2,greedy_multi+1P,0.006666666666666667,0.0,0.672704081632653,0.26913478839118
NSGA2,greedy_multi+1P,0.022222222222222223,0.019801980198019802,0.9649609843937574,0.1694126512338141
NSGA2,greedy_multi+1P,0.0044444444444444444,0.0,0.9029195011337868,0.3468944521590677
