algorithm,init_cross,Compacidad ($f_1$ min),Tolerancia Real ($f_2$ max),Disimilitud ($f_3$ max) / $f_1$,Varianza ($f_4$ min) / $f_1^2$
NSGA3,greedy_ting+UX,0.013333333333333334,0.0,0.5022566718995289,0.1871369676807642
NSGA3,greedy_ting+UX,0.27555555555555555,0.25742574257425743,0.5917685776600716,0.02380296059402936
NSGA3,greedy_ting+UX,0.051111111111111114,0.04950495049504951,0.8903911564625847,0.10583514044319257
NSGA3,greedy_ting+UX,0.0044444444444444444,0.0,0.8606859410430837,0.36493880362713693
NSGA3,greedy_ting+UX,0.051111111111111114,0.04950495049504951,0.742517006802721,0.08785509204255308
NSGA3,greedy_ting+UX,0.017777777777777778,0.019801980198019802,0.9941326530612243,0.22612107360092842
NSGA3,greedy_ting+UX,0.11777777777777777,0.09900990099009901,0.735969387755102,0.0715883503137993
NSGA3,greedy_ting+UX,0.15333333333333332,0.10891089108910891,0.35180585392051555,0.015247383319385086
NSGA3,greedy_ting+UX,0.008888888888888889,0.0,0.8312847866419292,0.2789695298383951
NSGA3,greedy_ting+UX,0.03111111111111111,0.019801980198019802,0.5510811467444119,0.10100258987388236
NSGA3,greedy_ting+UX,0.43777777777777777,0.38613861386138615,0.5576605642256902,0.014773558610176015
NSGA3,greedy_ting+UX,0.7222222222222222,0.6831683168316832,0.5478008974674207,0.013050370890183707
NSGA3,greedy_ting+UX,0.028888888888888888,0.0,0.22908163265306125,0.08213129963731848
NSGA3,greedy_ting+UX,0.36444444444444446,0.31683168316831684,0.6697622031268646,0.027776807338396135
NSGA3,greedy_ting+UX,0.0022222222222222222,0.0,0.9974489795918364,0.44950424775315284
NSGA3,greedy_ting+UX,0.035555555555555556,0.0297029702970297,0.9784272404614017,0.14202938629587042
NSGA3,greedy_ting+UX,0.006666666666666667,0.0,0.9971938775510201,0.352570214652042
NSGA3,greedy_ting+UX,0.10888888888888888,0.0891089108910891,0.8641581632653061,0.08052402553345633
NSGA3,greedy_ting+UX,0.22444444444444445,0.22772277227722773,0.7418509070294784,0.04183524616346467
NSGA3,greedy_ting+UX,0.5555555555555556,0.5544554455445545,0.6029093544032399,0.021052076153885352
NSGA3,greedy_ting+UX,0.34,0.2871287128712871,0.4578922193877551,0.014332682249698688
NSGA3,greedy_ting+UX,0.07111111111111111,0.0297029702970297,0.3890306122448979,0.040164331334706475
NSGA3,greedy_ting+UX,0.7888888888888889,0.8118811881188119,0.544959972939452,0.015274789184453987
NSGA3,greedy_ting+UX,0.017777777777777778,0.0,0.6994047619047618,0.18196991854795816
NSGA3,greedy_ting+UX,0.16,0.10891089108910891,0.575384267631103,0.029796808182711798
NSGA3,greedy_ting+UX,0.26666666666666666,0.2871287128712871,0.7104993572232042,0.038782884936061704
NSGA3,greedy_ting+UX,0.028888888888888888,0.0297029702970297,0.8839285714285712,0.14980205048407624
