algorithm,init_cross,Compacidad ($f_1$ min),Tolerancia Real ($f_2$ max),Disimilitud ($f_3$ max) / $f_1$,Varianza ($f_4$ min) / $f_1^2$
NSGA3,random_dense+2P,0.5355555555555556,0.45544554455445546,0.6515285549703751,0.023985853270813217
NSGA3,random_dense+2P,0.5111111111111111,0.5148514851485149,0.5565799104451907,0.01751480542435275
NSGA3,random_dense+2P,0.6022222222222222,0.6732673267326733,0.6968965643811481,0.04185496505901109
NSGA3,random_dense+2P,0.6777777777777778,0.6831683168316832,0.5857208267922552,0.016214198214812726
NSGA3,random_dense+2P,0.6311111111111111,0.6633663366336634,0.5516735044533276,0.014665562523874007
NSGA3,random_dense+2P,0.6466666666666666,0.6633663366336634,0.5125924530886179,0.010661631144602996
NSGA3,random_dense+2P,0.5311111111111111,0.4752475247524752,0.6224386095901776,0.0187663493009794
NSGA3,random_dense+2P,0.7533333333333333,0.8118811881188119,0.6297039046832604,0.030106718544777887
NSGA3,random_dense+2P,0.7866666666666666,0.7524752475247525,0.5261214596641981,0.012181286578982391
NSGA3,random_dense+2P,0.47333333333333333,0.44554455445544555,0.6255217996289424,0.023740398812294974
NSGA3,random_dense+2P,0.6711111111111111,0.7029702970297029,0.6649701142592959,0.029127480681598688
NSGA3,random_dense+2P,0.6644444444444444,0.6138613861386139,0.6137955182072827,0.01772242222908568
NSGA3,random_dense+2P,0.5977777777777777,0.5445544554455446,0.6212474120082815,0.017616762154812487
NSGA3,random_dense+2P,0.54,0.5445544554455446,0.6299591836734694,0.02123823996644344
NSGA3,random_dense+2P,0.6711111111111111,0.693069306930693,0.6896960240406842,0.0365813568970732
NSGA3,random_dense+2P,0.5466666666666666,0.594059405940594,0.5915796160361377,0.020271418752954722
NSGA3,random_dense+2P,0.5488888888888889,0.6138613861386139,0.6743732926241361,0.034858905940857554
NSGA3,random_dense+2P,0.6177777777777778,0.6633663366336634,0.6661340852130326,0.03631866412924608
NSGA3,random_dense+2P,0.7355555555555555,0.7623762376237624,0.6546310832025118,0.029914889035179856
NSGA3,random_dense+2P,0.8333333333333334,0.8217821782178217,0.5682164226947323,0.020235773600558928
NSGA3,random_dense+2P,0.48444444444444446,0.49504950495049505,0.6640306122448978,0.029046365082926403
NSGA3,random_dense+2P,0.6866666666666666,0.6039603960396039,0.5653739343838801,0.01288183120451209
NSGA3,random_dense+2P,0.5066666666666667,0.5544554455445545,0.6700010855405991,0.03447783078957371
NSGA3,random_dense+2P,0.6,0.6336633663366337,0.6972804464746186,0.03494011716964725
NSGA3,random_dense+2P,0.56,0.5742574257425742,0.5457164526042076,0.015345706295193497
NSGA3,random_dense+2P,0.6288888888888889,0.5742574257425742,0.5328993666432089,0.009520428982869198
NSGA3,random_dense+2P,0.7777777777777778,0.8118811881188119,0.5844087635054022,0.023719142282510205
NSGA3,random_dense+2P,0.5355555555555556,0.5445544554455446,0.6687890882159314,0.028499462243921764
NSGA3,random_dense+2P,0.6866666666666666,0.7524752475247525,0.6609726168948592,0.03586249889882
NSGA3,random_dense+2P,0.6644444444444444,0.6138613861386139,0.6520274776577297,0.02424058272290502
NSGA3,random_dense+2P,0.8,0.8118811881188119,0.5328122393371518,0.016158269411116276
NSGA3,random_dense+2P,0.7822222222222223,0.7524752475247525,0.5779056051389915,0.01765808118679042
NSGA3,random_dense+2P,0.5444444444444444,0.5841584158415841,0.7006195335276968,0.04489854299715482
NSGA3,random_dense+2P,0.6,0.6237623762376238,0.6684087895085831,0.028671700806551494
NSGA3,random_dense+2P,0.49333333333333335,0.504950495049505,0.5933016219588272,0.02182129073182955
NSGA3,random_dense+2P,0.7644444444444445,0.7623762376237624,0.6216967556253269,0.024588709219929054
NSGA3,random_dense+2P,0.5422222222222223,0.5148514851485149,0.5830402878282787,0.016476618448285782
NSGA3,random_dense+2P,0.6,0.5544554455445545,0.6866066823841449,0.03081812257668902
NSGA3,random_dense+2P,0.5555555555555556,0.6138613861386139,0.6396063289128879,0.026709729722066866
NSGA3,random_dense+2P,0.7177777777777777,0.7326732673267327,0.5480364873222016,0.015362697534468263
NSGA3,random_dense+2P,0.6066666666666667,0.5445544554455446,0.6576621720116615,0.023020433830105387
NSGA3,random_dense+2P,0.5422222222222223,0.5346534653465347,0.6913112854703634,0.036043127576687845
NSGA3,random_dense+2P,0.5955555555555555,0.6237623762376238,0.629030612244898,0.02120599723720096
NSGA3,random_dense+2P,0.5622222222222222,0.48514851485148514,0.5381279434850862,0.011555325516644234
NSGA3,random_dense+2P,0.48444444444444446,0.5148514851485149,0.6352210884353741,0.028987004768096243
NSGA3,random_dense+2P,0.5,0.44554455445544555,0.5840297325826881,0.018621088528620346
NSGA3,random_dense+2P,0.6866666666666666,0.7524752475247525,0.6328145182123481,0.028781851586009474
NSGA3,random_dense+2P,0.6088888888888889,0.6039603960396039,0.587719696419493,0.015623879551652597
NSGA3,random_dense+2P,0.6155555555555555,0.6831683168316832,0.6413211411325092,0.026444338760855248
NSGA3,random_dense+2P,0.7111111111111111,0.6633663366336634,0.5285488048430381,0.00990802337588971
NSGA3,random_dense+2P,0.6911111111111111,0.7425742574257426,0.5923260813759464,0.021614535450554456
NSGA3,random_dense+2P,0.6577777777777778,0.693069306930693,0.6290538492624772,0.02207237295454334
NSGA3,random_dense+2P,0.6111111111111112,0.6633663366336634,0.5966131133304383,0.02096831611997311
