algorithm,init_cross,Compacidad ($f_1$ min),Tolerancia Real ($f_2$ max),Disimilitud ($f_3$ max) / $f_1$,Varianza ($f_4$ min) / $f_1^2$
RVEA,greedy_ting+2P,0.02,0.0,0.8290816326530611,0.7892558582548277
RVEA,greedy_ting+2P,0.02666666666666667,0.0,0.6380907626208377,0.5677888881216263
RVEA,greedy_ting+2P,0.008888888888888889,0.0,0.5235389610389609,0.2477325846887402
RVEA,greedy_ting+2P,0.017777777777777778,0.0,0.3813775510204082,0.15951577635753017
RVEA,greedy_ting+2P,0.028888888888888888,0.0,0.2350765306122449,0.10073022308429871
RVEA,greedy_ting+2P,0.015555555555555555,0.0,0.9770408163265303,1.0
RVEA,greedy_ting+2P,0.006666666666666667,0.0,0.8221938775510202,0.3762033852181545
RVEA,greedy_ting+2P,0.006666666666666667,0.0,0.7053571428571427,0.31857628454798576
RVEA,greedy_ting+2P,0.006666666666666667,0.0,0.6107142857142855,0.28732898333474194
RVEA,greedy_ting+2P,0.011111111111111112,0.0,0.4604591836734694,0.20628128699757836
RVEA,greedy_ting+2P,0.0044444444444444444,0.0,0.9686791383219953,0.4328575473288207
RVEA,greedy_ting+2P,0.0044444444444444444,0.0,0.8657879818594105,0.3895352530388844
RVEA,greedy_ting+2P,0.006666666666666667,0.0,0.7811224489795916,0.32327562041728897
RVEA,greedy_ting+2P,0.006666666666666667,0.0,0.6678571428571428,0.3004089284447697
RVEA,greedy_ting+2P,0.006666666666666667,0.0,0.9716836734693874,0.38496832181676466
RVEA,greedy_ting+2P,0.011111111111111112,0.0,0.8284438775510203,0.2874035457436697
RVEA,greedy_ting+2P,0.21777777777777776,0.1188118811881188,0.5600461613216715,0.06839774945626953
RVEA,greedy_ting+2P,0.23333333333333334,0.06930693069306931,0.4971528790087463,0.08724503778452299
RVEA,greedy_ting+2P,0.17777777777777778,0.0594059405940594,0.622903471733521,0.12904175598450449
RVEA,greedy_ting+2P,0.1688888888888889,0.09900990099009901,0.605959552495697,0.08448578138372778
RVEA,greedy_ting+2P,0.18,0.04950495049504951,0.4318761595547309,0.08126967189941967
RVEA,greedy_ting+2P,0.14,0.07920792079207921,0.6214650145772593,0.10016213738110544
RVEA,greedy_ting+2P,0.12222222222222222,0.04950495049504951,0.6835500329163922,0.12869204742795484
RVEA,greedy_ting+2P,0.10666666666666667,0.039603960396039604,0.6631957328385899,0.1710463384544826
RVEA,greedy_ting+2P,0.09555555555555556,0.0297029702970297,0.6656632653061225,0.18800088698838957
RVEA,greedy_ting+2P,0.4488888888888889,0.09900990099009901,0.5249182208768673,0.05294916691178236
RVEA,greedy_ting+2P,0.3622222222222222,0.22772277227722773,0.5214585834333733,0.05183707175645881
RVEA,greedy_ting+2P,0.32,0.12871287128712872,0.5230858899851331,0.08146681765821331
RVEA,greedy_ting+2P,0.2644444444444444,0.10891089108910891,0.5228377065111759,0.08946228191694301
RVEA,greedy_ting+2P,0.19555555555555557,0.0891089108910891,0.586909237379162,0.11090694264721689
RVEA,greedy_ting+2P,0.7111111111111111,0.5445544554455446,0.5094668601385508,0.02695904730269543
RVEA,greedy_ting+2P,0.6844444444444444,0.5544554455445545,0.4937763200518303,0.02379059844920413
RVEA,greedy_ting+2P,0.5688888888888889,0.39603960396039606,0.49788061612477696,0.03353889090711003
RVEA,greedy_ting+2P,0.43777777777777777,0.33663366336633666,0.5460309123649459,0.03786955524036758
RVEA,greedy_ting+2P,0.4777777777777778,0.12871287128712872,0.5226948887663172,0.04621507674175354
RVEA,greedy_ting+2P,0.4,0.09900990099009901,0.5440699006875478,0.05578100161587746
RVEA,greedy_ting+2P,0.7577777777777778,0.594059405940594,0.5075064508562045,0.023497478221591626
RVEA,greedy_ting+2P,0.6266666666666667,0.46534653465346537,0.5210128168914624,0.030972180972600166
RVEA,greedy_ting+2P,0.5444444444444444,0.36633663366336633,0.533477081308714,0.03342816564302819
RVEA,greedy_ting+2P,0.3888888888888889,0.2871287128712871,0.5464369813859608,0.045556984651717765
RVEA,greedy_ting+2P,0.6644444444444444,0.5148514851485149,0.5098622782446312,0.02866191527174787
RVEA,greedy_ting+2P,0.6,0.4158415841584158,0.553741803580638,0.03127439901892384
RVEA,greedy_ting+2P,0.4866666666666667,0.38613861386138615,0.5485484016615494,0.03193351770192617
RVEA,greedy_ting+2P,0.6955555555555556,0.5841584158415841,0.4943080357142856,0.02329421033143376
