algorithm,init_cross,Compacidad ($f_1$ min),Tolerancia Real ($f_2$ max),Disimilitud ($f_3$ max) / $f_1$,Varianza ($f_4$ min) / $f_1^2$
SMSEMOA,greedy_multi+HUX,0.0,0.0,0.9684766763848397,0.48012002942472715
SMSEMOA,greedy_multi+HUX,0.006666666666666667,0.0,0.9987244897959184,0.4102360019389213
SMSEMOA,greedy_multi+HUX,0.057777777777777775,0.06930693069306931,0.8218537414965984,0.07839363215148996
SMSEMOA,greedy_multi+HUX,0.06,0.0594059405940594,0.7611044417767104,0.06397897684881586
SMSEMOA,greedy_multi+HUX,0.022222222222222223,0.009900990099009901,0.98296818727491,0.17617544665334975
SMSEMOA,greedy_multi+HUX,0.008888888888888889,0.0,0.9041048237476808,0.2993903084279735
SMSEMOA,greedy_multi+HUX,0.05333333333333334,0.0594059405940594,0.7711076366030283,0.06865865077213569
SMSEMOA,greedy_multi+HUX,0.028888888888888888,0.0297029702970297,0.9455357142857144,0.1361146952677652
SMSEMOA,greedy_multi+HUX,0.02,0.009900990099009901,0.7761479591836735,0.16363357379547533
SMSEMOA,greedy_multi+HUX,0.03333333333333333,0.039603960396039604,0.8144712430426716,0.10950224082248278
SMSEMOA,greedy_multi+HUX,0.03111111111111111,0.0297029702970297,0.9106535471331387,0.122772364937442
SMSEMOA,greedy_multi+HUX,0.03333333333333333,0.0297029702970297,0.965677179962894,0.12750310759196173
SMSEMOA,greedy_multi+HUX,0.017777777777777778,0.009900990099009901,0.8528061224489794,0.1865512736691455
SMSEMOA,greedy_multi+HUX,0.04888888888888889,0.04950495049504951,0.8402973258268822,0.08191006270428632
SMSEMOA,greedy_multi+HUX,0.035555555555555556,0.039603960396039604,0.8882542147293699,0.11080957456567733
SMSEMOA,greedy_multi+HUX,0.028888888888888888,0.019801980198019802,0.8418367346938775,0.12380935898562062
SMSEMOA,greedy_multi+HUX,0.024444444444444446,0.0297029702970297,0.8601190476190474,0.14348359463067578
SMSEMOA,greedy_multi+HUX,0.02,0.009900990099009901,0.7653061224489794,0.16069354204502928
SMSEMOA,greedy_multi+HUX,0.04,0.039603960396039604,0.9174999999999999,0.10344432257524154
SMSEMOA,greedy_multi+HUX,0.02666666666666667,0.0297029702970297,0.9205827067669172,0.13910848959378933
SMSEMOA,greedy_multi+HUX,0.03333333333333333,0.0297029702970297,0.8683905380333952,0.1113581643169662
SMSEMOA,greedy_multi+HUX,0.03777777777777778,0.0297029702970297,0.7445790816326529,0.08813579753265523
SMSEMOA,greedy_multi+HUX,0.017777777777777778,0.009900990099009901,0.9320578231292517,0.21261745630650217
SMSEMOA,greedy_multi+HUX,0.042222222222222223,0.039603960396039604,0.8470368916797487,0.09081852320696529
SMSEMOA,greedy_multi+HUX,0.042222222222222223,0.039603960396039604,0.8117150706436421,0.08680106685619635
SMSEMOA,greedy_multi+HUX,0.03111111111111111,0.0297029702970297,0.8519800777453839,0.11646810770106782
SMSEMOA,greedy_multi+HUX,0.04,0.0297029702970297,0.7393367346938774,0.08237853129723673
SMSEMOA,greedy_multi+HUX,0.042222222222222223,0.04950495049504951,0.7961145996860282,0.08587079608074201
SMSEMOA,greedy_multi+HUX,0.04,0.0297029702970297,0.7886224489795916,0.0871919394917432
SMSEMOA,greedy_multi+HUX,0.024444444444444446,0.019801980198019802,0.8876133786848072,0.1444488197474617
SMSEMOA,greedy_multi+HUX,0.028888888888888888,0.019801980198019802,0.9474489795918368,0.13550238888655466
SMSEMOA,greedy_multi+HUX,0.04,0.039603960396039604,0.7918877551020409,0.08859518045308881
SMSEMOA,greedy_multi+HUX,0.02666666666666667,0.019801980198019802,0.7787996777658431,0.12403678384793909
SMSEMOA,greedy_multi+HUX,0.05333333333333334,0.0594059405940594,0.8308508887425937,0.07961761117871712
SMSEMOA,greedy_multi+HUX,0.03777777777777778,0.039603960396039604,0.8352465986394557,0.0974368099111167
SMSEMOA,greedy_multi+HUX,0.04666666666666667,0.04950495049504951,0.8576895043731778,0.08724460697801989
SMSEMOA,greedy_multi+HUX,0.028888888888888888,0.019801980198019802,0.7436224489795917,0.1132910723802539
SMSEMOA,greedy_multi+HUX,0.044444444444444446,0.04950495049504951,0.8482142857142857,0.08868372345206074
SMSEMOA,greedy_multi+HUX,0.03777777777777778,0.0297029702970297,0.7480867346938773,0.08843142524336262
SMSEMOA,greedy_multi+HUX,0.028888888888888888,0.0297029702970297,0.8739795918367347,0.12704742880434017
SMSEMOA,greedy_multi+HUX,0.04,0.039603960396039604,0.7925000000000001,0.08860841127600362
SMSEMOA,greedy_multi+HUX,0.035555555555555556,0.039603960396039604,0.9157608695652171,0.11153613701752123
SMSEMOA,greedy_multi+HUX,0.044444444444444446,0.04950495049504951,0.8283730158730157,0.08554760003256158
SMSEMOA,greedy_multi+HUX,0.035555555555555556,0.039603960396039604,0.9316215616681455,0.11605715541950394
SMSEMOA,greedy_multi+HUX,0.024444444444444446,0.019801980198019802,0.9713718820861676,0.16471104719034926
SMSEMOA,greedy_multi+HUX,0.042222222222222223,0.039603960396039604,0.7606946624803766,0.08152915689846256
SMSEMOA,greedy_multi+HUX,0.03111111111111111,0.019801980198019802,0.7303814382896016,0.10557392682811309
SMSEMOA,greedy_multi+HUX,0.044444444444444446,0.04950495049504951,0.8787320483749054,0.09189604929087727
SMSEMOA,greedy_multi+HUX,0.035555555555555556,0.0297029702970297,0.8740572315882874,0.10825362512512383
SMSEMOA,greedy_multi+HUX,0.04,0.0297029702970297,0.8424999999999997,0.09450092461374096
SMSEMOA,greedy_multi+HUX,0.042222222222222223,0.039603960396039604,0.8046507064364204,0.0864096223912493
SMSEMOA,greedy_multi+HUX,0.028888888888888888,0.0297029702970297,0.8286989795918367,0.12221193417856178
SMSEMOA,greedy_multi+HUX,0.03111111111111111,0.019801980198019802,0.9115038872691934,0.12568183866063146
SMSEMOA,greedy_multi+HUX,0.042222222222222223,0.039603960396039604,0.7524529042386183,0.08062179549616244
SMSEMOA,greedy_multi+HUX,0.03777777777777778,0.039603960396039604,0.839392006802721,0.09899340472185235
SMSEMOA,greedy_multi+HUX,0.03777777777777778,0.039603960396039604,0.9224064625850341,0.11344541250329461
SMSEMOA,greedy_multi+HUX,0.03333333333333333,0.039603960396039604,0.929499072356215,0.12169651818911122
SMSEMOA,greedy_multi+HUX,0.042222222222222223,0.04950495049504951,0.8430141287284142,0.09105886595936155
SMSEMOA,greedy_multi+HUX,0.03777777777777778,0.0297029702970297,0.8916879251700681,0.10644511202663809
SMSEMOA,greedy_multi+HUX,0.044444444444444446,0.039603960396039604,0.8855347694633408,0.09218818896851057
SMSEMOA,greedy_multi+HUX,0.03777777777777778,0.0297029702970297,0.7807185374149658,0.09030805777741166
SMSEMOA,greedy_multi+HUX,0.03777777777777778,0.039603960396039604,0.8768069727891157,0.10185661734406509
SMSEMOA,greedy_multi+HUX,0.042222222222222223,0.04950495049504951,0.8182888540031396,0.08836382232405231
SMSEMOA,greedy_multi+HUX,0.042222222222222223,0.039603960396039604,0.9225863422291992,0.10466923334193085
SMSEMOA,greedy_multi+HUX,0.044444444444444446,0.04950495049504951,0.8413170823885109,0.08721584429184327
SMSEMOA,greedy_multi+HUX,0.044444444444444446,0.04950495049504951,0.8660714285714286,0.09105253245600387
SMSEMOA,greedy_multi+HUX,0.03333333333333333,0.0297029702970297,0.8221243042671612,0.10549469899324208
SMSEMOA,greedy_multi+HUX,0.03777777777777778,0.0297029702970297,0.8222789115646257,0.0959978994861782
SMSEMOA,greedy_multi+HUX,0.04666666666666667,0.04950495049504951,0.8175109329446063,0.08113948322086513
SMSEMOA,greedy_multi+HUX,0.03333333333333333,0.0297029702970297,0.7618274582560295,0.0982597421510787
SMSEMOA,greedy_multi+HUX,0.04,0.04950495049504951,0.8649489795918367,0.09814520390792808
SMSEMOA,greedy_multi+HUX,0.03333333333333333,0.039603960396039604,0.9129174397031538,0.11681825272096687
SMSEMOA,greedy_multi+HUX,0.044444444444444446,0.04950495049504951,0.8855347694633408,0.09331057846568508
SMSEMOA,greedy_multi+HUX,0.028888888888888888,0.0297029702970297,0.8735969387755103,0.12660286517527536
SMSEMOA,greedy_multi+HUX,0.04666666666666667,0.04950495049504951,0.8567784256559766,0.08693021653577392
SMSEMOA,greedy_multi+HUX,0.042222222222222223,0.039603960396039604,0.8508634222919935,0.09208497696177098
SMSEMOA,greedy_multi+HUX,0.024444444444444446,0.019801980198019802,0.9624433106575964,0.15679988034189832
SMSEMOA,greedy_multi+HUX,0.04666666666666667,0.04950495049504951,0.834456997084548,0.08343033294129182
SMSEMOA,greedy_multi+HUX,0.04888888888888889,0.04950495049504951,0.7733550316678395,0.07229353753033001
SMSEMOA,greedy_multi+HUX,0.042222222222222223,0.039603960396039604,0.8858908948194661,0.09625839946654417
SMSEMOA,greedy_multi+HUX,0.042222222222222223,0.04950495049504951,0.8783359497645211,0.09613305067931728
SMSEMOA,greedy_multi+HUX,0.03777777777777778,0.039603960396039604,0.7791241496598638,0.09052762195786697
SMSEMOA,greedy_multi+HUX,0.044444444444444446,0.039603960396039604,0.8288454270597125,0.08632071876732507
SMSEMOA,greedy_multi+HUX,0.035555555555555556,0.0297029702970297,0.8341282165039928,0.1035399278092161
SMSEMOA,greedy_multi+HUX,0.044444444444444446,0.04950495049504951,0.8031462585034012,0.08285112891743124
SMSEMOA,greedy_multi+HUX,0.04666666666666667,0.04950495049504951,0.7904518950437317,0.07789708891442593
SMSEMOA,greedy_multi+HUX,0.03777777777777778,0.039603960396039604,0.87765731292517,0.10319352204134737
SMSEMOA,greedy_multi+HUX,0.042222222222222223,0.039603960396039604,0.8387951334379904,0.09029573882285917
SMSEMOA,greedy_multi+HUX,0.03777777777777778,0.0297029702970297,0.8401360544217686,0.0995683518201402
SMSEMOA,greedy_multi+HUX,0.04666666666666667,0.04950495049504951,0.8532252186588922,0.08538588220182895
SMSEMOA,greedy_multi+HUX,0.02666666666666667,0.0297029702970297,0.8492883995703545,0.13022587227225074
SMSEMOA,greedy_multi+HUX,0.04,0.04950495049504951,0.8204591836734693,0.09217972761107425
SMSEMOA,greedy_multi+HUX,0.028888888888888888,0.019801980198019802,0.8553571428571429,0.1244864956737413
SMSEMOA,greedy_multi+HUX,0.05333333333333334,0.0594059405940594,0.8212228439763,0.07404661005432427
SMSEMOA,greedy_multi+HUX,0.03111111111111111,0.0297029702970297,0.8795553935860058,0.12072136017847172
SMSEMOA,greedy_multi+HUX,0.03777777777777778,0.039603960396039604,0.91921768707483,0.10783560121418868
SMSEMOA,greedy_multi+HUX,0.035555555555555556,0.039603960396039604,0.8723935226264419,0.10636237337303941
SMSEMOA,greedy_multi+HUX,0.044444444444444446,0.04950495049504951,0.7952097505668935,0.08093709661533548
SMSEMOA,greedy_multi+HUX,0.04,0.039603960396039604,0.876785714285714,0.09790844181365536
SMSEMOA,greedy_multi+HUX,0.04,0.039603960396039604,0.8286224489795917,0.09259692408568643
SMSEMOA,greedy_multi+HUX,0.03777777777777778,0.0297029702970297,0.798575680272109,0.09370018898747226
SMSEMOA,greedy_multi+HUX,0.044444444444444446,0.039603960396039604,0.7238756613756611,0.07350652325138075
SMSEMOA,greedy_multi+HUX,0.04,0.039603960396039604,0.7984183673469387,0.08979910796513854
SMSEMOA,greedy_multi+HUX,0.051111111111111114,0.04950495049504951,0.7769557823129252,0.0712514006285273
SMSEMOA,greedy_multi+HUX,0.042222222222222223,0.04950495049504951,0.791993720565149,0.08526474390475051
SMSEMOA,greedy_multi+HUX,0.03111111111111111,0.009900990099009901,0.7069363459669582,0.10539176089270758
SMSEMOA,greedy_multi+HUX,0.03333333333333333,0.0297029702970297,0.8534322820037105,0.10934397739048451
SMSEMOA,greedy_multi+HUX,0.03333333333333333,0.0297029702970297,0.8289656771799628,0.1088171569920768
SMSEMOA,greedy_multi+HUX,0.05333333333333334,0.0594059405940594,0.7780200789993417,0.069835251281942
