algorithm,init_cross,Compacidad ($f_1$ min),Tolerancia Real ($f_2$ max),Disimilitud ($f_3$ max) / $f_1$,Varianza ($f_4$ min) / $f_1^2$
SPEA2,greedy_multi+1P,0.0,0.0,0.9218294460641399,0.473472247532732
SPEA2,greedy_multi+1P,0.0022222222222222222,0.0,0.816645408163265,0.3801341192635366
SPEA2,greedy_multi+1P,0.0,0.0,0.989978134110787,0.4799924721489582
SPEA2,greedy_multi+1P,0.006666666666666667,0.009900990099009901,0.9905612244897956,0.35477873688353573
SPEA2,greedy_multi+1P,0.0044444444444444444,0.0,0.7405045351473922,0.3112217199049275
SPEA2,greedy_multi+1P,0.008888888888888889,0.009900990099009901,0.991303339517625,0.32170545233997
SPEA2,greedy_multi+1P,0.0044444444444444444,0.0,0.7858560090702948,0.3246330803647799
SPEA2,greedy_multi+1P,0.015555555555555555,0.0,0.4806851311953352,0.1558170668687472
SPEA2,greedy_multi+1P,0.03777777777777778,0.0,0.871598639455782,0.10787388484530933
SPEA2,greedy_multi+1P,0.0022222222222222222,0.0,0.9952168367346936,0.4111499052549056
SPEA2,greedy_multi+1P,0.03333333333333333,0.0,0.9392393320964747,0.1290959331178117
SPEA2,greedy_multi+1P,0.0022222222222222222,0.0,0.9314413265306123,0.4102643444192472
SPEA2,greedy_multi+1P,0.02,0.0,0.5409757653061225,0.13293169154102552
SPEA2,greedy_multi+1P,0.015555555555555555,0.019801980198019802,0.9834183673469387,0.2638606083802353
SPEA2,greedy_multi+1P,0.013333333333333334,0.0,0.5114795918367346,0.17898366305862956
SPEA2,greedy_multi+1P,0.042222222222222223,0.04950495049504951,0.977138932496075,0.12445892573646251
SPEA2,greedy_multi+1P,0.03111111111111111,0.0,0.8551384839650142,0.1188936971615266
SPEA2,greedy_multi+1P,0.06222222222222222,0.07920792079207921,0.8939139941690961,0.08743818809709866
SPEA2,greedy_multi+1P,0.0022222222222222222,0.0,0.8622448979591835,0.38894155824867244
SPEA2,greedy_multi+1P,0.02,0.019801980198019802,0.7842793367346937,0.1742349440660167
SPEA2,greedy_multi+1P,0.0044444444444444444,0.0,0.994756235827664,0.35703536066917607
SPEA2,greedy_multi+1P,0.044444444444444446,0.019801980198019802,0.881660997732426,0.09534980164121809
SPEA2,greedy_multi+1P,0.0044444444444444444,0.0,0.8935657596371879,0.347408034906377
SPEA2,greedy_multi+1P,0.057777777777777775,0.039603960396039604,0.8288883735312305,0.07936103070142865
SPEA2,greedy_multi+1P,0.06666666666666667,0.07920792079207921,0.8123621070049639,0.07557300189393645
SPEA2,greedy_multi+1P,0.015555555555555555,0.0,0.5504737609329444,0.16715788325127282
SPEA2,greedy_multi+1P,0.017777777777777778,0.019801980198019802,0.9232142857142854,0.21459778123081302
SPEA2,greedy_multi+1P,0.006666666666666667,0.0,0.8073979591836734,0.29399480828974184
SPEA2,greedy_multi+1P,0.02666666666666667,0.009900990099009901,0.8232411385606871,0.1313472215398708
SPEA2,greedy_multi+1P,0.035555555555555556,0.039603960396039604,0.8158274179236911,0.10518285207005325
SPEA2,greedy_multi+1P,0.028888888888888888,0.009900990099009901,0.5823979591836733,0.10628105743219997
SPEA2,greedy_multi+1P,0.0044444444444444444,0.0,0.8587018140589566,0.3341529433033779
SPEA2,greedy_multi+1P,0.04,0.039603960396039604,0.9060714285714287,0.11237752661323812
SPEA2,greedy_multi+1P,0.04666666666666667,0.04950495049504951,0.981413994169096,0.1167238459207707
SPEA2,greedy_multi+1P,0.006666666666666667,0.0,0.7655612244897958,0.28009277257460524
SPEA2,greedy_multi+1P,0.03333333333333333,0.009900990099009901,0.8063543599257883,0.11424914464465659
SPEA2,greedy_multi+1P,0.024444444444444446,0.009900990099009901,0.9829931972789114,0.16914359018065314
SPEA2,greedy_multi+1P,0.035555555555555556,0.009900990099009901,0.6769631765749776,0.09475392016818474
SPEA2,greedy_multi+1P,0.03333333333333333,0.039603960396039604,0.8449675324675323,0.11642788957145644
SPEA2,greedy_multi+1P,0.006666666666666667,0.0,0.8515306122448977,0.29655574142034274
SPEA2,greedy_multi+1P,0.035555555555555556,0.0297029702970297,0.9891858917480033,0.1416071198633518
SPEA2,greedy_multi+1P,0.022222222222222223,0.0,0.9819177671068425,0.17744828152215228
SPEA2,greedy_multi+1P,0.011111111111111112,0.009900990099009901,0.9153911564625848,0.27962332122709865
SPEA2,greedy_multi+1P,0.051111111111111114,0.0297029702970297,0.8847789115646258,0.09470838589436743
SPEA2,greedy_multi+1P,0.03111111111111111,0.009900990099009901,0.8590257531584061,0.12263691243377815
SPEA2,greedy_multi+1P,0.03111111111111111,0.019801980198019802,0.7821307094266275,0.11445309750540669
SPEA2,greedy_multi+1P,0.03777777777777778,0.0297029702970297,0.9403698979591836,0.1209675373422946
SPEA2,greedy_multi+1P,0.017777777777777778,0.019801980198019802,0.863690476190476,0.188430583538716
SPEA2,greedy_multi+1P,0.042222222222222223,0.039603960396039604,0.8602825745682888,0.10361713692250729
SPEA2,greedy_multi+1P,0.044444444444444446,0.009900990099009901,0.7945483749055179,0.08854893057627684
SPEA2,greedy_multi+1P,0.042222222222222223,0.019801980198019802,0.9470172684458396,0.11585249481643528
SPEA2,greedy_multi+1P,0.04,0.04950495049504951,0.9427040816326527,0.14123706566393648
SPEA2,greedy_multi+1P,0.051111111111111114,0.04950495049504951,0.8506802721088434,0.08259177783900472
SPEA2,greedy_multi+1P,0.057777777777777775,0.0594059405940594,0.8877937538651822,0.08668790822379219
SPEA2,greedy_multi+1P,0.04,0.0297029702970297,0.8941326530612245,0.1086802659974645
SPEA2,greedy_multi+1P,0.035555555555555556,0.039603960396039604,0.9800909494232475,0.14522439165743892
SPEA2,greedy_multi+1P,0.051111111111111114,0.0297029702970297,0.7447278911564624,0.0751133324402733
SPEA2,greedy_multi+1P,0.04,0.009900990099009901,0.697908163265306,0.08569397434938077
