Compacidad,Tolerancia,Disimilitud,Balance,init_cross
7.0,1.0,0.5067122593718338,0.0327020869838802,greedy_multi+1P
7.0,1.0,0.4830293819655522,0.032278216100081,greedy_multi+1P
10.0,2.0,0.5041666666666667,0.0238212913711584,greedy_multi+1P
10.0,2.0,0.5010638297872341,0.0225520597555453,greedy_multi+1P
8.0,1.0,0.4622118794326241,0.0265945535113612,greedy_multi+1P
11.0,1.0,0.5097517730496454,0.0352633227102083,greedy_multi+1P
9.0,1.0,0.4240543735224586,0.0229075091703041,greedy_multi+1P
25.0,6.0,0.5079432624113476,0.0133071173482219,greedy_multi+1P
23.0,6.0,0.4936401480111008,0.0097867385970151,greedy_multi+1P
10.0,1.0,0.4732269503546099,0.0212690194155224,greedy_multi+1P
9.0,1.0,0.5087667454688731,0.0247020602057549,greedy_multi+1P
8.0,1.0,0.507313829787234,0.0284815256243398,greedy_multi+1P
20.0,5.0,0.5065159574468086,0.0157266025822393,greedy_multi+1P
20.0,5.0,0.4859929078014184,0.0106371347014737,greedy_multi+1P
23.0,6.0,0.5065525747764416,0.0135582650133132,greedy_multi+1P
28.0,7.0,0.5062689969604863,0.0114312453421839,greedy_multi+1P
32.0,9.0,0.50213320035461,0.0088252020604136,greedy_multi+1P
18.0,4.0,0.5088652482269503,0.0187354341666247,greedy_multi+1P
19.0,5.0,0.5022863008585293,0.0120917846749098,greedy_multi+1P
21.0,2.0,0.5056568726781493,0.0108716520325414,greedy_multi+1P
11.0,1.0,0.3766118633139909,0.017291046759209,greedy_multi+1P
26.0,7.0,0.4928055100927441,0.008788570424127,greedy_multi+1P
17.0,4.0,0.4914997914059241,0.0125047422083542,greedy_multi+1P
28.0,8.0,0.494047619047619,0.0088252943021179,greedy_multi+1P
10.0,1.0,0.4522163120567375,0.0212362227126403,greedy_multi+1P
10.0,1.0,0.5088652482269503,0.0223682158845128,greedy_multi+1P
27.0,5.0,0.5061728395061729,0.0097367746873043,greedy_multi+1P
35.0,9.0,0.4682877406281662,0.0070837811509091,greedy_multi+1P
25.0,7.0,0.5014893617021277,0.0105169307378904,greedy_multi+1P
18.0,3.0,0.4220843183609141,0.0102149358901513,greedy_multi+1P
12.0,1.0,0.5097517730496454,0.0313765341280618,greedy_multi+1P
29.0,8.0,0.4886280264123257,0.0083986042757019,greedy_multi+1P
17.0,4.0,0.501720901126408,0.0126599259321336,greedy_multi+1P
26.0,5.0,0.5082174031642117,0.0125444701726009,greedy_multi+1P
32.0,9.0,0.4967032358156028,0.0082371020351855,greedy_multi+1P
17.0,3.0,0.5093345848977888,0.0214532714243173,greedy_multi+1P
33.0,8.0,0.4432086825703847,0.0064719764647402,greedy_multi+1P
8.0,1.0,0.4854831560283688,0.0281442036169896,greedy_multi+1P
22.0,5.0,0.5086637653127015,0.0149390796078609,greedy_multi+1P
12.0,1.0,0.4918735224586288,0.0179353394013826,greedy_multi+1P
33.0,9.0,0.4902482269503546,0.0078502493590305,greedy_multi+1P
34.0,9.0,0.4790362953692115,0.007404273855043,greedy_multi+1P
18.0,4.0,0.45951536643026,0.0111116292402758,greedy_multi+1P
19.0,3.0,0.4866088092571855,0.0110336187817514,greedy_multi+1P
28.0,7.0,0.4949658054711246,0.0088387743409382,greedy_multi+1P
28.0,7.0,0.4621643870314083,0.0075275686492153,greedy_multi+1P
11.0,1.0,0.50177304964539,0.0196908953313538,greedy_multi+1P
