Compacidad,Tolerancia,Disimilitud,Balance,init_cross
11.0,1.0,0.5100741457124436,0.0341432803590453,greedy_ting+1P
18.0,1.0,0.2596532702915681,0.0076611703835351,greedy_ting+1P
10.0,1.0,0.4437943262411347,0.0234366669181632,greedy_ting+1P
10.0,1.0,0.5062943262411348,0.0324160552160353,greedy_ting+1P
36.0,8.0,0.4778122537431047,0.0099975636043331,greedy_ting+1P
375.0,74.0,0.3326690307328605,0.0026311048013457,greedy_ting+1P
15.0,2.0,0.5079787234042553,0.0228047402880472,greedy_ting+1P
15.0,1.0,0.3819148936170213,0.0135421172643896,greedy_ting+1P
15.0,1.0,0.3470449172576832,0.0114431981400445,greedy_ting+1P
205.0,41.0,0.3374891887216745,0.0028262954697942,greedy_ting+1P
36.0,8.0,0.4322547281323877,0.0077856711699659,greedy_ting+1P
11.0,1.0,0.4657479045776918,0.0278110270053099,greedy_ting+1P
12.0,1.0,0.3871158392434988,0.0178668983227983,greedy_ting+1P
49.0,6.0,0.4959473150962512,0.0208074936752478,greedy_ting+1P
20.0,2.0,0.5022606382978723,0.0144341625641315,greedy_ting+1P
151.0,32.0,0.4301230566906204,0.0085563396704051,greedy_ting+1P
81.0,16.0,0.4477716487172752,0.009267376065152,greedy_ting+1P
17.0,1.0,0.5035982478097621,0.0165273358098331,greedy_ting+1P
83.0,13.0,0.3198645646415449,0.004030904219597,greedy_ting+1P
138.0,28.0,0.4328875012848185,0.0092967727115567,greedy_ting+1P
144.0,31.0,0.4266585401891253,0.0068567059880493,greedy_ting+1P
56.0,11.0,0.4299328774062816,0.0054235879102471,greedy_ting+1P
364.0,71.0,0.3722697958070298,0.0036408696919867,greedy_ting+1P
269.0,51.0,0.4032534472303514,0.0048207037508809,greedy_ting+1P
121.0,20.0,0.4625461579039915,0.0117775528756458,greedy_ting+1P
142.0,23.0,0.4475452002796923,0.0069102252368563,greedy_ting+1P
222.0,49.0,0.3940522969778289,0.0046298730269294,greedy_ting+1P
116.0,22.0,0.4318445830276351,0.0060184361722612,greedy_ting+1P
83.0,13.0,0.4755618217551055,0.0191431056446474,greedy_ting+1P
52.0,10.0,0.4434328968903437,0.0063421075350257,greedy_ting+1P
173.0,34.0,0.4369644980117246,0.0074609747258021,greedy_ting+1P
154.0,31.0,0.4412245555862576,0.0087962064142925,greedy_ting+1P
93.0,13.0,0.4687237855563181,0.0109333546183501,greedy_ting+1P
48.0,9.0,0.4381833628841607,0.0083941997064608,greedy_ting+1P
30.0,3.0,0.3584810874704491,0.0074280711553185,greedy_ting+1P
222.0,49.0,0.4052177177177177,0.0055248074711188,greedy_ting+1P
256.0,46.0,0.3887168938386525,0.0036066724922951,greedy_ting+1P
16.0,1.0,0.2869015957446808,0.0098860559194395,greedy_ting+1P
181.0,38.0,0.4175629873437561,0.0064163110889742,greedy_ting+1P
168.0,36.0,0.4065824468085107,0.0058205041463812,greedy_ting+1P
20.0,1.0,0.3187943262411347,0.0089198229465318,greedy_ting+1P
30.0,4.0,0.4020390070921985,0.0081311852396761,greedy_ting+1P
243.0,50.0,0.3421292648045997,0.0026300987261741,greedy_ting+1P
82.0,15.0,0.4633065213630859,0.0121798162593606,greedy_ting+1P
12.0,1.0,0.4510195035460993,0.0197086237330869,greedy_ting+1P
14.0,1.0,0.4284447821681864,0.0160840771724414,greedy_ting+1P
431.0,87.0,0.3517549489065508,0.0030570110757095,greedy_ting+1P
181.0,35.0,0.3321235453156224,0.0030793687004923,greedy_ting+1P
58.0,9.0,0.3877629004646613,0.0047351316638248,greedy_ting+1P
434.0,87.0,0.3508391345556754,0.0029993249214368,greedy_ting+1P
100.0,15.0,0.4686347517730496,0.0146279233313213,greedy_ting+1P
276.0,53.0,0.4004843766060232,0.0051226871386931,greedy_ting+1P
297.0,54.0,0.3798684241946653,0.0034514641427562,greedy_ting+1P
28.0,3.0,0.3820605369807497,0.0088086124157486,greedy_ting+1P
124.0,21.0,0.3242321551132464,0.003552308547823,greedy_ting+1P
112.0,14.0,0.4665020263424518,0.0116137646868767,greedy_ting+1P
230.0,45.0,0.3410962072155412,0.002693718492231,greedy_ting+1P
116.0,22.0,0.4583791880655417,0.00913396188258,greedy_ting+1P
251.0,50.0,0.4099912407109152,0.0052257193056419,greedy_ting+1P
251.0,44.0,0.355514113757735,0.0028564532067817,greedy_ting+1P
15.0,1.0,0.4644799054373522,0.0171465183117325,greedy_ting+1P
176.0,30.0,0.4393687540296582,0.0076969615070578,greedy_ting+1P
12.0,1.0,0.5074615839243498,0.0268540469875621,greedy_ting+1P
204.0,32.0,0.4192480183562787,0.0050537027946761,greedy_ting+1P
240.0,46.0,0.4049202127659574,0.0045469966875827,greedy_ting+1P
91.0,15.0,0.407051282051282,0.0049963817097614,greedy_ting+1P
39.0,5.0,0.4522413166030187,0.0075041040335624,greedy_ting+1P
117.0,26.0,0.4122188882827181,0.0043151805267604,greedy_ting+1P
152.0,28.0,0.342694335572975,0.0031354506081767,greedy_ting+1P
278.0,54.0,0.3725477065156385,0.004228678252037,greedy_ting+1P
20.0,2.0,0.4151152482269503,0.0107710860086262,greedy_ting+1P
134.0,27.0,0.3930546734413041,0.0042472645252591,greedy_ting+1P
26.0,4.0,0.4805987452264048,0.011679542045511,greedy_ting+1P
135.0,26.0,0.4491397425794589,0.009996487286943,greedy_ting+1P
