Compacidad,Tolerancia,Disimilitud,Balance,init_cross
13.0,1.0,0.5100927441352974,0.029410495406247014,greedy_ting+HUX
26.0,6.0,0.4883046917621386,0.011746062100191372,greedy_ting+HUX
9.0,1.0,0.48039795114263195,0.026277172866829228,greedy_ting+HUX
19.0,2.0,0.5078387458006719,0.017182812526778182,greedy_ting+HUX
397.0,82.0,0.34850250995944765,0.002686851807489308,greedy_ting+HUX
284.0,60.0,0.33038657476775546,0.002172998336830986,greedy_ting+HUX
33.0,8.0,0.4957554266064904,0.010030893065345808,greedy_ting+HUX
184.0,37.0,0.31617136910268273,0.0023614104427903226,greedy_ting+HUX
14.0,1.0,0.5093718338399189,0.02525954172222682,greedy_ting+HUX
26.0,5.0,0.5007842334969994,0.010691451367515394,greedy_ting+HUX
274.0,66.0,0.41313350934410104,0.004016113762764095,greedy_ting+HUX
129.0,31.0,0.48090879102754414,0.0072082515675317045,greedy_ting+HUX
186.0,46.0,0.4552590940288264,0.0053898788239426215,greedy_ting+HUX
222.0,44.0,0.31972397929844737,0.002193386049967842,greedy_ting+HUX
23.0,3.0,0.5059744064138144,0.013451549895317603,greedy_ting+HUX
105.0,18.0,0.2973573117190138,0.0024641890649591772,greedy_ting+HUX
175.0,44.0,0.45963019250253295,0.006178876124163265,greedy_ting+HUX
236.0,54.0,0.4292132467844693,0.004369755656974857,greedy_ting+HUX
136.0,32.0,0.4760768669169795,0.006251087345299254,greedy_ting+HUX
254.0,51.0,0.31954333500865584,0.0021326099475453574,greedy_ting+HUX
126.0,20.0,0.4392308341776427,0.004292588597972373,greedy_ting+HUX
15.0,1.0,0.3235224586288416,0.012055046973939417,greedy_ting+HUX
155.0,38.0,0.47076755891100436,0.006679799927937522,greedy_ting+HUX
74.0,14.0,0.4754288863331416,0.006005532814098883,greedy_ting+HUX
34.0,5.0,0.4372392574050897,0.006562113753955414,greedy_ting+HUX
161.0,35.0,0.46265032377428306,0.005462034005257483,greedy_ting+HUX
61.0,12.0,0.4548017672363679,0.00523515261816948,greedy_ting+HUX
79.0,12.0,0.484738306849807,0.006986838876058591,greedy_ting+HUX
36.0,3.0,0.2542356185973207,0.004067187807578566,greedy_ting+HUX
266.0,62.0,0.4193162427344958,0.004043743487453075,greedy_ting+HUX
10.0,1.0,0.4323581560283688,0.02210011285901107,greedy_ting+HUX
16.0,1.0,0.2864583333333333,0.009752350214243508,greedy_ting+HUX
240.0,61.0,0.429225768321513,0.00451074562046958,greedy_ting+HUX
192.0,50.0,0.45064088356973997,0.005226499606114482,greedy_ting+HUX
11.0,1.0,0.37693423597678916,0.018044548690743217,greedy_ting+HUX
12.0,1.0,0.3489952718676123,0.015268888078511622,greedy_ting+HUX
216.0,54.0,0.42721056606251645,0.004900743043121948,greedy_ting+HUX
80.0,15.0,0.3620789007092199,0.0032023935973731123,greedy_ting+HUX
149.0,32.0,0.4699533533247656,0.005740085533381988,greedy_ting+HUX
18.0,1.0,0.34096729708431833,0.009559422448600047,greedy_ting+HUX
152.0,28.0,0.31279745240761475,0.0023890468042797033,greedy_ting+HUX
324.0,65.0,0.3380368400315209,0.0023076817568720596,greedy_ting+HUX
144.0,36.0,0.4709970941686367,0.0065134902917706565,greedy_ting+HUX
10.0,1.0,0.40647163120567376,0.02143861444343852,greedy_ting+HUX
169.0,41.0,0.46629107390154856,0.00580952366574113,greedy_ting+HUX
96.0,19.0,0.4547779994089835,0.004725784757059497,greedy_ting+HUX
15.0,2.0,0.4615839243498818,0.01557700260997384,greedy_ting+HUX
34.0,4.0,0.36480496453900707,0.005607090970469761,greedy_ting+HUX
256.0,50.0,0.3747645168439716,0.0028896453628705077,greedy_ting+HUX
58.0,14.0,0.45059916850085596,0.008000733077626391,greedy_ting+HUX
142.0,34.0,0.42246029367695537,0.0042131416155444445,greedy_ting+HUX
127.0,33.0,0.4665912771541855,0.005657260855540776,greedy_ting+HUX
55.0,10.0,0.47772404900064475,0.0066710054992494446,greedy_ting+HUX
77.0,16.0,0.4937367596942065,0.009354735138571017,greedy_ting+HUX
85.0,19.0,0.48374009178139343,0.006726216381065962,greedy_ting+HUX
343.0,73.0,0.375211938878895,0.0032569979165027107,greedy_ting+HUX
49.0,9.0,0.4661492256477059,0.006191493370875307,greedy_ting+HUX
197.0,39.0,0.3500108003024085,0.0026329486820619746,greedy_ting+HUX
355.0,73.0,0.33846518829287786,0.0024527938294446865,greedy_ting+HUX
130.0,33.0,0.4690534642662302,0.006888213978199884,greedy_ting+HUX
48.0,9.0,0.48710845153664306,0.007553961642519503,greedy_ting+HUX
15.0,1.0,0.41199763593380617,0.015171265557846956,greedy_ting+HUX
32.0,4.0,0.4820478723404255,0.008667636892636216,greedy_ting+HUX
156.0,33.0,0.44810988361520276,0.004668274847222542,greedy_ting+HUX
158.0,41.0,0.44641013555974507,0.005994262459484806,greedy_ting+HUX
27.0,3.0,0.39440504334121357,0.008645111251452354,greedy_ting+HUX
104.0,25.0,0.47800736497545004,0.005936416119327152,greedy_ting+HUX
228.0,58.0,0.43294683961677244,0.004863460456729501,greedy_ting+HUX
245.0,60.0,0.4140758431031987,0.004210317476029438,greedy_ting+HUX
22.0,3.0,0.43314796905222436,0.011328898098126036,greedy_ting+HUX
53.0,7.0,0.3296534189749766,0.004162498263743688,greedy_ting+HUX
167.0,34.0,0.43767783581772624,0.004129160819255773,greedy_ting+HUX
64.0,13.0,0.49326795212765956,0.01090551203366078,greedy_ting+HUX
85.0,15.0,0.4603149770546517,0.005257904666850809,greedy_ting+HUX
93.0,24.0,0.47401433691756273,0.007229566024796345,greedy_ting+HUX
108.0,27.0,0.4661971368531652,0.006348440390677766,greedy_ting+HUX
120.0,28.0,0.4698064420803783,0.00563010191673444,greedy_ting+HUX
22.0,2.0,0.4543036750483559,0.011817830294799497,greedy_ting+HUX
146.0,37.0,0.4378096764791606,0.005411179293820182,greedy_ting+HUX
110.0,28.0,0.45653610573823344,0.0066330310362150745,greedy_ting+HUX
57.0,12.0,0.44596864501679734,0.006425550237207796,greedy_ting+HUX
153.0,40.0,0.45947480647105177,0.0062092987761782565,greedy_ting+HUX
16.0,2.0,0.5090868794326241,0.020889281459056493,greedy_ting+HUX
