init,Compacidad,Tolerancia,Disimilitud,Balance
random_dense,350.0,83.0,0.37093465045592705,0.0028424467353713795
random_dense,239.0,55.0,0.36777055698982164,0.002071254347992671
random_dense,196.0,55.0,0.4161238963670575,0.0028452494654732474
random_dense,195.0,50.0,0.38528823422440445,0.0021648826956948723
random_dense,259.0,68.0,0.39654358005421836,0.002837665691621993
random_dense,297.0,70.0,0.38370406189555123,0.0028123206255552657
random_dense,178.0,49.0,0.4125229101920472,0.0025946695202316646
random_dense,182.0,49.0,0.410719156729795,0.0025280837894283295
random_dense,193.0,53.0,0.41185738433836766,0.0026593091027172365
random_dense,183.0,52.0,0.4110229430686354,0.002566413422389719
random_dense,181.0,49.0,0.4105050742525763,0.0025191451512495177
random_dense,274.0,66.0,0.3781448982761298,0.002652134318688445
random_dense,180.0,49.0,0.40886524822695036,0.0024782106310324214
random_dense,183.0,50.0,0.40756404294074333,0.0024539125452613724
random_dense,184.0,50.0,0.4074159728646315,0.002445971150034584
random_dense,179.0,49.0,0.41071357819247994,0.0025401199557390816
random_dense,182.0,50.0,0.4098423739381186,0.002516885692632605
random_dense,183.0,50.0,0.4051999767468899,0.0024119563004508155
random_dense,189.0,53.0,0.40726199857405526,0.0024963996000933295
random_dense,188.0,53.0,0.40828240531160404,0.002525367774923311
random_dense,187.0,50.0,0.40123544582242954,0.0023440192419438865
random_dense,175.0,49.0,0.4110283687943262,0.002568518373095431
random_dense,183.0,50.0,0.4077190636747665,0.0024585108088083906
random_dense,185.0,51.0,0.408084147977765,0.0024665718062280638
random_dense,180.0,48.0,0.40907702915681643,0.0024871887955169696
random_dense,179.0,49.0,0.40868794326241137,0.002481357833007653
random_dense,183.0,50.0,0.40913362787272795,0.0024906654226782977
random_dense,182.0,51.0,0.4100128594809446,0.0025329044329580343
random_dense,272.0,66.0,0.3778812056737588,0.002534034815489096
random_dense,191.0,53.0,0.4092217147525157,0.0025355332823540386
random_dense,217.0,57.0,0.3949243389874824,0.002406969165573152
random_dense,192.0,53.0,0.40973145685579193,0.0025697290937010536
random_dense,181.0,50.0,0.4097948748089808,0.0025078818714567744
random_dense,242.0,64.0,0.39384781079655357,0.002728720183788129
random_dense,184.0,52.0,0.40933356460067843,0.0025106955761485506
random_dense,184.0,50.0,0.4094347440641381,0.002494337162649845
random_dense,182.0,48.0,0.4090435273945912,0.002486966587433297
random_dense,184.0,50.0,0.4071750693802035,0.0024429922629377802
random_dense,201.0,55.0,0.39916551991813976,0.0023859028090483093
random_dense,184.0,50.0,0.404486586493987,0.0023784438902490594
random_dense,185.0,51.0,0.40618650565459075,0.0024207099949226756
random_dense,186.0,49.0,0.4011191184320903,0.002349583033123857
random_dense,186.0,52.0,0.4107612674445207,0.0025440842668970525
random_dense,200.0,53.0,0.39468528368794326,0.002290171343713847
random_dense,182.0,51.0,0.4094721767594108,0.002504701700171875
random_dense,253.0,59.0,0.36579135480615593,0.0021723409871347928
random_dense,182.0,49.0,0.4098082768295534,0.0025024662804549284
random_dense,208.0,55.0,0.3913239907255865,0.002354988440350076
random_dense,190.0,53.0,0.4090238895110116,0.0025465138592631726
random_dense,182.0,49.0,0.4087366534175044,0.002474057527933035
random_dense,187.0,51.0,0.4057297000037926,0.0024175506009375975
random_dense,185.0,51.0,0.4092486103124401,0.0024983236634895105
random_dense,193.0,54.0,0.4086144489765921,0.0025649625046132254
random_dense,182.0,49.0,0.4085612968591692,0.002472958502923329
random_dense,254.0,62.0,0.3720088512872061,0.002213479903309715
random_dense,184.0,51.0,0.406929347826087,0.0024548948812408667
random_dense,182.0,49.0,0.407158444392487,0.0024396848089508973
random_dense,188.0,49.0,0.39985570393843367,0.0023304709370559665
random_dense,226.0,58.0,0.39596670432435827,0.0025300194109519323
random_dense,239.0,62.0,0.38706267248286297,0.002572303714105986
random_dense,189.0,51.0,0.40094844084205783,0.002340241743847462
random_dense,189.0,53.0,0.40044185522908926,0.0023798011544223503
random_dense,184.0,51.0,0.40876021430773973,0.002484195705371766
random_dense,185.0,50.0,0.4054964539007092,0.002407531509890717
random_dense,236.0,60.0,0.38787339223464357,0.0024372804828479144
random_dense,178.0,48.0,0.40937524902382655,0.002502341986835303
random_dense,181.0,50.0,0.40883488107832766,0.002483682030935926
random_dense,184.0,51.0,0.40564292321924145,0.0024414108463315146
random_dense,210.0,57.0,0.40084430935494764,0.0024990861156762552
random_dense,228.0,58.0,0.3883834142092821,0.002397372570762643
random_dense,183.0,49.0,0.40599930240669685,0.0024176435115462174
random_dense,183.0,49.0,0.40564566135720653,0.0024067837233242894
random_dense,180.0,49.0,0.4090967297084318,0.0024965715907411187
random_dense,234.0,61.0,0.4004175001515427,0.0028752947636279
random_dense,184.0,49.0,0.3971197579401789,0.002307631948038317
random_dense,192.0,53.0,0.40518801713947994,0.002449128299574953
random_dense,267.0,63.0,0.38050840704438604,0.002600438734274856
random_dense,191.0,53.0,0.402013478890498,0.0023768481542161177
random_dense,201.0,55.0,0.4084056667019512,0.002667012239538952
random_dense,185.0,49.0,0.40310523289246697,0.002359224382886796
random_dense,212.0,57.0,0.40116502743208887,0.002578987770907914
random_dense,178.0,49.0,0.40739799984062475,0.002455813658899217
random_dense,182.0,50.0,0.41046586392331075,0.002524649858262447
random_dense,183.0,50.0,0.4083730573964267,0.0024762853588124072
random_dense,182.0,51.0,0.4114157119476268,0.0025709090594592714
random_dense,184.0,51.0,0.40748342584027136,0.0024586662176754627
random_dense,187.0,48.0,0.39378294838244776,0.0022882146791295237
random_dense,180.0,48.0,0.4096729708431836,0.002500449045276182
random_dense,191.0,51.0,0.39646689688463105,0.0022816405587533775
random_dense,183.0,50.0,0.40715711351393247,0.002448932970540782
random_dense,225.0,58.0,0.38122931442080377,0.0022549286774828773
random_dense,183.0,50.0,0.40878967561911406,0.0024797662548312243
random_dense,186.0,51.0,0.40303992221459617,0.0023662097716105604
random_dense,183.0,50.0,0.4033736387241794,0.0024036255853415595
random_dense,184.0,51.0,0.4039276904101141,0.0024230318344290324
random_dense,188.0,52.0,0.40512769729892867,0.002412877031099585
random_dense,186.0,51.0,0.40672900938000456,0.0024342296040778394
random_dense,187.0,52.0,0.40951283801721844,0.002516640824042912
random_dense,183.0,51.0,0.4080291051428129,0.00247592833721688
random_dense,187.0,51.0,0.40660200250312895,0.0024336056210005077
random_dense,185.0,52.0,0.4098380295188806,0.0025256947712152446
random_dense,216.0,58.0,0.40217855266614133,0.002608367908806192
random_dense,182.0,50.0,0.4072168965785987,0.002457707680223957
random_dense,202.0,53.0,0.39007969945930765,0.002237845172773683
