Compacidad,Tolerancia,Disimilitud,Balance,init_cross
409.0,88.0,0.3497004456467079,0.0026688442785512,greedy_ting+HUX
10.0,1.0,0.510195035460993,0.0279191108973393,greedy_ting+HUX
30.0,1.0,0.162677304964539,0.0027983087914759,greedy_ting+HUX
9.0,1.0,0.5094562647754137,0.0264625447337584,greedy_ting+HUX
21.0,1.0,0.2844056062141168,0.0068070392275079,greedy_ting+HUX
135.0,23.0,0.2879695298135014,0.0015709182944417,greedy_ting+HUX
409.0,88.0,0.3488681093828573,0.0026314840255645,greedy_ting+HUX
19.0,4.0,0.4946808510638297,0.0128594691739952,greedy_ting+HUX
9.0,1.0,0.5098502758077226,0.0276369708406996,greedy_ting+HUX
15.0,3.0,0.5020094562647753,0.0153466319042747,greedy_ting+HUX
339.0,75.0,0.3507421703382916,0.0025714402043412,greedy_ting+HUX
45.0,9.0,0.4445232466509062,0.0079415050414161,greedy_ting+HUX
352.0,76.0,0.3570655020954223,0.0026626978183605,greedy_ting+HUX
10.0,1.0,0.464982269503546,0.021371276281374,greedy_ting+HUX
77.0,14.0,0.4186239292622271,0.0061391676155364,greedy_ting+HUX
20.0,1.0,0.2426418439716312,0.0063465667597203,greedy_ting+HUX
346.0,77.0,0.3597343500184479,0.002685321358834,greedy_ting+HUX
10.0,1.0,0.5098404255319149,0.026472314961521,greedy_ting+HUX
14.0,2.0,0.4793566362715298,0.0160016992688126,greedy_ting+HUX
122.0,19.0,0.2767556098128124,0.001603015628761,greedy_ting+HUX
10.0,1.0,0.5092198581560283,0.0236738594638096,greedy_ting+HUX
32.0,6.0,0.4289394946808511,0.0096256802375992,greedy_ting+HUX
85.0,17.0,0.4084167709637046,0.0050923521553589,greedy_ting+HUX
30.0,5.0,0.4393026004728132,0.0091290644613226,greedy_ting+HUX
27.0,5.0,0.4600735487260309,0.0105788736535196,greedy_ting+HUX
9.0,1.0,0.4809889676910953,0.0254463032667829,greedy_ting+HUX
26.0,1.0,0.2362588652482269,0.0052824557131946,greedy_ting+HUX
27.0,1.0,0.1722484896243761,0.0034614348721946,greedy_ting+HUX
40.0,6.0,0.4116578014184397,0.0072067375100598,greedy_ting+HUX
279.0,61.0,0.352744731691197,0.0025937123409853,greedy_ting+HUX
183.0,31.0,0.31260899895361,0.0020079488746809,greedy_ting+HUX
333.0,73.0,0.3529114220603582,0.002534925594897,greedy_ting+HUX
10.0,1.0,0.4851950354609929,0.0226620186987571,greedy_ting+HUX
10.0,1.0,0.5078014184397163,0.0230597052462149,greedy_ting+HUX
117.0,21.0,0.3193383645511304,0.0027609721607719,greedy_ting+HUX
90.0,18.0,0.3891548463356973,0.0039362089269114,greedy_ting+HUX
257.0,56.0,0.3594840908463724,0.0029238138862026,greedy_ting+HUX
328.0,71.0,0.3496205241307732,0.002452489414513,greedy_ting+HUX
28.0,4.0,0.3985562310030395,0.0082990444933065,greedy_ting+HUX
108.0,15.0,0.284467756763856,0.0017923662224348,greedy_ting+HUX
16.0,2.0,0.5002216312056738,0.0149877611632965,greedy_ting+HUX
129.0,28.0,0.3788622244213535,0.0036683551953998,greedy_ting+HUX
28.0,4.0,0.4814146403242148,0.0110742453552078,greedy_ting+HUX
83.0,12.0,0.2580107664701359,0.0019758384714497,greedy_ting+HUX
271.0,51.0,0.3552707335583994,0.0025953746269449,greedy_ting+HUX
311.0,69.0,0.3552142482497548,0.0025196502922915,greedy_ting+HUX
396.0,86.0,0.35059370298732,0.0026153733328432,greedy_ting+HUX
10.0,1.0,0.5093085106382979,0.0242129970197676,greedy_ting+HUX
147.0,32.0,0.3812237661021855,0.0035515641133255,greedy_ting+HUX
119.0,25.0,0.4028547589248465,0.004372205747707,greedy_ting+HUX
11.0,1.0,0.4485009671179884,0.0195476034367295,greedy_ting+HUX
24.0,1.0,0.2318262411347517,0.0053028409662492,greedy_ting+HUX
127.0,26.0,0.3859175182889373,0.003815912517457,greedy_ting+HUX
289.0,57.0,0.3619843431740656,0.002718128510523,greedy_ting+HUX
16.0,3.0,0.4977282801418439,0.0146190358757654,greedy_ting+HUX
402.0,87.0,0.3509028439363466,0.0026271015331297,greedy_ting+HUX
261.0,52.0,0.3427522349936143,0.0023377264557021,greedy_ting+HUX
42.0,8.0,0.4332995609591354,0.0076387470300897,greedy_ting+HUX
28.0,1.0,0.1855686423505572,0.0031228529376705,greedy_ting+HUX
11.0,1.0,0.5080593165699548,0.0219296550009748,greedy_ting+HUX
366.0,81.0,0.3510735185831105,0.0025202380896003,greedy_ting+HUX
386.0,85.0,0.3515231690736045,0.0025790720215225,greedy_ting+HUX
343.0,74.0,0.3495802576349688,0.0024404396366114,greedy_ting+HUX
39.0,7.0,0.4483997090380069,0.0085189301557945,greedy_ting+HUX
65.0,7.0,0.2509547190398254,0.0023010105393362,greedy_ting+HUX
296.0,57.0,0.3407190435115967,0.0023305635394526,greedy_ting+HUX
263.0,56.0,0.3416457676024054,0.0022119680725713,greedy_ting+HUX
33.0,2.0,0.1757736943907156,0.0027500339312296,greedy_ting+HUX
307.0,66.0,0.3624125025989327,0.0026602928414954,greedy_ting+HUX
111.0,22.0,0.3873873873873873,0.0036623742776704,greedy_ting+HUX
321.0,67.0,0.3460070480104284,0.0024961466467345,greedy_ting+HUX
18.0,1.0,0.3472714736012608,0.0102552291652306,greedy_ting+HUX
26.0,1.0,0.2108224222585925,0.004468831364295,greedy_ting+HUX
9.0,1.0,0.5090622537431048,0.0261633882092276,greedy_ting+HUX
29.0,1.0,0.1937209586696013,0.003076292009693,greedy_ting+HUX
103.0,20.0,0.3691902499483578,0.0041851260143484,greedy_ting+HUX
11.0,1.0,0.5099129593810445,0.0247537348774796,greedy_ting+HUX
42.0,8.0,0.4054373522458628,0.00729075812878,greedy_ting+HUX
16.0,1.0,0.3672983156028369,0.0116421191195033,greedy_ting+HUX
360.0,78.0,0.3497241922773837,0.0024526699681003,greedy_ting+HUX
11.0,1.0,0.504110251450677,0.0205270364349699,greedy_ting+HUX
119.0,24.0,0.3909425472316586,0.003939213102136,greedy_ting+HUX
32.0,1.0,0.181959219858156,0.0027293008635757,greedy_ting+HUX
251.0,50.0,0.3314578565171936,0.0020595994879673,greedy_ting+HUX
