Compacidad,Tolerancia,Disimilitud,Balance,init_cross
405.0,89.0,0.3516023115313896,0.002597600038933,greedy_ting+UX
25.0,1.0,0.1881560283687943,0.003627096222524,greedy_ting+UX
181.0,34.0,0.2962021472512832,0.0014984329133654,greedy_ting+UX
10.0,1.0,0.5097517730496455,0.0326353993762888,greedy_ting+UX
19.0,1.0,0.3289007092198581,0.0102478318536845,greedy_ting+UX
11.0,1.0,0.5101547388781431,0.0301412983699294,greedy_ting+UX
8.0,1.0,0.4956781914893617,0.0292781969711969,greedy_ting+UX
9.0,1.0,0.5095547675334909,0.0277083736969536,greedy_ting+UX
8.0,1.0,0.5094193262411347,0.0305379385272056,greedy_ting+UX
36.0,2.0,0.2359387312844759,0.0038443140379315,greedy_ting+UX
310.0,69.0,0.3476121024937085,0.0022969377784158,greedy_ting+UX
98.0,14.0,0.2690060066579823,0.0020900996150701,greedy_ting+UX
11.0,1.0,0.509832366215345,0.0292685434949522,greedy_ting+UX
9.0,1.0,0.4792159180457053,0.0253538550517555,greedy_ting+UX
9.0,1.0,0.5094562647754137,0.0267689977588875,greedy_ting+UX
41.0,3.0,0.24429164504411,0.0035607144335087,greedy_ting+UX
26.0,1.0,0.1956492089470812,0.0035244421393087,greedy_ting+UX
90.0,12.0,0.2603624901497242,0.0019714647833622,greedy_ting+UX
231.0,46.0,0.3273617635319762,0.0019542655272324,greedy_ting+UX
15.0,2.0,0.4897163120567376,0.0161275002934124,greedy_ting+UX
260.0,58.0,0.3378750681942171,0.0021351841906086,greedy_ting+UX
370.0,81.0,0.348212574276404,0.0024258960748888,greedy_ting+UX
387.0,85.0,0.3493113969981857,0.0024955867810534,greedy_ting+UX
250.0,53.0,0.3352234042553191,0.0021264749132337,greedy_ting+UX
356.0,79.0,0.3578447485855446,0.0025874346465651,greedy_ting+UX
320.0,72.0,0.3569065824468085,0.0023517253018619,greedy_ting+UX
12.0,2.0,0.4946808510638298,0.0196230068910014,greedy_ting+UX
269.0,55.0,0.3397400406021777,0.0022221666268535,greedy_ting+UX
10.0,1.0,0.5088652482269503,0.0233256626930234,greedy_ting+UX
69.0,11.0,0.4076600883955185,0.005724027078688,greedy_ting+UX
345.0,78.0,0.3528445883441258,0.0024040006572502,greedy_ting+UX
17.0,3.0,0.4873800584063412,0.0148840510205271,greedy_ting+UX
221.0,44.0,0.3214996309489426,0.0018163769824695,greedy_ting+UX
10.0,1.0,0.4822695035460992,0.0226288919068458,greedy_ting+UX
13.0,2.0,0.4680851063829787,0.0183590886484641,greedy_ting+UX
253.0,54.0,0.340695343817453,0.0020668594648139,greedy_ting+UX
352.0,77.0,0.3562369036105738,0.0024101796611438,greedy_ting+UX
374.0,84.0,0.35326117874616,0.0025034765029795,greedy_ting+UX
14.0,2.0,0.4732776089159068,0.0154785610864233,greedy_ting+UX
21.0,3.0,0.4586710570753124,0.0120420994001611,greedy_ting+UX
25.0,1.0,0.2257446808510638,0.0050052965142598,greedy_ting+UX
23.0,1.0,0.2028600061671292,0.0044560845323626,greedy_ting+UX
38.0,7.0,0.4218458379992534,0.0075679844068049,greedy_ting+UX
293.0,57.0,0.3387886379589959,0.0021384006814447,greedy_ting+UX
13.0,1.0,0.4756546644844517,0.0169174813141148,greedy_ting+UX
272.0,56.0,0.3499133030871923,0.0025945552911681,greedy_ting+UX
380.0,83.0,0.3537513997760358,0.0025230824583557,greedy_ting+UX
56.0,9.0,0.403717071935157,0.005724758061422,greedy_ting+UX
11.0,1.0,0.5009671179883946,0.0211730873074961,greedy_ting+UX
11.0,1.0,0.4435041908446164,0.0192863901266252,greedy_ting+UX
393.0,86.0,0.3504186743183007,0.002527470689562,greedy_ting+UX
61.0,12.0,0.3944163469364027,0.005492837372625,greedy_ting+UX
296.0,66.0,0.3536814740272186,0.0023505555746037,greedy_ting+UX
305.0,67.0,0.3459713986745727,0.002327764874478,greedy_ting+UX
30.0,5.0,0.4348108747044917,0.0092610162410788,greedy_ting+UX
326.0,74.0,0.3640081799591002,0.002545048189348,greedy_ting+UX
10.0,1.0,0.4624113475177305,0.0216367385946382,greedy_ting+UX
340.0,75.0,0.3526152482269503,0.002587342235773,greedy_ting+UX
12.0,2.0,0.5070921985815603,0.0202412688831881,greedy_ting+UX
13.0,1.0,0.4389661756683033,0.01608266950932,greedy_ting+UX
23.0,1.0,0.2762102991057663,0.0061664101308266,greedy_ting+UX
15.0,2.0,0.4475768321513002,0.0142021660826362,greedy_ting+UX
265.0,60.0,0.3643449752442125,0.0027296887377009,greedy_ting+UX
216.0,45.0,0.3305711518255844,0.0021244496310133,greedy_ting+UX
28.0,1.0,0.2155521783181357,0.00385658828191,greedy_ting+UX
86.0,17.0,0.3837518555170707,0.0042941785694582,greedy_ting+UX
405.0,88.0,0.3520751247701602,0.0025935696566955,greedy_ting+UX
24.0,1.0,0.3031545508274231,0.0073065258579345,greedy_ting+UX
329.0,73.0,0.3506003578434542,0.0023588334719592,greedy_ting+UX
20.0,2.0,0.4663563829787234,0.012403124764222,greedy_ting+UX
83.0,16.0,0.3721481671366316,0.0039025527297494,greedy_ting+UX
43.0,6.0,0.4373247567210951,0.0069412123280082,greedy_ting+UX
401.0,87.0,0.3507830600802957,0.0025737158375701,greedy_ting+UX
10.0,1.0,0.462677304964539,0.0221265199813895,greedy_ting+UX
210.0,41.0,0.3485393448159405,0.0025170443703528,greedy_ting+UX
242.0,49.0,0.3423744211945372,0.0023913971674252,greedy_ting+UX
316.0,70.0,0.349459107639824,0.0022522887411874,greedy_ting+UX
240.0,43.0,0.3566341607565012,0.0027042764256353,greedy_ting+UX
31.0,1.0,0.2534603065660032,0.0044796905466296,greedy_ting+UX
42.0,2.0,0.2495145221209051,0.0038775565628813,greedy_ting+UX
242.0,48.0,0.3443745970341715,0.0022673660220632,greedy_ting+UX
9.0,1.0,0.509160756501182,0.0262272616978431,greedy_ting+UX
397.0,87.0,0.3526560015720742,0.002594168747051,greedy_ting+UX
18.0,2.0,0.4659672970843183,0.0131164664902776,greedy_ting+UX
110.0,15.0,0.3321808510638298,0.0029117728142572,greedy_ting+UX
92.0,19.0,0.3885580481036078,0.0042569732154368,greedy_ting+UX
22.0,1.0,0.2663201160541586,0.0069833753992245,greedy_ting+UX
227.0,42.0,0.3441044146592932,0.0024164924125888,greedy_ting+UX
10.0,1.0,0.5092198581560283,0.023957547407072,greedy_ting+UX
77.0,18.0,0.4111517914709404,0.0047900742201984,greedy_ting+UX
8.0,1.0,0.5089760638297872,0.029548752086634,greedy_ting+UX
87.0,10.0,0.2820779326648732,0.0023868031267744,greedy_ting+UX
16.0,1.0,0.4003213652482269,0.012888720970831,greedy_ting+UX
258.0,52.0,0.3561183957336852,0.0026154421534642,greedy_ting+UX
274.0,59.0,0.3600746751565978,0.0027243664547618,greedy_ting+UX
237.0,49.0,0.3314966932998174,0.002045676676056,greedy_ting+UX
122.0,22.0,0.3810894082083478,0.0039474264848165,greedy_ting+UX
17.0,2.0,0.4715790571547767,0.0133582418112684,greedy_ting+UX
