Compacidad,Tolerancia,Disimilitud,Balance,init_cross
14.0,1.0,0.5077887537993921,0.0153766272523043,greedy_multi+HUX
10.0,1.0,0.4822695035460992,0.0216359841054273,greedy_multi+HUX
31.0,8.0,0.5054049416609472,0.0087290245522252,greedy_multi+HUX
28.0,7.0,0.5062689969604863,0.0090656714530538,greedy_multi+HUX
40.0,10.0,0.490270390070922,0.0070036281303442,greedy_multi+HUX
31.0,5.0,0.4587051018073667,0.0066249282083757,greedy_multi+HUX
28.0,6.0,0.420877659574468,0.006733350063939,greedy_multi+HUX
39.0,10.0,0.4746090198217858,0.0063169368384557,greedy_multi+HUX
22.0,4.0,0.4125564152159897,0.0078787938544255,greedy_multi+HUX
14.0,1.0,0.5089918946301925,0.0226069443546243,greedy_multi+HUX
15.0,2.0,0.4195035460992908,0.0122437251647302,greedy_multi+HUX
12.0,1.0,0.3857860520094562,0.0147575775517105,greedy_multi+HUX
41.0,10.0,0.4445597647465836,0.0054730913659653,greedy_multi+HUX
18.0,3.0,0.3980496453900709,0.0099414723624081,greedy_multi+HUX
7.0,1.0,0.5088652482269503,0.0332836884565205,greedy_multi+HUX
35.0,7.0,0.4624873353596757,0.0061018461632427,greedy_multi+HUX
24.0,3.0,0.5068705673758865,0.0106280317105527,greedy_multi+HUX
28.0,5.0,0.4895200101317122,0.0077501622135763,greedy_multi+HUX
13.0,2.0,0.4513775231860338,0.0152929112762357,greedy_multi+HUX
15.0,1.0,0.4644799054373522,0.0130330431344276,greedy_multi+HUX
18.0,3.0,0.5080772261623325,0.014327105847695,greedy_multi+HUX
9.0,1.0,0.4558707643814027,0.0226345210794346,greedy_multi+HUX
35.0,10.0,0.4964792299898682,0.0075473089114927,greedy_multi+HUX
27.0,7.0,0.4742579458891515,0.0080858508675315,greedy_multi+HUX
21.0,4.0,0.4305133400878081,0.0087609641881667,greedy_multi+HUX
36.0,9.0,0.4925137903861308,0.0069704867417927,greedy_multi+HUX
8.0,1.0,0.5076462765957447,0.0281856612272709,greedy_multi+HUX
26.0,4.0,0.4636524822695035,0.0077067231610925,greedy_multi+HUX
14.0,2.0,0.4875253292806484,0.0149921970353706,greedy_multi+HUX
20.0,3.0,0.4603723404255319,0.0102736202278557,greedy_multi+HUX
18.0,2.0,0.3927304964539007,0.00944150682673,greedy_multi+HUX
17.0,4.0,0.4903003754693367,0.0126546963951081,greedy_multi+HUX
11.0,1.0,0.460348162475822,0.0182243439373361,greedy_multi+HUX
28.0,8.0,0.4965805471124619,0.0084148162433828,greedy_multi+HUX
23.0,5.0,0.4892460684551341,0.0092925766890502,greedy_multi+HUX
37.0,9.0,0.4725896108874832,0.0062230112118162,greedy_multi+HUX
25.0,6.0,0.5070921985815603,0.0108858709320456,greedy_multi+HUX
33.0,9.0,0.5045400816677412,0.00835782060168,greedy_multi+HUX
23.0,4.0,0.5086339808818995,0.0142606780666325,greedy_multi+HUX
30.0,6.0,0.490661938534279,0.0074344712148393,greedy_multi+HUX
23.0,3.0,0.430349984582177,0.0079892405536002,greedy_multi+HUX
10.0,1.0,0.4184397163120567,0.0189507570041747,greedy_multi+HUX
31.0,7.0,0.4385438114847861,0.0064297036343873,greedy_multi+HUX
28.0,5.0,0.4311993414387031,0.0067404073609789,greedy_multi+HUX
33.0,8.0,0.4909735654416505,0.0070156064950089,greedy_multi+HUX
37.0,8.0,0.4423758865248227,0.0057415713846179,greedy_multi+HUX
26.0,5.0,0.5064443535188216,0.0094440236251107,greedy_multi+HUX
19.0,2.0,0.5069988801791713,0.011620727469719,greedy_multi+HUX
31.0,9.0,0.4964539007092198,0.0080593213281878,greedy_multi+HUX
26.0,6.0,0.4441489361702127,0.0078494362090533,greedy_multi+HUX
23.0,5.0,0.4667745914276904,0.008910953776102,greedy_multi+HUX
27.0,6.0,0.4935316522195955,0.0083685934999806,greedy_multi+HUX
19.0,3.0,0.4899682717431877,0.0107488565796126,greedy_multi+HUX
