Compacidad,Tolerancia,Disimilitud,Balance,init_cross
199.0,49.0,0.4005354788125022,0.0028278951211629,random_dense+HUX
216.0,57.0,0.4041937549251379,0.003226943540419,random_dense+HUX
258.0,57.0,0.3582281873659904,0.0020940931200753,random_dense+HUX
225.0,59.0,0.3879353821907013,0.0028412937844371,random_dense+HUX
202.0,54.0,0.4305877396250263,0.0037650035996701,random_dense+HUX
252.0,60.0,0.4176868738038951,0.0034424235082306,random_dense+HUX
354.0,89.0,0.3932138277837881,0.0034327752350362,random_dense+HUX
184.0,47.0,0.4075653330249769,0.0031525082501977,random_dense+HUX
257.0,56.0,0.378532301239065,0.0024517418019911,random_dense+HUX
310.0,77.0,0.3993107984442919,0.003377313726022,random_dense+HUX
205.0,47.0,0.3826197889638471,0.0024790953339233,random_dense+HUX
213.0,58.0,0.4230055272533546,0.0038481863995875,random_dense+HUX
179.0,44.0,0.3885256943619002,0.0027609683503051,random_dense+HUX
179.0,40.0,0.3852470383137208,0.0025431213939286,random_dense+HUX
228.0,53.0,0.3646766517357223,0.0023676281252404,random_dense+HUX
295.0,77.0,0.4167207597066955,0.003877817773003,random_dense+HUX
289.0,71.0,0.4141052541166654,0.0034937161165236,random_dense+HUX
348.0,82.0,0.3758355751202413,0.0025641654704721,random_dense+HUX
215.0,47.0,0.364048325911265,0.0021423988245202,random_dense+HUX
251.0,66.0,0.4294559351247492,0.0041552147975291,random_dense+HUX
298.0,67.0,0.3585159931457946,0.0020942937124323,random_dense+HUX
220.0,60.0,0.4344213410702772,0.0041351261467508,random_dense+HUX
272.0,66.0,0.3632633239465999,0.0024212065407354,random_dense+HUX
324.0,78.0,0.3627500875580072,0.0024262799582752,random_dense+HUX
168.0,43.0,0.4160914809186086,0.0033315186712537,random_dense+HUX
182.0,49.0,0.4245820668693009,0.0036592661949865,random_dense+HUX
338.0,81.0,0.3902991103277519,0.0030336647398221,random_dense+HUX
298.0,70.0,0.3955358417820934,0.0029603388565046,random_dense+HUX
235.0,60.0,0.4303945978572506,0.0038882524487199,random_dense+HUX
256.0,68.0,0.4179341201241134,0.0039046255253395,random_dense+HUX
201.0,50.0,0.4177648989097068,0.0032791398011193,random_dense+HUX
365.0,89.0,0.3803410084523462,0.0029554148695339,random_dense+HUX
259.0,70.0,0.4081231687614666,0.0033526883456139,random_dense+HUX
301.0,76.0,0.3829227633656134,0.0028089110840925,random_dense+HUX
298.0,68.0,0.3763803607977533,0.0025173239388273,random_dense+HUX
257.0,67.0,0.3856658939757706,0.0027968407393908,random_dense+HUX
169.0,41.0,0.3998961349616014,0.0028754658887003,random_dense+HUX
238.0,59.0,0.4019570594195125,0.0029799310073446,random_dense+HUX
