Compacidad,Tolerancia,Disimilitud,Balance,init_cross
7.0,1.0,0.5067122593718338,0.0327020869838802,greedy_multi+1P
30.0,7.0,0.4351359338061465,0.0062349303005661,greedy_multi+1P
32.0,7.0,0.4105441046099291,0.0054781877156876,greedy_multi+1P
11.0,1.0,0.5093488072211477,0.0228450187707768,greedy_multi+1P
18.0,4.0,0.5070429472025216,0.012101806578618,greedy_multi+1P
25.0,6.0,0.4867375886524822,0.0092992857502137,greedy_multi+1P
10.0,1.0,0.4932624113475177,0.0228269453246819,greedy_multi+1P
21.0,4.0,0.4585021952043228,0.0091815844381781,greedy_multi+1P
24.0,5.0,0.4729609929078014,0.0083988664847509,greedy_multi+1P
21.0,5.0,0.4873353596757852,0.0099914217485193,greedy_multi+1P
25.0,5.0,0.4754609929078014,0.0082460640812837,greedy_multi+1P
20.0,4.0,0.4622783687943262,0.0097894012342186,greedy_multi+1P
23.0,5.0,0.4727104532839963,0.0087372417871211,greedy_multi+1P
24.0,4.0,0.4561170212765957,0.0080353755889207,greedy_multi+1P
25.0,5.0,0.4650709219858156,0.007979959509079,greedy_multi+1P
25.0,5.0,0.455709219858156,0.0077546388511643,greedy_multi+1P
24.0,5.0,0.4582963947990544,0.0080541382139529,greedy_multi+1P
25.0,5.0,0.4675177304964539,0.0080030581962678,greedy_multi+1P
28.0,6.0,0.455072188449848,0.0070672404104806,greedy_multi+1P
23.0,4.0,0.4839269195189639,0.0090057566884969,greedy_multi+1P
23.0,5.0,0.4921369102682701,0.0094000227630393,greedy_multi+1P
23.0,5.0,0.4596053037311132,0.0085272731923184,greedy_multi+1P
20.0,4.0,0.4606826241134752,0.0097373886342488,greedy_multi+1P
13.0,2.0,0.4969312602291325,0.018696781165985,greedy_multi+1P
25.0,5.0,0.4856028368794326,0.0084735727579095,greedy_multi+1P
24.0,5.0,0.4670508274231679,0.0083336782676368,greedy_multi+1P
23.0,5.0,0.4893231575701511,0.0092439532586564,greedy_multi+1P
24.0,5.0,0.4848921394799054,0.0087401208523177,greedy_multi+1P
24.0,6.0,0.474253841607565,0.0085394476802774,greedy_multi+1P
19.0,3.0,0.478116834639791,0.0106112824735152,greedy_multi+1P
26.0,5.0,0.4555373704309874,0.0074548593718423,greedy_multi+1P
27.0,6.0,0.4636853165221959,0.0074078584794892,greedy_multi+1P
22.0,4.0,0.4748549323017408,0.0092733583000672,greedy_multi+1P
12.0,1.0,0.4722222222222222,0.0186088127134227,greedy_multi+1P
24.0,5.0,0.4510933806146572,0.0079263064888866,greedy_multi+1P
26.0,6.0,0.4342948717948717,0.0071250389056751,greedy_multi+1P
25.0,5.0,0.4741489361702127,0.0081572544137619,greedy_multi+1P
26.0,5.0,0.4575150027277687,0.0075638612986917,greedy_multi+1P
27.0,6.0,0.4292421854478592,0.0067625871448837,greedy_multi+1P
29.0,6.0,0.4285888970408412,0.0062998353879782,greedy_multi+1P
23.0,5.0,0.4714770274437249,0.0086348841771108,greedy_multi+1P
24.0,5.0,0.4753250591016548,0.0085949987495039,greedy_multi+1P
23.0,5.0,0.492445266728338,0.0094047769483625,greedy_multi+1P
20.0,4.0,0.4976950354609929,0.0106329850108145,greedy_multi+1P
22.0,5.0,0.4713088330109606,0.0091117562721332,greedy_multi+1P
22.0,5.0,0.4984284332688588,0.0100002410390376,greedy_multi+1P
23.0,5.0,0.4738282454517422,0.0087970004109519,greedy_multi+1P
23.0,5.0,0.4856614246068454,0.0091691119818876,greedy_multi+1P
27.0,6.0,0.444411610191752,0.0069207297394118,greedy_multi+1P
21.0,4.0,0.4928233704829449,0.0101606186629037,greedy_multi+1P
27.0,6.0,0.4572826372471762,0.0072569379974773,greedy_multi+1P
22.0,4.0,0.4529738878143133,0.0085825339878682,greedy_multi+1P
27.0,5.0,0.4402088258471237,0.0069027903525979,greedy_multi+1P
27.0,5.0,0.4530470186498555,0.0072224963153534,greedy_multi+1P
23.0,4.0,0.4597594819611471,0.008492781577798,greedy_multi+1P
23.0,5.0,0.48377274128893,0.0089940732780649,greedy_multi+1P
21.0,4.0,0.4710401891252955,0.0093654109867543,greedy_multi+1P
25.0,6.0,0.4744326241134752,0.008200209999497,greedy_multi+1P
23.0,5.0,0.4648088189947579,0.0085887670937921,greedy_multi+1P
