Compacidad,Tolerancia,Disimilitud,Balance,init_cross
233.0,56.0,0.3852197668401668,0.0026175246987243,random_dense+2P
253.0,63.0,0.3943388557172091,0.0029521439387301,random_dense+2P
358.0,83.0,0.3569252941875668,0.0026910060670165,random_dense+2P
262.0,66.0,0.3820448270261491,0.0026595442419134,random_dense+2P
277.0,66.0,0.3647137516962388,0.0022661992764696,random_dense+2P
251.0,61.0,0.3860480065553389,0.0025291346229506,random_dense+2P
284.0,68.0,0.379591823993607,0.0028223322879288,random_dense+2P
275.0,64.0,0.3648291424887169,0.0021726116259512,random_dense+2P
253.0,62.0,0.3794326241134751,0.0023977122706204,random_dense+2P
249.0,61.0,0.3820779572189467,0.0024483090189396,random_dense+2P
251.0,61.0,0.3833001328021248,0.002469538106885,random_dense+2P
254.0,62.0,0.3783960183168593,0.0023811881570905,random_dense+2P
278.0,62.0,0.3575596969233124,0.0021273553305793,random_dense+2P
257.0,60.0,0.3742480061815271,0.0023186866718326,random_dense+2P
248.0,60.0,0.382035003431709,0.0024436868213424,random_dense+2P
255.0,61.0,0.3780906688916701,0.002369239951568,random_dense+2P
253.0,61.0,0.3761703529279848,0.0023489047506074,random_dense+2P
248.0,59.0,0.3807052161976664,0.0024203267784237,random_dense+2P
247.0,61.0,0.3814856289660321,0.0024456033156661,random_dense+2P
251.0,60.0,0.3806829419909016,0.0024134061607613,random_dense+2P
356.0,81.0,0.3570528528169575,0.0026926411112375,random_dense+2P
255.0,63.0,0.3839417327214574,0.0025309530455731,random_dense+2P
253.0,61.0,0.3790857230958988,0.0023855465534899,random_dense+2P
254.0,62.0,0.3772128218015301,0.0023710122051801,random_dense+2P
243.0,58.0,0.3821250328342527,0.0024830432034891,random_dense+2P
250.0,61.0,0.382886524822695,0.0024595261304763,random_dense+2P
267.0,67.0,0.3799638749435546,0.0026069495450263,random_dense+2P
254.0,61.0,0.3807030770089908,0.0024096161001033,random_dense+2P
254.0,63.0,0.3825005584408332,0.0024938814751283,random_dense+2P
263.0,66.0,0.3794595906480058,0.0024696156737396,random_dense+2P
255.0,62.0,0.3763454317897372,0.0023553795602868,random_dense+2P
241.0,58.0,0.3843728848474147,0.0025310975334446,random_dense+2P
260.0,62.0,0.3752011729405346,0.0023283199306398,random_dense+2P
255.0,62.0,0.3777777777777777,0.002368628905231,random_dense+2P
249.0,61.0,0.3884011222193739,0.0026982429249254,random_dense+2P
254.0,62.0,0.37633327748925,0.0023541515067537,random_dense+2P
260.0,65.0,0.3817409983633388,0.0025146485377753,random_dense+2P
251.0,60.0,0.3804710237065921,0.0024097331739682,random_dense+2P
256.0,64.0,0.3805580950797872,0.002456817760787,random_dense+2P
253.0,62.0,0.3790016258795167,0.0023866975771184,random_dense+2P
250.0,60.0,0.381113475177305,0.0024228736482068,random_dense+2P
261.0,64.0,0.3753736311513274,0.0023537350263788,random_dense+2P
250.0,61.0,0.3811985815602837,0.0024310740405412,random_dense+2P
247.0,61.0,0.3827777299221868,0.0024718420633683,random_dense+2P
259.0,63.0,0.3737643418494482,0.0023079578002314,random_dense+2P
243.0,59.0,0.3806073607098036,0.0024852515539314,random_dense+2P
254.0,61.0,0.3791115206343888,0.0023825840179722,random_dense+2P
269.0,64.0,0.3680989480344855,0.0022208464171434,random_dense+2P
290.0,68.0,0.3695402298850574,0.0025780338615236,random_dense+2P
252.0,62.0,0.3819972137791287,0.0024582245633367,random_dense+2P
257.0,62.0,0.3740617324833734,0.0023201502659845,random_dense+2P
262.0,63.0,0.3695996426831249,0.0022512767304105,random_dense+2P
258.0,63.0,0.3781131453076035,0.0023846139079533,random_dense+2P
252.0,61.0,0.3795487166497804,0.0023927384308636,random_dense+2P
264.0,62.0,0.3730590479260692,0.0022978697231972,random_dense+2P
242.0,58.0,0.3822973448215228,0.0024916626455756,random_dense+2P
249.0,61.0,0.3806502606169358,0.0024268418780912,random_dense+2P
250.0,61.0,0.3816950354609929,0.0024375240179065,random_dense+2P
252.0,60.0,0.3770333783631656,0.0023690894190773,random_dense+2P
255.0,63.0,0.3792866082603254,0.0024162331326989,random_dense+2P
251.0,60.0,0.3808348167613235,0.0024160507606527,random_dense+2P
250.0,61.0,0.3810283687943262,0.0024271410391831,random_dense+2P
246.0,60.0,0.3829787234042553,0.0024769391063422,random_dense+2P
248.0,61.0,0.3823352779684282,0.0024576488708884,random_dense+2P
251.0,60.0,0.3754803481111017,0.0023511247012301,random_dense+2P
258.0,63.0,0.3748969157182913,0.002329940530327,random_dense+2P
251.0,61.0,0.3800471871379729,0.0024085343934726,random_dense+2P
260.0,64.0,0.3821638025095472,0.0024901997204185,random_dense+2P
263.0,67.0,0.3816708464795189,0.0026425871257057,random_dense+2P
257.0,62.0,0.3761417887794243,0.0023479773674087,random_dense+2P
263.0,65.0,0.3713460345710972,0.0022871268773391,random_dense+2P
249.0,61.0,0.3808567603748326,0.0024279616781899,random_dense+2P
252.0,60.0,0.3807448215692897,0.0024123112422344,random_dense+2P
254.0,62.0,0.3803715027642821,0.002424727663087,random_dense+2P
246.0,59.0,0.381403880528167,0.0024553115496645,random_dense+2P
250.0,60.0,0.3825425531914894,0.0024505708842613,random_dense+2P
249.0,59.0,0.3813658890882679,0.0024338317808422,random_dense+2P
244.0,58.0,0.3837126496918963,0.0024799067295578,random_dense+2P
250.0,60.0,0.3809751773049645,0.0024226093129118,random_dense+2P
256.0,61.0,0.3747714428191489,0.002326696656922,random_dense+2P
253.0,61.0,0.3762124015361758,0.0023554387103908,random_dense+2P
255.0,61.0,0.3769468780419969,0.0023548820668483,random_dense+2P
258.0,65.0,0.3852190884600582,0.0026016058770041,random_dense+2P
241.0,59.0,0.3830706865601365,0.0025165311930871,random_dense+2P
