Compacidad,Tolerancia,Disimilitud,Balance,init_cross
7.0,1.0,0.4830293819655522,0.032278216100081004,greedy_multi+1P
8.0,1.0,0.4464760638297872,0.02621043205117311,greedy_multi+1P
7.0,1.0,0.5067122593718338,0.03270208698388028,greedy_multi+1P
10.0,2.0,0.5069148936170212,0.02456211332427932,greedy_multi+1P
9.0,1.0,0.42001576044129235,0.021730531228712106,greedy_multi+1P
11.0,2.0,0.5071727917472598,0.022412064334442528,greedy_multi+1P
9.0,1.0,0.43577620173364856,0.022602385427863685,greedy_multi+1P
14.0,1.0,0.3297239108409321,0.011627887300612162,greedy_multi+1P
24.0,1.0,0.4655732860520094,0.0085111666149702,greedy_multi+1P
8.0,1.0,0.5085328014184397,0.02822672587442177,greedy_multi+1P
22.0,1.0,0.48907962604771116,0.009890782945197615,greedy_multi+1P
8.0,1.0,0.48636968085106386,0.02816915677578452,greedy_multi+1P
16.0,1.0,0.350675975177305,0.010140140353658981,greedy_multi+1P
14.0,3.0,0.5044326241134752,0.01865165015002522,greedy_multi+1P
13.0,1.0,0.3404255319148936,0.013133916031154548,greedy_multi+1P
26.0,6.0,0.5022504091653027,0.009589337437933202,greedy_multi+1P
21.0,1.0,0.4598530901722391,0.009227549540514357,greedy_multi+1P
35.0,9.0,0.4733282674772037,0.007182669921748686,greedy_multi+1P
8.0,1.0,0.462322695035461,0.026782991612594852,greedy_multi+1P
16.0,3.0,0.43522828014184395,0.012825208304843393,greedy_multi+1P
9.0,1.0,0.5083727344365642,0.024708813349925897,greedy_multi+1P
27.0,3.0,0.46907013396375097,0.007696993096578998,greedy_multi+1P
9.0,1.0,0.47320724980299445,0.0240829540705468,greedy_multi+1P
33.0,5.0,0.4507307113690092,0.006657584967563463,greedy_multi+1P
37.0,9.0,0.4449875407322216,0.006411330396134581,greedy_multi+1P
14.0,1.0,0.3539766970618034,0.01236513826143085,greedy_multi+1P
15.0,3.0,0.48351063829787233,0.015449141139781622,greedy_multi+1P
10.0,1.0,0.44326241134751776,0.020610633267944153,greedy_multi+1P
19.0,2.0,0.4487681970884658,0.010037136126155604,greedy_multi+1P
23.0,5.0,0.4461917977181622,0.008336226255102537,greedy_multi+1P
20.0,2.0,0.3650709219858156,0.008407619083547096,greedy_multi+1P
9.0,1.0,0.46109141055949565,0.0232212586960314,greedy_multi+1P
25.0,5.0,0.47755319148936176,0.008803942206126472,greedy_multi+1P
28.0,6.0,0.5037360688956434,0.009086490479321387,greedy_multi+1P
10.0,1.0,0.4287234042553192,0.019706880941602577,greedy_multi+1P
22.0,2.0,0.4428997421018698,0.008925613534310128,greedy_multi+1P
18.0,2.0,0.5042848699763594,0.01249422635281779,greedy_multi+1P
23.0,2.0,0.39793401171754544,0.007658255657076424,greedy_multi+1P
22.0,5.0,0.4563185041908446,0.009067250761867842,greedy_multi+1P
10.0,1.0,0.45859929078014183,0.02077711602786584,greedy_multi+1P
23.0,4.0,0.5064369411039161,0.010704118082458459,greedy_multi+1P
17.0,1.0,0.5039111389236546,0.013034102977595606,greedy_multi+1P
12.0,2.0,0.48079196217494086,0.019676362551626688,greedy_multi+1P
30.0,4.0,0.47015366430260047,0.007655295536218306,greedy_multi+1P
21.0,2.0,0.4612039851401553,0.009470890845314148,greedy_multi+1P
21.0,3.0,0.4344815940560621,0.008938872230816441,greedy_multi+1P
24.0,4.0,0.48947251773049644,0.009362367054023478,greedy_multi+1P
15.0,3.0,0.46282505910165483,0.01374804740986667,greedy_multi+1P
26.0,5.0,0.4616407528641571,0.008234441254978977,greedy_multi+1P
27.0,2.0,0.4387969529813502,0.007254877771022926,greedy_multi+1P
26.0,3.0,0.4917825968357883,0.009029845135881072,greedy_multi+1P
25.0,6.0,0.4902836879432624,0.010680061365122456,greedy_multi+1P
30.0,6.0,0.45830378250591014,0.006867611419892791,greedy_multi+1P
33.0,7.0,0.4712013754566946,0.007133895253433764,greedy_multi+1P
25.0,4.0,0.473404255319149,0.008563588350686557,greedy_multi+1P
23.0,5.0,0.5032762873882208,0.010939271974010943,greedy_multi+1P
30.0,4.0,0.421483451536643,0.006381447913697572,greedy_multi+1P
25.0,2.0,0.4052127659574468,0.007069280971782122,greedy_multi+1P
29.0,4.0,0.45338102225483,0.007147304067704545,greedy_multi+1P
37.0,8.0,0.44496358060187846,0.006343936501622181,greedy_multi+1P
13.0,1.0,0.39088925259138024,0.013683413350857706,greedy_multi+1P
17.0,3.0,0.42083854818523153,0.01183206819329335,greedy_multi+1P
24.0,3.0,0.4362440898345154,0.007755514888237776,greedy_multi+1P
14.0,2.0,0.46225937183383997,0.015130139123704527,greedy_multi+1P
15.0,1.0,0.4548463356973995,0.013114810902648582,greedy_multi+1P
11.0,1.0,0.462846550612508,0.018811872532061662,greedy_multi+1P
31.0,5.0,0.432566918325326,0.00632354797727017,greedy_multi+1P
22.0,3.0,0.41034010315925207,0.008015627838427871,greedy_multi+1P
16.0,1.0,0.4133421985815603,0.011398337687364672,greedy_multi+1P
24.0,2.0,0.4905437352245863,0.009385313099050262,greedy_multi+1P
24.0,5.0,0.491725768321513,0.010415924402975502,greedy_multi+1P
25.0,4.0,0.5028368794326241,0.009305427292389716,greedy_multi+1P
32.0,5.0,0.4716589095744681,0.0072889188412755095,greedy_multi+1P
17.0,1.0,0.35987692949520234,0.009703668379626999,greedy_multi+1P
