Compacidad,Tolerancia,Disimilitud,Balance,init_cross
7.0,1.0,0.4830293819655522,0.032278216100081,greedy_multi+HUX
10.0,2.0,0.5015070921985816,0.0227370903752325,greedy_multi+HUX
11.0,2.0,0.4529335912314636,0.01957421451022,greedy_multi+HUX
8.0,1.0,0.4580008865248227,0.0263139778360934,greedy_multi+HUX
9.0,1.0,0.4386327817178881,0.0229392567101414,greedy_multi+HUX
12.0,2.0,0.4186613475177305,0.0166491437857333,greedy_multi+HUX
27.0,7.0,0.4944181770422905,0.0102228587599647,greedy_multi+HUX
18.0,2.0,0.5088652482269503,0.0208806053425287,greedy_multi+HUX
41.0,6.0,0.4341809375540564,0.0054507394547827,greedy_multi+HUX
35.0,9.0,0.4926291793313069,0.008191437394333,greedy_multi+HUX
19.0,3.0,0.387271369914147,0.0093203104176219,greedy_multi+HUX
16.0,1.0,0.4575022163120567,0.0129428025216837,greedy_multi+HUX
31.0,3.0,0.4468371082132235,0.0070942979288158,greedy_multi+HUX
42.0,11.0,0.4700692333671057,0.006652676894073,greedy_multi+HUX
21.0,1.0,0.3169537318473489,0.0074189443059218,greedy_multi+HUX
26.0,3.0,0.4880660120021822,0.0097195128693239,greedy_multi+HUX
47.0,12.0,0.432039384336804,0.0052836242864373,greedy_multi+HUX
34.0,4.0,0.3979453483521067,0.0056619297232025,greedy_multi+HUX
46.0,12.0,0.4532839962997224,0.0057661730966547,greedy_multi+HUX
25.0,2.0,0.505,0.0110955673758865,greedy_multi+HUX
28.0,2.0,0.3791476697061803,0.0063942710001421,greedy_multi+HUX
9.0,1.0,0.4820724980299448,0.0253768797803722,greedy_multi+HUX
10.0,1.0,0.4454787234042553,0.0205469339444695,greedy_multi+HUX
21.0,4.0,0.507514353259034,0.0166689007645376,greedy_multi+HUX
11.0,1.0,0.4158607350096712,0.0174648663681133,greedy_multi+HUX
36.0,3.0,0.4278959810874704,0.0062163856427223,greedy_multi+HUX
9.0,1.0,0.5075847123719464,0.0315946917337164,greedy_multi+HUX
36.0,4.0,0.409623719464145,0.0058715071302335,greedy_multi+HUX
30.0,5.0,0.5050531914893617,0.0095420381478128,greedy_multi+HUX
15.0,1.0,0.5096335697399527,0.0248402124585727,greedy_multi+HUX
27.0,4.0,0.361669293406882,0.0064510110448664,greedy_multi+HUX
10.0,1.0,0.3787234042553191,0.018022483778482,greedy_multi+HUX
35.0,9.0,0.4426545086119554,0.0076146643960134,greedy_multi+HUX
40.0,10.0,0.4790336879432624,0.0068742435459735,greedy_multi+HUX
44.0,8.0,0.4189434235976789,0.005163005766932,greedy_multi+HUX
17.0,3.0,0.4877972465581977,0.0142072733282059,greedy_multi+HUX
17.0,1.0,0.3177409261576971,0.0088808226203697,greedy_multi+HUX
17.0,2.0,0.4823738005840634,0.0128798248366709,greedy_multi+HUX
16.0,2.0,0.4814937943262411,0.0147145903870216,greedy_multi+HUX
34.0,5.0,0.4544482686691698,0.0069444328867053,greedy_multi+HUX
40.0,6.0,0.4214317375886525,0.0052781584608105,greedy_multi+HUX
52.0,11.0,0.4094551282051282,0.0045182084024018,greedy_multi+HUX
26.0,6.0,0.4694489907255865,0.0094688767992037,greedy_multi+HUX
24.0,5.0,0.4903959810874704,0.0102567088412163,greedy_multi+HUX
18.0,2.0,0.3483550039401103,0.0090089829819214,greedy_multi+HUX
22.0,2.0,0.4300451321727918,0.0093713067960979,greedy_multi+HUX
20.0,1.0,0.3042553191489361,0.0077744454504299,greedy_multi+HUX
46.0,9.0,0.4153176071538698,0.0047877602714411,greedy_multi+HUX
23.0,2.0,0.507554733271662,0.0152635496896514,greedy_multi+HUX
41.0,9.0,0.4663336792942397,0.0062572741893684,greedy_multi+HUX
15.0,1.0,0.450531914893617,0.0142274554432204,greedy_multi+HUX
42.0,7.0,0.4020178993583249,0.0050884804695649,greedy_multi+HUX
27.0,3.0,0.4717625426845285,0.008739172286352,greedy_multi+HUX
30.0,6.0,0.4524527186761229,0.0073816910268877,greedy_multi+HUX
17.0,2.0,0.3675949103045473,0.00981925664886,greedy_multi+HUX
21.0,2.0,0.3542722053360351,0.0076669334467519,greedy_multi+HUX
12.0,1.0,0.4284869976359338,0.0169012569231371,greedy_multi+HUX
25.0,4.0,0.5064539007092198,0.0127526734067703,greedy_multi+HUX
39.0,10.0,0.4680169121658484,0.0071195881892725,greedy_multi+HUX
23.0,5.0,0.4986894850447117,0.0119839640853627,greedy_multi+HUX
16.0,2.0,0.4954565602836879,0.0155350974037711,greedy_multi+HUX
33.0,7.0,0.4863528906082097,0.0077607309866525,greedy_multi+HUX
12.0,1.0,0.4743646572104019,0.0188402188769705,greedy_multi+HUX
45.0,8.0,0.4058313632781717,0.0048937598463946,greedy_multi+HUX
23.0,4.0,0.4111933395004625,0.0084328075299448,greedy_multi+HUX
21.0,4.0,0.4555471124620061,0.0109257918372821,greedy_multi+HUX
31.0,6.0,0.4725749256463051,0.007958133117596,greedy_multi+HUX
29.0,7.0,0.4837979946197114,0.0080609195163063,greedy_multi+HUX
17.0,1.0,0.42636629119733,0.0117502774727624,greedy_multi+HUX
51.0,12.0,0.4235502711722986,0.0048837185927549,greedy_multi+HUX
