Compacidad,Tolerancia,Disimilitud,Balance,init_cross
8.0,1.0,0.507313829787234,0.031030284489588035,greedy_ting+HUX
8.0,1.0,0.4626551418439716,0.02668326493810046,greedy_ting+HUX
344.0,72.0,0.34265215239980207,0.00242617859661416,greedy_ting+HUX
83.0,10.0,0.38442066136887976,0.004258153617267035,greedy_ting+HUX
116.0,25.0,0.4406639765223771,0.005916351032699258,greedy_ting+HUX
9.0,1.0,0.4158786446020489,0.021292391892252824,greedy_ting+HUX
43.0,3.0,0.4085642421243609,0.0064136373285570555,greedy_ting+HUX
325.0,69.0,0.34117839607201306,0.0022913639111292045,greedy_ting+HUX
144.0,34.0,0.42252758077226166,0.004919004525615689,greedy_ting+HUX
99.0,15.0,0.2896428827279891,0.002203566836261101,greedy_ting+HUX
162.0,38.0,0.4091640399264513,0.0043700516077347365,greedy_ting+HUX
276.0,64.0,0.36751593175043684,0.002898373193783311,greedy_ting+HUX
149.0,23.0,0.2979496882288543,0.0020783456946857253,greedy_ting+HUX
150.0,21.0,0.311613475177305,0.0022944810162131364,greedy_ting+HUX
13.0,1.0,0.5046372067648663,0.017992261053862195,greedy_ting+HUX
9.0,1.0,0.46759259259259256,0.023356554446487328,greedy_ting+HUX
33.0,7.0,0.49301525897270576,0.014000474540688852,greedy_ting+HUX
117.0,26.0,0.40292174334727526,0.004125154648976522,greedy_ting+HUX
9.0,1.0,0.4548857368006305,0.02230582925195049,greedy_ting+HUX
11.0,1.0,0.5069310122501611,0.020320052036892175,greedy_ting+HUX
81.0,18.0,0.4462612730934244,0.006429510253743358,greedy_ting+HUX
179.0,33.0,0.37421748088276086,0.003290242040127838,greedy_ting+HUX
120.0,13.0,0.30027334515366433,0.0022292273903859695,greedy_ting+HUX
221.0,49.0,0.3746510060652739,0.0032151279948209634,greedy_ting+HUX
61.0,7.0,0.25863271712591557,0.0026340108488289746,greedy_ting+HUX
64.0,15.0,0.4530972960992908,0.006145936455454878,greedy_ting+HUX
10.0,1.0,0.49450354609929076,0.022203831547708885,greedy_ting+HUX
11.0,1.0,0.412153449387492,0.017252211609489417,greedy_ting+HUX
11.0,1.0,0.45470664087685364,0.01866828185555304,greedy_ting+HUX
83.0,10.0,0.276948218405537,0.002473467380405373,greedy_ting+HUX
152.0,23.0,0.3434992067935797,0.0027502974837031497,greedy_ting+HUX
68.0,9.0,0.41550636211931585,0.005607878766365333,greedy_ting+HUX
299.0,65.0,0.3532045352119358,0.0025580695521570567,greedy_ting+HUX
279.0,59.0,0.3368222374742622,0.0022582768298058564,greedy_ting+HUX
134.0,24.0,0.3157417698740341,0.002548537697649725,greedy_ting+HUX
242.0,43.0,0.3389858449094426,0.0023893610783896108,greedy_ting+HUX
21.0,2.0,0.3771952043228639,0.009801985005225557,greedy_ting+HUX
134.0,30.0,0.4048242828411136,0.004204104804237921,greedy_ting+HUX
199.0,35.0,0.35947467835632063,0.0028339553526991034,greedy_ting+HUX
55.0,12.0,0.47109929078014184,0.008762076244148547,greedy_ting+HUX
13.0,1.0,0.36033824331696673,0.012839635476052887,greedy_ting+HUX
108.0,22.0,0.41711813764118727,0.00498459817125459,greedy_ting+HUX
198.0,42.0,0.38684271795973924,0.0033880754084586627,greedy_ting+HUX
12.0,1.0,0.47709810874704495,0.018043273274595116,greedy_ting+HUX
18.0,2.0,0.3607171000788022,0.01049038849053108,greedy_ting+HUX
120.0,29.0,0.4259530141843972,0.004584949230473405,greedy_ting+HUX
230.0,53.0,0.3772510021584953,0.003157890999176663,greedy_ting+HUX
10.0,1.0,0.3898936170212766,0.018089350384789708,greedy_ting+HUX
29.0,4.0,0.417216923453167,0.009243554440239278,greedy_ting+HUX
256.0,50.0,0.34157524379432624,0.002382513395192115,greedy_ting+HUX
262.0,54.0,0.34259447241622,0.00250121157441684,greedy_ting+HUX
12.0,1.0,0.38955378250591016,0.014760606642509003,greedy_ting+HUX
12.0,1.0,0.42235520094562645,0.016448383288552918,greedy_ting+HUX
89.0,21.0,0.4168957685871384,0.005412587640908543,greedy_ting+HUX
13.0,1.0,0.37424986361156576,0.013573365072477169,greedy_ting+HUX
87.0,18.0,0.43467229151381753,0.005393525346700703,greedy_ting+HUX
115.0,26.0,0.4186093123650941,0.004905406212331993,greedy_ting+HUX
9.0,1.0,0.5069936958234831,0.025321020799063315,greedy_ting+HUX
24.0,4.0,0.47964686761229314,0.013762451637154218,greedy_ting+HUX
25.0,5.0,0.46202127659574466,0.01154485061113627,greedy_ting+HUX
109.0,17.0,0.296709284924198,0.0021304349439682938,greedy_ting+HUX
10.0,1.0,0.4715425531914893,0.02129123755092834,greedy_ting+HUX
19.0,2.0,0.38825121313923106,0.010159111446486015,greedy_ting+HUX
13.0,1.0,0.4524004364429896,0.016073280248246297,greedy_ting+HUX
11.0,1.0,0.43270470664087685,0.01775901713334852,greedy_ting+HUX
170.0,28.0,0.3092824363788068,0.0021488605472457286,greedy_ting+HUX
307.0,69.0,0.3559180585395153,0.0027037241545364212,greedy_ting+HUX
39.0,5.0,0.38759319876341153,0.007240119618204371,greedy_ting+HUX
102.0,19.0,0.4102263245723822,0.005366459748145636,greedy_ting+HUX
17.0,1.0,0.3012619941593659,0.008479842497984101,greedy_ting+HUX
10.0,1.0,0.5071808510638298,0.02251049211558761,greedy_ting+HUX
159.0,36.0,0.38016860698514654,0.0037128354076996586,greedy_ting+HUX
22.0,1.0,0.25765635074145715,0.006300913732160886,greedy_ting+HUX
44.0,9.0,0.4317980335267569,0.007263000737003995,greedy_ting+HUX
123.0,19.0,0.3073718503142478,0.002294092834385876,greedy_ting+HUX
81.0,11.0,0.3062560196129936,0.00305991842976148,greedy_ting+HUX
12.0,1.0,0.36761229314420807,0.014610019896159905,greedy_ting+HUX
12.0,1.0,0.33540189125295505,0.013786107198944849,greedy_ting+HUX
28.0,2.0,0.3852900202634245,0.00808090083541718,greedy_ting+HUX
31.0,6.0,0.4748627316403569,0.00996398050057573,greedy_ting+HUX
140.0,28.0,0.34823961499493417,0.003247733292426672,greedy_ting+HUX
12.0,1.0,0.40277777777777773,0.01576454557394278,greedy_ting+HUX
205.0,39.0,0.3442873205327798,0.0025788638525041847,greedy_ting+HUX
13.0,1.0,0.3484042553191489,0.012647585790780583,greedy_ting+HUX
34.0,6.0,0.40253441802252815,0.0074211209595014095,greedy_ting+HUX
107.0,20.0,0.34730231324981775,0.003030912510536474,greedy_ting+HUX
16.0,2.0,0.4338984929078014,0.012512655254821025,greedy_ting+HUX
12.0,1.0,0.43853427895981084,0.01661203605899543,greedy_ting+HUX
53.0,11.0,0.45169276060484415,0.008124815596909826,greedy_ting+HUX
31.0,2.0,0.43285289407458244,0.00919411706731013,greedy_ting+HUX
16.0,2.0,0.4934618794326241,0.018227975497177064,greedy_ting+HUX
107.0,26.0,0.42968283953072184,0.0056282869112577235,greedy_ting+HUX
20.0,2.0,0.45691489361702126,0.013932680700166145,greedy_ting+HUX
75.0,13.0,0.35421985815602836,0.003899923293596901,greedy_ting+HUX
180.0,31.0,0.3566932624113475,0.002857884985687989,greedy_ting+HUX
28.0,4.0,0.43971631205673756,0.011224213919761339,greedy_ting+HUX
30.0,5.0,0.4822990543735225,0.01193352443567003,greedy_ting+HUX
155.0,34.0,0.4056051246854267,0.004166632776152339,greedy_ting+HUX
292.0,61.0,0.35465850578062763,0.002602242113327161,greedy_ting+HUX
250.0,59.0,0.371886524822695,0.0030867956340224346,greedy_ting+HUX
196.0,43.0,0.37350738167607467,0.003396271090660186,greedy_ting+HUX
25.0,2.0,0.4067021276595744,0.009627421910366623,greedy_ting+HUX
15.0,1.0,0.424468085106383,0.014011241889240914,greedy_ting+HUX
15.0,1.0,0.34060283687943266,0.011156768187381627,greedy_ting+HUX
94.0,19.0,0.4006337709370756,0.005234998968170265,greedy_ting+HUX
220.0,41.0,0.34024822695035456,0.0024366273230681224,greedy_ting+HUX
47.0,7.0,0.38722272521502943,0.006218162835166181,greedy_ting+HUX
154.0,31.0,0.3412890301188174,0.003003633207863391,greedy_ting+HUX
153.0,32.0,0.38749826171603396,0.0038323645967761667,greedy_ting+HUX
92.0,16.0,0.40638490595127974,0.004886748259748304,greedy_ting+HUX
222.0,37.0,0.3346671139224331,0.002298753303995485,greedy_ting+HUX
259.0,56.0,0.3570949368821709,0.002768535919488273,greedy_ting+HUX
179.0,40.0,0.39217579935813623,0.0037513471680248214,greedy_ting+HUX
19.0,3.0,0.4180197835013065,0.010783811793049622,greedy_ting+HUX
69.0,11.0,0.38855483605714874,0.005104156091905855,greedy_ting+HUX
10.0,1.0,0.4125886524822695,0.01895500100598545,greedy_ting+HUX
