Compacidad,Tolerancia,Disimilitud,Balance,init_cross
28.0,5.0,0.4643173758865248,0.0074099443586662,greedy_multi+2P
13.0,1.0,0.4833606110201855,0.0161631827718118,greedy_multi+2P
31.0,8.0,0.5044326241134752,0.0088843451719311,greedy_multi+2P
30.0,7.0,0.5070626477541371,0.0093522072651722,greedy_multi+2P
33.0,9.0,0.4934182248012035,0.0081283387937382,greedy_multi+2P
7.0,1.0,0.4830293819655522,0.032278216100081,greedy_multi+2P
18.0,4.0,0.4861111111111111,0.0116602639873916,greedy_multi+2P
21.0,2.0,0.4122762580209388,0.0084992026252346,greedy_multi+2P
18.0,2.0,0.5087667454688731,0.0149283976543148,greedy_multi+2P
28.0,6.0,0.4882852077001013,0.007873148646436,greedy_multi+2P
23.0,6.0,0.4926765340733888,0.0094048660893374,greedy_multi+2P
14.0,1.0,0.5075354609929078,0.0152538623624339,greedy_multi+2P
8.0,1.0,0.508311170212766,0.0281196434213257,greedy_multi+2P
15.0,2.0,0.4109338061465721,0.0123114999524951,greedy_multi+2P
22.0,3.0,0.50535944551902,0.0100032938104656,greedy_multi+2P
38.0,9.0,0.4699514744307577,0.0067025359058141,greedy_multi+2P
8.0,1.0,0.4376108156028369,0.0259031348830231,greedy_multi+2P
7.0,1.0,0.5079787234042553,0.0328644048157965,greedy_multi+2P
18.0,3.0,0.4528664302600472,0.0110462008790264,greedy_multi+2P
24.0,5.0,0.5084589243498818,0.0126029811733111,greedy_multi+2P
17.0,3.0,0.5087609511889862,0.0174390129923564,greedy_multi+2P
27.0,4.0,0.4128250591016548,0.0071613503897573,greedy_multi+2P
27.0,6.0,0.5066981875492513,0.0093262732186551,greedy_multi+2P
10.0,1.0,0.4022163120567376,0.0193833858332075,greedy_multi+2P
20.0,4.0,0.418572695035461,0.0092716330133041,greedy_multi+2P
26.0,4.0,0.5069899072558647,0.0105855047871372,greedy_multi+2P
15.0,2.0,0.3756501182033097,0.0118420714361562,greedy_multi+2P
18.0,2.0,0.4821217494089834,0.0111313137822822,greedy_multi+2P
34.0,8.0,0.4878233208176888,0.0075398005840198,greedy_multi+2P
15.0,1.0,0.4569148936170213,0.0130215301879518,greedy_multi+2P
17.0,1.0,0.5073529411764706,0.0129155776828879,greedy_multi+2P
30.0,6.0,0.4313238770685579,0.0065641259941093,greedy_multi+2P
36.0,9.0,0.4481629235618597,0.0063991128920394,greedy_multi+2P
24.0,4.0,0.4643543144208037,0.0084426805093604,greedy_multi+2P
22.0,5.0,0.463209219858156,0.0091986482146249,greedy_multi+2P
22.0,4.0,0.5086234687298518,0.0136631072131246,greedy_multi+2P
32.0,8.0,0.4712156471631206,0.0069450024213898,greedy_multi+2P
32.0,7.0,0.4880873226950354,0.0076221062931866,greedy_multi+2P
12.0,2.0,0.4510195035460993,0.017147552023079,greedy_multi+2P
9.0,1.0,0.4682821118991331,0.0234226595775731,greedy_multi+2P
28.0,8.0,0.4926228470111448,0.0081176629372701,greedy_multi+2P
29.0,7.0,0.4699498654927855,0.0073276503145558,greedy_multi+2P
32.0,8.0,0.4448415336879432,0.0068331184500414,greedy_multi+2P
34.0,9.0,0.4936900292031706,0.0078652862342355,greedy_multi+2P
12.0,1.0,0.5082003546099291,0.020292042994358,greedy_multi+2P
25.0,6.0,0.471063829787234,0.0083570242945525,greedy_multi+2P
22.0,4.0,0.4882736943907156,0.0101729239777295,greedy_multi+2P
27.0,7.0,0.4943196742842133,0.009185646322298,greedy_multi+2P
