Compacidad,Tolerancia,Disimilitud,Balance,init_cross
154.0,31.0,0.32815234410979094,0.002880591938122227,greedy_ting+2P
41.0,8.0,0.49182667358588483,0.012683121847449167,greedy_ting+2P
20.0,1.0,0.3091755319148936,0.008477423089256055,greedy_ting+2P
267.0,52.0,0.37675312773926206,0.003614672258328249,greedy_ting+2P
52.0,8.0,0.49657324058919805,0.028622943521627402,greedy_ting+2P
348.0,80.0,0.34991236651177954,0.002618229596532715,greedy_ting+2P
155.0,33.0,0.40254518416838253,0.0054693118841184045,greedy_ting+2P
133.0,24.0,0.38325201301125156,0.003751387148965703,greedy_ting+2P
60.0,12.0,0.4662381796690307,0.008096496855945665,greedy_ting+2P
167.0,35.0,0.42229371045143754,0.006402896866135848,greedy_ting+2P
105.0,19.0,0.4520094562647754,0.011537952404106018,greedy_ting+2P
198.0,39.0,0.3866009384626406,0.0037842948286091085,greedy_ting+2P
56.0,11.0,0.48864931610942247,0.01671258937064245,greedy_ting+2P
290.0,65.0,0.33887869894839817,0.002222265845335036,greedy_ting+2P
28.0,5.0,0.49572568389057753,0.012002961586683096,greedy_ting+2P
73.0,12.0,0.3892936947440008,0.004423556981453782,greedy_ting+2P
67.0,13.0,0.4818460887054092,0.01808226647371196,greedy_ting+2P
16.0,1.0,0.4237588652482269,0.01377394717318046,greedy_ting+2P
23.0,2.0,0.37715849522047484,0.008938306684222944,greedy_ting+2P
13.0,1.0,0.47224495362793234,0.0199187337364418,greedy_ting+2P
32.0,5.0,0.44135084219858156,0.008111937138031823,greedy_ting+2P
223.0,44.0,0.3276563941099768,0.002479946263225834,greedy_ting+2P
329.0,69.0,0.3683793571751924,0.003271039229037816,greedy_ting+2P
85.0,13.0,0.31853358364622447,0.0031522975849905535,greedy_ting+2P
14.0,1.0,0.5096251266464032,0.025453745705313904,greedy_ting+2P
68.0,14.0,0.47217876512307055,0.01246786826144105,greedy_ting+2P
21.0,3.0,0.4807919621749409,0.012657538473532064,greedy_ting+2P
35.0,1.0,0.3423252279635258,0.005571435115467625,greedy_ting+2P
91.0,16.0,0.4493998908892526,0.009001171616086101,greedy_ting+2P
18.0,2.0,0.5055654058313633,0.017220689860068618,greedy_ting+2P
129.0,27.0,0.4320812029248447,0.007618000346986762,greedy_ting+2P
68.0,10.0,0.4276439299123905,0.007337760426048827,greedy_ting+2P
58.0,9.0,0.36512594766446566,0.006265901316160531,greedy_ting+2P
