AGEMOEA2-greedy_multi-1P,AGEMOEA2-greedy_multi-2P,AGEMOEA2-greedy_multi-HUX,AGEMOEA2-greedy_multi-UX,AGEMOEA2-greedy_ting-1P,AGEMOEA2-greedy_ting-2P,AGEMOEA2-greedy_ting-HUX,AGEMOEA2-greedy_ting-UX,AGEMOEA2-random_dense-1P,AGEMOEA2-random_dense-2P,AGEMOEA2-random_dense-HUX,AGEMOEA2-random_dense-UX,NSGA2-greedy_multi-1P,NSGA2-greedy_multi-2P,NSGA2-greedy_multi-HUX,NSGA2-greedy_multi-UX,NSGA2-greedy_ting-1P,NSGA2-greedy_ting-2P,NSGA2-greedy_ting-HUX,NSGA2-greedy_ting-UX,NSGA2-random_dense-1P,NSGA2-random_dense-2P,NSGA2-random_dense-HUX,NSGA2-random_dense-UX,NSGA3-greedy_multi-1P,NSGA3-greedy_multi-2P,NSGA3-greedy_multi-HUX,NSGA3-greedy_multi-UX,NSGA3-greedy_ting-1P,NSGA3-greedy_ting-2P,NSGA3-greedy_ting-HUX,NSGA3-greedy_ting-UX,NSGA3-random_dense-1P,NSGA3-random_dense-2P,NSGA3-random_dense-HUX,NSGA3-random_dense-UX,RVEA-greedy_multi-1P,RVEA-greedy_multi-2P,RVEA-greedy_multi-HUX,RVEA-greedy_multi-UX,RVEA-greedy_ting-1P,RVEA-greedy_ting-2P,RVEA-greedy_ting-HUX,RVEA-greedy_ting-UX,RVEA-random_dense-1P,RVEA-random_dense-2P,RVEA-random_dense-HUX,RVEA-random_dense-UX,SMSEMOA-greedy_multi-1P,SMSEMOA-greedy_multi-2P,SMSEMOA-greedy_multi-HUX,SMSEMOA-greedy_multi-UX,SMSEMOA-greedy_ting-1P,SMSEMOA-greedy_ting-2P,SMSEMOA-greedy_ting-HUX,SMSEMOA-greedy_ting-UX,SMSEMOA-random_dense-1P,SMSEMOA-random_dense-2P,SMSEMOA-random_dense-HUX,SMSEMOA-random_dense-UX,SPEA2-greedy_multi-1P,SPEA2-greedy_multi-2P,SPEA2-greedy_multi-HUX,SPEA2-greedy_multi-UX,SPEA2-greedy_ting-1P,SPEA2-greedy_ting-2P,SPEA2-greedy_ting-HUX,SPEA2-greedy_ting-UX,SPEA2-random_dense-1P,SPEA2-random_dense-2P,SPEA2-random_dense-HUX,SPEA2-random_dense-UX,UNSGA3-greedy_multi-1P,UNSGA3-greedy_multi-2P,UNSGA3-greedy_multi-HUX,UNSGA3-greedy_multi-UX,UNSGA3-greedy_ting-1P,UNSGA3-greedy_ting-2P,UNSGA3-greedy_ting-HUX,UNSGA3-greedy_ting-UX,UNSGA3-random_dense-1P,UNSGA3-random_dense-2P,UNSGA3-random_dense-HUX,UNSGA3-random_dense-UX
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.004482457131932619,0.0018384279019202792,1.9529047438636727e-07,2.227539186602537e-07,1.00963902972926e-05,1.837826957804288e-05,1.0,1.0,1.0,0.6632815602657381,1.0,1.0,0.8439742845237022,0.6428876120461976,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3836524929024039,1.2392267803891131e-05,1.3633732391401554e-05,0.004679055331678009,0.019341173527973928,0.0543126248076266,0.051894968325617304,9.649265466919617e-09,1.8103982497974966e-08,3.4075452808648045e-06,2.1490577493325268e-06,1.0,1.0,0.8434697179439339,1.0,1.0,1.0,1.0,1.0,1.0,0.19185478795621086,4.285813877710678e-05,0.00012583438523024678,0.005266101156236713,0.00036005371213587955,4.0277313140630135e-07,4.3687031454111344e-07,1.8407251084702026e-05,8.583790761878487e-06,0.0014017298713249668,0.0011565374021037292,0.047585259633623596,0.1533924394681202,0.008230708534568244,0.002551241553294417,1.0,1.0,0.08443172098458619,0.09133610785822623,1.0,1.0,1.0,1.0,0.4113583735772684,1.0,1.0,1.0,1.0,0.35004447531511235,1.543193325069917e-05,2.6177031226666347e-05
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01817410861936544,0.007949963641312093,2.5245130923089647e-08,2.9005656046353525e-08,1.6016194271677177e-06,3.001065010859526e-06,1.0,1.0,0.5310784571942894,0.21797756433717516,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5097792001373289,1.0,1.0,1.0,1.0,1.0,7.065367537654493e-05,7.735299301666769e-05,0.0010444784903197721,0.004798697086453735,0.014396690931494897,0.013709770565905095,1.0921233431306329e-09,2.1089061290709073e-09,5.097840580227659e-07,3.135839775992047e-07,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5903864444681295,0.00022915712987205925,0.0006345814196820303,0.02113083388228528,0.001716293811510309,2.7302855545339224e-06,2.9440419123466106e-06,3.006151983850954e-06,1.3470512228227683e-06,0.0002910313461861924,0.00023694458058924107,0.012521030448331886,0.044290206529280764,0.0019066741883576141,0.0005477221210420281,1.0,1.0,0.27890158967316936,0.29955382886979653,1.0,1.0,1.0,1.0,0.12883921689199487,1.0,1.0,1.0,1.0,1.0,8.710036664920574e-05,0.000143916375235816
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11073998520128031,0.052702990363813665,1.2215651502080922e-09,1.4156367528411984e-09,1.0229096773139502e-07,2.0122852737442187e-07,1.0,0.46091996213585085,0.10460034916755866,0.03864215769389029,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09972309139519307,0.5957222276178726,1.0,1.0,1.0,1.0,0.0007004896060489724,0.0007623983339931414,0.0001085156995759434,0.000568035643718785,0.0019043180936389279,0.0018040689187002294,4.372860668066159e-11,8.75249095315413e-11,3.0066364210994236e-08,1.7855582905123877e-08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0020750096418192254,0.005307168035962392,0.12674220559556507,0.013092427267885233,3.407108780212672e-05,3.66161955257628e-05,2.0160255917441763e-07,8.507209490285665e-08,2.734799749173346e-05,2.1977035042767255e-05,0.001632621117744733,0.006567969880369959,0.0002095842832872808,5.424312119750673e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.021505833603006976,0.9467325564791678,1.0,1.0,1.0,1.0,0.0008502948945351244,0.001349757792660593
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11955421159442182,0.0571311190879391,1.061595240359756e-09,1.2302793469441365e-09,8.990878842389679e-08,1.7748976340984925e-07,1.0,0.42880859159614093,0.09666096160606602,0.03552621949913669,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09229112570689436,0.5560466955140914,1.0,1.0,1.0,1.0,0.0007743510017365627,0.0008417360556822863,9.752668475968513e-05,0.0005144795106956157,0.0017318499455732878,0.0016403340607197509,3.7655338951477294e-11,7.565981275198666e-11,2.6346021366258393e-08,1.5641348858612036e-08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002277854423161144,0.005810161643819455,0.13665955387903678,0.014279335489592473,3.801284790619306e-05,4.0824652167927064e-05,1.7782099236111033e-07,7.470646645970098e-08,2.449596498985161e-05,1.9662212257060343e-05,0.001482440517100036,0.006002421669541495,0.00018905013531547396,4.86557749403065e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.019742498105776347,0.887150776421281,1.0,1.0,1.0,1.0,0.0009388408560339835,0.0014855955934814148
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.060409227865708806,0.011085746075416684,2.8698670218982767e-06,9.278040819959525e-07,0.0005355349637484635,0.0005941110555538646,0.011862502202070413,0.018790802304421636,1.0,1.0,1.0,1.0,1.0,1.0,0.0031548222242514224,0.0021608971037289366,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.15590134704035735,0.0010495125045718902,1.7810359513846803e-09,2.0031470923501125e-09,1.0,1.0,1.0,1.0,4.853508102464914e-05,8.046475589452958e-05,0.005130253199646605,0.003567810492815254,1.0,1.0,0.0031510476167657024,0.005339707301297002,1.0,1.0,1.0,1.0,0.010499395689589896,0.0004033469483631002,8.273999550752997e-09,3.164239643273206e-08,3.529789299790627e-06,1.1851470241090518e-07,2.6874341718621153e-11,2.964876500390163e-11,0.018810315592582512,0.010454319317025815,0.47381782753668067,0.41164459325375735,1.0,1.0,1.0,0.7239799796812497,0.5074489320590309,0.010584647796383706,0.00013426193492914373,0.00014903081400949902,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08450634622920063,0.0009208103643151135,2.3357055067920055e-09,4.501996587672163e-09
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.36221632794495684,0.0003501503702078639,0.00013205773345148134,4.6848686747906395e-06,5.291467804844364e-06,0.0001761562465361919,0.0003048735917171741,1.0,1.0,1.0,1.0,1.0,1.0,0.12934548800631726,0.09503215341188175,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05264341837587574,5.601226707832826e-07,6.210130111255905e-07,0.045383446999909254,0.15996919644873048,0.39401768123009767,0.3790739096235182,2.9302103632755215e-07,5.241467225920036e-07,6.501324938281761e-05,4.2542661083492385e-05,1.0,1.0,0.12923751091101157,0.19951874118242655,1.0,1.0,1.0,1.0,0.3472008733690791,0.023770465967210535,2.165618465833182e-06,6.993955900138259e-06,0.00041846944961502927,2.2055366147454547e-05,1.3626492004859344e-08,1.4874392286494704e-08,0.00030529407191595595,0.00015158189674621716,0.015510792437429456,0.013057639152151232,0.3524200954420474,0.9746605555523001,0.07527146125542596,0.026455212671675225,1.0,0.3497734791927561,0.009429196610467995,0.010306598756787147,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04721214358504252,7.117430409914395e-07,1.2671666396551083e-06
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4481034702800949,0.22654562222016708,7.942773311510966e-11,9.256044969157501e-11,8.384722940314612e-09,1.7116400244059757e-08,0.9928065936370636,0.11402319512565552,0.022518705333299867,0.00755207853419892,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.021367300766279525,0.15283784851940915,0.48133947663725896,0.6143544287816103,1.0,1.0,0.004323959052430935,0.004669723201811602,1.3669310584011869e-05,7.988486305806274e-05,0.0002919709359765111,0.00027537314087421435,2.411335839299496e-12,5.001343518174593e-12,2.3088285943058944e-09,1.335111562951559e-09,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.011755444278566105,0.02779939240868504,0.5057940427385358,0.06412287519339029,0.0002556382425030889,0.0002738517536112434,1.7150511167478784e-08,6.922366431128378e-09,3.154623848754315e-06,2.503114694205354e-06,0.00024691876973619356,0.0011042059755025692,2.7487218336353262e-05,6.52609779671737e-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00402287896280946,0.2546824649826156,1.0,0.8335321868086314,1.0,1.0,0.005167739311498546,0.007908887542037444
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.31171906011368444,0.15590134704035735,1.6713250239013928e-10,1.9479732169026871e-10,1.6623307143126004e-08,3.359901817858212e-08,1.0,0.16854081722919745,0.03449411846667069,0.011862502202070413,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03280229701069387,0.22247238873556327,0.6799433978624072,0.8685661081132513,1.0,1.0,0.0026818408448457853,0.0029008410978486523,2.4154144644015816e-05,0.00013714738015957706,0.0004893290750023202,0.0004615729719699083,5.3162137167326e-12,1.0914558361342755e-11,4.665692974965753e-09,2.7128861812587886e-09,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0074862154696246795,0.018089052953779963,0.35479150216771155,0.0424872585215443,0.00015065512004704324,0.00016129202078310362,3.366477114658654e-08,1.3735249478733486e-08,5.707181017103971e-06,4.539863130919542e-06,0.00041449614341404435,0.0018033860537410315,4.8085453604216123e-05,1.1673448491841265e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.006386634606111643,0.36807146841642946,1.0,1.0,1.0,1.0,0.0032232187964713437,0.005009341989979013
1.0,1.0,1.0,1.0,0.060409227865708806,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.172718187256485e-17,5.040663671125011e-17,1.2998550376200488e-14,3.1589791854333856e-14,0.0006995685148588089,2.901309088516656e-05,2.9459320173594177e-06,6.53963939289207e-07,1.0,1.0,1.0,1.0,0.07480788230766136,0.12446802861187664,0.9281646027607041,1.0,2.7482736019998426e-06,4.390390723963846e-05,0.0002358460682158654,0.0003414531724586892,1.0,1.0,1.0,1.0,1.5212096781750434e-10,1.5177746768194576e-09,8.347656385415286e-09,7.74047741827266e-09,5.973765030424276e-19,1.441960800282573e-18,2.6246092499267002e-15,1.3342942808888083e-15,1.0,1.0,1.0,1.0,0.887150776421281,0.36859611062321473,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5077880290494883,0.5310711337980518,3.167209494542564e-14,1.0229265436863327e-14,2.3022044545378107e-11,1.7063131172452474e-11,6.71368786163171e-09,4.8737290544910074e-08,3.782212889420151e-10,5.87110739695057e-11,1.0,1.0,1.0,1.0,0.027091369718383915,0.16316542183644353,1.0,1.0,2.767561894768995e-07,9.221532310753069e-05,0.0007486190609042625,0.0005357674164594102,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,0.011085746075416684,0.36221632794495684,1.0,1.0,1.0,1.0,1.0,1.0,1.024539413978293e-18,1.246974442550835e-18,4.0662376529153094e-16,1.0302194840138248e-15,8.798297123270736e-05,2.9328699789082726e-06,2.553977803694121e-07,5.134451354798401e-08,1.0,1.0,1.0,1.0,0.013962387457778594,0.024653884188820106,0.22796390264193675,0.303626825370127,2.3680241298497236e-07,4.556920157996878e-06,2.7444710480045415e-05,4.0824652167927064e-05,1.0,1.0,1.0,1.0,7.471523944281048e-12,8.40055637182363e-11,5.065782146231729e-10,4.670553776172733e-10,1.2333480530696898e-20,3.095182466263682e-20,7.676510767276408e-17,3.788087710346698e-17,1.0,1.0,1.0,1.0,0.21721149537083842,0.08149093501790623,1.0,0.7740837872572575,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0330447240281913e-15,3.1671868840533063e-16,1.0262219662520076e-12,7.497778538549809e-13,4.023876149342949e-10,3.2797720086428503e-09,1.9452630290971118e-11,2.7356033319120703e-12,1.0,1.0,1.0,1.0,0.004644939574701001,0.033160932268514784,0.4937426212190996,0.6833966001190013,2.0552440688233158e-08,1.0080092573927028e-05,9.44919585909149e-05,6.615846740491393e-05,1.0,1.0,1.0,1.0
0.004482457131932619,0.01817410861936544,0.11073998520128031,0.11955421159442182,2.8698670218982767e-06,0.0003501503702078639,0.4481034702800949,0.31171906011368444,1.0,1.0,1.0,1.0,8.756986339287016e-26,1.1008569348434342e-25,9.398618036536711e-23,2.778372035132829e-22,5.187676944079291e-09,6.872595157666114e-11,3.2522643079423065e-12,4.5310340436045554e-13,1.0,1.0,1.0,1.0,3.909654319283001e-06,8.411765782177368e-06,0.0001828786895603125,0.0002739787631823528,2.9619802242205778e-12,1.196378156857962e-10,1.1684023212231456e-09,1.9357874708901246e-09,1.0,1.0,1.0,1.0,1.0220132788260808e-17,1.8569397370841055e-16,1.6192309473250045e-15,1.4684349481861514e-15,5.2818455490464615e-28,1.5235538809148474e-27,1.3336604559914835e-23,5.859466955698981e-24,1.0,1.0,1.0,1.0,0.0001697549261805418,4.321811506933602e-05,0.0028342151114489713,0.001057282663057775,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.7874962767520476e-22,7.004350218464862e-23,9.592039760379872e-19,6.607444850503988e-19,1.22343874201572e-15,1.560015000338895e-14,3.2066732833481185e-17,3.0818114988589352e-18,1.0,1.0,1.0,1.0,8.945758472689217e-07,1.253321440223543e-05,0.0005489475851045944,0.00088762369509134,1.4692427967689316e-13,3.267425255029111e-10,5.690558118848125e-09,3.5905484755595444e-09,1.0,1.0,1.0,1.0
0.0018384279019202792,0.007949963641312093,0.052702990363813665,0.0571311190879391,9.278040819959525e-07,0.00013205773345148134,0.22654562222016708,0.15590134704035735,1.0,1.0,1.0,1.0,1.0991151200962237e-26,1.3867921824438384e-26,1.3242883722877288e-23,4.00347491918491e-23,1.4004077522395285e-09,1.6707129925207632e-11,7.38536779030801e-13,9.813593321609737e-14,0.6675145577382233,1.0,1.0,1.0,1.2757115898929617e-06,2.8123002982902165e-06,6.728805359095555e-05,0.00010200113246165443,6.711980587333167e-13,2.9541264291528364e-11,3.0442672171247673e-10,5.096091406150604e-10,1.0,1.0,1.0,1.0,1.7792263719695918e-18,3.421047921897139e-17,3.114535947853281e-16,2.8188731790154245e-16,6.118499611797437e-29,1.7961264891397998e-28,1.8180112616815655e-24,7.8672619452603755e-25,1.0,1.0,1.0,1.0,6.236146318247434e-05,1.5195822387390862e-05,0.0011485381347119195,0.0004120563013584877,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.016877905184047e-23,9.832002065604279e-24,1.596840672504001e-19,1.092749621185129e-19,2.344509572455135e-16,3.1437790678140508e-15,5.703979281998649e-18,5.26152059422529e-19,1.0,1.0,1.0,1.0,2.793284348050149e-07,4.249505990550172e-06,0.00020987904580633973,0.0003444352346225802,3.104891163815098e-14,8.243515470966855e-11,1.538064455892419e-09,9.631793922659293e-10,1.0,1.0,1.0,1.0
1.9529047438636727e-07,2.5245130923089647e-08,1.2215651502080922e-09,1.061595240359756e-09,0.0005355349637484635,4.6848686747906395e-06,7.942773311510966e-11,1.6713250239013928e-10,4.172718187256485e-17,1.024539413978293e-18,8.756986339287016e-26,1.0991151200962237e-26,1.0,1.0,1.0,1.0,0.048682365335786335,0.47882442608641707,1.0,1.0,7.893236387297627e-12,5.241358751652279e-13,7.274688702102572e-20,3.35160086684395e-20,0.00040982070266925034,0.00020831786675044165,9.695187936539618e-06,6.190234485007219e-06,1.0,0.36808943742628586,0.1134245801557937,0.08559368502329415,3.647332420320505e-16,7.672682354650987e-21,1.7641093279513286e-31,2.1570281717866935e-31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.238043184919831e-12,4.19461885543089e-13,7.252233557146729e-20,2.168711859628276e-19,1.050743861511177e-05,4.379455599086896e-05,3.5942127010584304e-07,1.2671666396551083e-06,9.120513602653596e-19,1.137472833761038e-21,2.49189533676144e-30,2.6024849632977766e-29,1.287013363141326e-25,2.6880659027574156e-28,1.481649414252235e-34,1.7458475149836416e-34,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.1926673594784984e-15,9.29783037676516e-19,1.3029082119817513e-22,1.5987649022118845e-22,0.0013975257284368978,0.0001441227251016887,2.7868770569068933e-06,1.5733910035825168e-06,1.0,0.22249175725544293,0.04608660414855501,0.06039808217496231,8.999219724760088e-17,5.8997287378543274e-21,2.811911347730992e-31,8.669696443685997e-31
2.227539186602537e-07,2.9005656046353525e-08,1.4156367528411984e-09,1.2302793469441365e-09,0.0005941110555538646,5.291467804844364e-06,9.256044969157501e-11,1.9479732169026871e-10,5.040663671125011e-17,1.246974442550835e-18,1.1008569348434342e-25,1.3867921824438384e-26,1.0,1.0,1.0,1.0,0.05302740924552684,0.5144407523928548,1.0,1.0,9.27597823223235e-12,6.196791550849779e-13,8.907481838681137e-20,4.108992650950889e-20,0.0004559636662181827,0.00023204743314775425,1.0923610388023822e-05,6.993955900138259e-06,1.0,0.3950919885422572,0.1230311406323156,0.09297287333011271,4.383789764401304e-16,9.442666660032702e-21,2.2676527934533533e-31,2.771819598922123e-31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.6338787859633535e-12,4.956926036748677e-13,8.880050256404771e-20,2.6488043695045183e-19,1.1830471438845497e-05,4.904112453675017e-05,4.093455493216502e-07,1.4391569282697075e-06,1.110334172112499e-18,1.405504256109861e-21,3.19022975331918e-30,3.317872319703222e-29,1.6163395282208398e-25,3.412473174219203e-28,1.926103525974763e-34,2.2689740789817106e-34,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.400846568630922e-15,1.1322262429246483e-18,1.6127225569006357e-22,1.9811257060529617e-22,0.001545251913727502,0.00016083323983700942,3.149295485594116e-06,1.7828181249348076e-06,1.0,0.24078250453920347,0.050240688362713906,0.06572082880318339,1.0856493427425873e-16,7.26005107869884e-21,3.6107486493759557e-31,1.1118628557658967e-30
1.00963902972926e-05,1.6016194271677177e-06,1.0229096773139502e-07,8.990878842389679e-08,0.011862502202070413,0.0001761562465361919,8.384722940314612e-09,1.6623307143126004e-08,1.2998550376200488e-14,4.0662376529153094e-16,9.398618036536711e-23,1.3242883722877288e-23,1.0,1.0,1.0,1.0,0.5709493028544107,1.0,1.0,1.0,1.008058102033925e-09,8.251358790377117e-11,3.4297886769565704e-17,1.6574188491983974e-17,0.00939604927720346,0.00519087053545453,0.00033818593786179264,0.0002263015516242675,1.0,1.0,1.0,0.9230523923839503,9.813593321609737e-14,4.1634965891294945e-18,3.814341489809421e-28,4.615085312489731e-28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.1539080090247543e-10,6.719583002475658e-11,3.421047921897139e-17,9.521308662065615e-17,0.0003628598406875864,0.0012983919161419736,1.7521789209600443e-05,5.4430253182064254e-05,3.647332420320505e-16,6.966124875680962e-19,4.702009297157532e-27,4.334412989221653e-26,1.3503067442260362e-22,3.9538161867306304e-25,4.568772177130557e-31,5.340564352641171e-31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3541444471157224e-12,3.7122266232772635e-16,9.087805998346482e-20,1.103562969566854e-19,0.02732758170107656,0.0037533697614242387,0.00011023385229801531,6.599637446993702e-05,1.0,1.0,0.5450098651021336,0.6825357087896036,2.6630063444210063e-14,3.249606186235223e-18,5.9353330108272965e-28,1.726951227114581e-27
1.837826957804288e-05,3.001065010859526e-06,2.0122852737442187e-07,1.7748976340984925e-07,0.018790802304421636,0.0003048735917171741,1.7116400244059757e-08,3.359901817858212e-08,3.1589791854333856e-14,1.0302194840138248e-15,2.778372035132829e-22,4.00347491918491e-23,1.0,1.0,1.0,1.0,0.8190812232801699,1.0,1.0,1.0,2.120391631111652e-09,1.7928591623265435e-10,8.909019647768071e-17,4.340473344222621e-17,0.014945735630421739,0.008352538953738945,0.0005770388261620128,0.0003894523672103724,1.0,1.0,1.0,1.0,2.330406637640486e-13,1.1075551584445857e-17,1.2662732651991883e-27,1.5291286044602747e-27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.733182480614441e-10,1.4630271033293679e-10,8.883815977994947e-17,2.451309620735747e-16,0.0006194272244164044,0.0021616973788995057,3.1590379097927814e-05,9.604359659109944e-05,9.25212267063857e-16,1.8834651763175935e-18,1.5275936814962285e-26,1.3807078476385926e-25,3.9814605191202975e-22,1.2360841967496635e-24,1.6066814723824926e-30,1.8751314459187056e-30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.1069871253697047e-12,9.417824728727492e-16,2.5168679499944877e-19,3.0465265303455023e-19,0.042559983075954266,0.006090786179787804,0.00019270613209032068,0.00011620151549902284,1.0,1.0,0.7818949156616166,0.9752233170142699,6.419924215732718e-14,8.675184590546136e-18,1.962282091188746e-27,5.65832457215069e-27
1.0,1.0,1.0,1.0,1.0,1.0,0.9928065936370636,1.0,0.0006995685148588089,8.798297123270736e-05,5.187676944079291e-09,1.4004077522395285e-09,0.048682365335786335,0.05302740924552684,0.5709493028544107,0.8190812232801699,1.0,1.0,1.0,1.0,0.34979254206895277,0.09532041881185092,1.936652674812003e-05,1.2347377148152075e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0022770178634049,5.22818082463765e-06,1.1024122185956351e-12,1.2586486140467972e-12,1.0,1.0,1.0,1.0,0.006787431572980231,0.010306598756787147,0.29489733062239026,0.2212370284515753,0.19282439050331882,0.08545638609330129,1.9336101505641423e-05,3.636111335835049e-05,1.0,1.0,1.0,1.0,8.238115773882157e-05,1.6990321474020111e-06,6.292066853757867e-12,2.905604071429922e-11,6.6036983191147805e-09,1.309095621415558e-10,9.756577717825317e-15,1.089427350772036e-14,0.8195752422556435,0.5174612206479678,1.0,1.0,1.0,1.0,1.0,1.0,0.010193573029291476,8.329734646589976e-05,4.631260696802996e-07,5.241467225920036e-07,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0010670590721842492,4.482522425202896e-06,1.4989003389342815e-12,3.1435035950469783e-12
1.0,1.0,0.46091996213585085,0.42880859159614093,1.0,1.0,0.11402319512565552,0.16854081722919745,2.901309088516656e-05,2.9328699789082726e-06,6.872595157666114e-11,1.6707129925207632e-11,0.47882442608641707,0.5144407523928548,1.0,1.0,1.0,1.0,1.0,1.0,0.03354876633906669,0.007512958541485751,5.499899189458856e-07,3.3579381990868414e-07,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0001081523440138563,1.30520324197272e-07,7.66853578867436e-15,8.844033116070155e-15,1.0,1.0,1.0,1.0,0.08723274210343859,0.1255640616327247,1.0,1.0,0.016860568587814206,0.00662949614677193,5.490027201092945e-07,1.1035949196247016e-06,1.0,1.0,1.0,1.0,2.7302855545339224e-06,3.777152539592412e-08,4.964683533390231e-14,2.5660660322504434e-13,8.907421003224323e-11,1.2955739424922835e-12,4.86930090276612e-17,5.47907187076429e-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0005817053222815905,2.7616769433051365e-06,9.105818712508742e-09,1.043055490202035e-08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.644227839318588e-05,1.0998461372970488e-07,1.0660924632239349e-14,2.3584811902177796e-14
