AGEMOEA2-greedy_multi-1P,AGEMOEA2-greedy_multi-2P,AGEMOEA2-greedy_multi-HUX,AGEMOEA2-greedy_multi-UX,AGEMOEA2-greedy_ting-1P,AGEMOEA2-greedy_ting-2P,AGEMOEA2-greedy_ting-HUX,AGEMOEA2-greedy_ting-UX,AGEMOEA2-random_dense-1P,AGEMOEA2-random_dense-2P,AGEMOEA2-random_dense-HUX,AGEMOEA2-random_dense-UX,NSGA2-greedy_multi-1P,NSGA2-greedy_multi-2P,NSGA2-greedy_multi-HUX,NSGA2-greedy_multi-UX,NSGA2-greedy_ting-1P,NSGA2-greedy_ting-2P,NSGA2-greedy_ting-HUX,NSGA2-greedy_ting-UX,NSGA2-random_dense-1P,NSGA2-random_dense-2P,NSGA2-random_dense-HUX,NSGA2-random_dense-UX,NSGA3-greedy_multi-1P,NSGA3-greedy_multi-2P,NSGA3-greedy_multi-HUX,NSGA3-greedy_multi-UX,NSGA3-greedy_ting-1P,NSGA3-greedy_ting-2P,NSGA3-greedy_ting-HUX,NSGA3-greedy_ting-UX,NSGA3-random_dense-1P,NSGA3-random_dense-2P,NSGA3-random_dense-HUX,NSGA3-random_dense-UX,RVEA-greedy_multi-1P,RVEA-greedy_multi-2P,RVEA-greedy_multi-HUX,RVEA-greedy_multi-UX,RVEA-greedy_ting-1P,RVEA-greedy_ting-2P,RVEA-greedy_ting-HUX,RVEA-greedy_ting-UX,RVEA-random_dense-1P,RVEA-random_dense-2P,RVEA-random_dense-HUX,RVEA-random_dense-UX,SMSEMOA-greedy_multi-1P,SMSEMOA-greedy_multi-2P,SMSEMOA-greedy_multi-HUX,SMSEMOA-greedy_multi-UX,SMSEMOA-greedy_ting-1P,SMSEMOA-greedy_ting-2P,SMSEMOA-greedy_ting-HUX,SMSEMOA-greedy_ting-UX,SMSEMOA-random_dense-1P,SMSEMOA-random_dense-2P,SMSEMOA-random_dense-HUX,SMSEMOA-random_dense-UX,SPEA2-greedy_multi-1P,SPEA2-greedy_multi-2P,SPEA2-greedy_multi-HUX,SPEA2-greedy_multi-UX,SPEA2-greedy_ting-1P,SPEA2-greedy_ting-2P,SPEA2-greedy_ting-HUX,SPEA2-greedy_ting-UX,SPEA2-random_dense-1P,SPEA2-random_dense-2P,SPEA2-random_dense-HUX,SPEA2-random_dense-UX,UNSGA3-greedy_multi-1P,UNSGA3-greedy_multi-2P,UNSGA3-greedy_multi-HUX,UNSGA3-greedy_multi-UX,UNSGA3-greedy_ting-1P,UNSGA3-greedy_ting-2P,UNSGA3-greedy_ting-HUX,UNSGA3-greedy_ting-UX,UNSGA3-random_dense-1P,UNSGA3-random_dense-2P,UNSGA3-random_dense-HUX,UNSGA3-random_dense-UX
1.0,1.0,1.0,1.0,1.0,1.0,0.0001389607469808095,0.00021566385055941608,0.0023402991886639335,3.3264348999566065e-06,4.746249967079781e-10,3.903153677641958e-10,0.008997083946309546,0.008410076258911926,0.25123642057184126,0.9380219018216019,1.0,1.0,1.0,1.0,1.0,0.7522345726465788,0.0017944569385848095,0.00013764476597254188,1.0,1.0,1.0,1.0,0.33952780054865667,1.0,1.0,1.0,0.009229272880784718,6.058425358041102e-06,2.2556382843927197e-10,3.457790039179913e-10,0.18741314673860424,1.0,1.0,1.0,0.00013504840596438453,0.00025355392308466416,0.0001173357986266154,0.00011385320866798316,0.3723432142853756,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04780263530504218,0.0009640563985493417,3.666315253852004e-06,7.565608322850537e-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.011976018871588797,3.6550626221927396e-05,9.252223094803676e-08,4.348531790004433e-08,1.0,1.0,1.0,1.0,0.17897136960822352,1.0,1.0,1.0,0.004364440193117655,2.8372761525173536e-06,1.687317625681608e-10,7.960345200825936e-10
1.0,1.0,1.0,1.0,1.0,1.0,0.0038756458598925153,0.005680877799810332,0.045537912872386434,0.00014170047255198282,4.781052414400109e-08,3.999159663195032e-08,0.000361196338276981,0.00033457613758203556,0.016901134263853836,0.08162635494683196,1.0,1.0,1.0,1.0,1.0,1.0,0.03604731673790426,0.003841944685912058,1.0,1.0,1.0,1.0,0.0240573522395065,1.0,1.0,1.0,0.1493617396569803,0.00024328752331400676,2.435156260693706e-08,3.582672863617072e-08,0.012056299581304409,0.31905670113185697,1.0,1.0,3.1450118142571717e-06,6.354825467700427e-06,2.6839384042607593e-06,2.592288723963141e-06,0.026811776310573396,1.0,1.0,1.0,0.5051578359952791,0.8764350271844578,1.0,1.0,1.0,1.0,1.0,1.0,0.6003936976279112,0.021172911552717555,0.00015476749155352102,0.0002958887780753036,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.18646146719157264,0.001188962528514074,5.758638067232136e-06,2.9280649491701636e-06,1.0,1.0,1.0,1.0,0.011407389278736375,1.0,1.0,1.0,0.07862502282671341,0.00012333303366271136,1.8742727243878388e-08,7.644087593163184e-08
1.0,1.0,1.0,1.0,1.0,1.0,0.3874404127709159,0.5175147081090923,1.0,0.02867746465916485,4.1064462239114964e-05,3.537743792473838e-05,6.614984157805945e-07,6.021108658439485e-07,7.365198016262308e-05,0.0005253183558314942,0.09516783242028339,1.0,1.0,1.0,1.0,1.0,1.0,0.38531700465463103,1.0,1.0,1.0,1.0,0.00011397101671534292,1.0,1.0,1.0,1.0,0.04405491104632039,2.32591397893902e-05,3.223621950511249e-05,4.8294015551373214e-05,0.002999151242274936,0.03996614539110994,0.09198383581295422,2.2747027175021054e-09,5.265829157298482e-09,1.8888095469150494e-09,1.8136556412310784e-09,0.00013082237751547144,0.08757349814681284,1.0,1.0,0.005504546346736297,0.011419904903253168,0.11976110574829549,0.13494238295902639,1.0,1.0,1.0,1.0,1.0,1.0,0.030743531201023386,0.05150378004862883,0.08730506797540409,0.15194119028877126,1.0,1.0,0.026194010265129575,0.6764800386069608,1.0,1.0,1.0,0.15427809519567962,0.002157010201935575,0.0012297395926686514,1.0,1.0,1.0,1.0,4.506608411814267e-05,1.0,1.0,1.0,1.0,0.0255960041853799,1.859449060376374e-05,6.095026689577666e-05
1.0,1.0,1.0,1.0,1.0,1.0,0.9081664034546576,1.0,1.0,0.07982163361603153,0.00015586848965785824,0.0001353138090067174,1.3743444219565053e-07,1.2465995970492251e-07,1.8680227389369247e-05,0.00014611636307691509,0.03453432164584748,1.0,1.0,1.0,1.0,1.0,1.0,0.903106095464679,1.0,1.0,1.0,1.0,2.953228540396246e-05,1.0,1.0,1.0,1.0,0.119530069410415,9.092623892067907e-05,0.00012410019223498635,1.2011038968485322e-05,0.0009030201445301842,0.013865873717109897,0.033343991208687,3.8896656431112616e-10,9.253229172271192e-10,3.205345571335226e-10,3.070280457915412e-10,3.409169918826597e-05,0.031621150981334056,1.0,1.0,0.0017277400996408958,0.0036877016093418177,0.04414718613074447,0.05012805518120597,1.0,1.0,1.0,1.0,1.0,1.0,0.08519731003415361,0.13827136204925805,0.031517351241262495,0.05707816906716946,1.0,1.0,0.008861530174335563,0.28404294869542845,1.0,1.0,1.0,0.38823598083320243,0.006820773219171958,0.004013830152622464,1.0,1.0,1.0,1.0,1.117510367854008e-05,0.8247630224757068,1.0,1.0,1.0,0.07169919784654243,7.332947027074464e-05,0.00022722675069656597
1.0,1.0,1.0,1.0,1.0,0.6606800075384842,4.878656504623728e-07,8.199207445224214e-07,1.3911585335180818e-05,6.2366196729906185e-09,2.559260829661581e-13,2.0521879027245507e-13,0.45869819872993023,0.4348267621903838,1.0,1.0,1.0,1.0,0.11982187590741615,0.0896404770779214,0.2007698349325893,0.016923656739256943,1.0100973215176658e-05,4.825519706560916e-07,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.300830855277312e-05,1.2606382914951942e-08,1.112306474154201e-13,1.792778969445089e-13,1.0,1.0,1.0,1.0,0.015366673598033941,0.025866686884305164,0.013676172015367244,0.013338860888952107,1.0,1.0,0.17015725284003552,0.8748020253317625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0005351204293138063,4.846659521477776e-06,6.986721772408497e-09,1.62650708831052e-08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00010002098744988563,1.0068172698633775e-07,1.022335761791872e-10,4.3167393146024086e-11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.9549161910748387e-05,5.172804749360082e-09,8.020482940929408e-14,4.565895382956864e-13
1.0,1.0,1.0,1.0,0.6606800075384842,1.0,1.0,1.0,1.0,0.7763850512588708,0.0033915351245679473,0.002992978574332981,2.1535415314440336e-09,1.9370710386153537e-09,4.7084085848321783e-07,4.626430733050788e-06,0.0021708323163439087,0.9802890489662661,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.810953681799393e-07,1.0,1.0,1.0,1.0,1.0,0.002097772946401022,0.0027748519228636514,2.888485498882624e-07,3.54671756650756e-05,0.0007624999785128097,0.002081802640590178,3.660838129458772e-12,9.338643488613376e-12,2.974783699709689e-12,2.8406708717214332e-12,9.165647385302884e-07,0.001962208379681479,1.0,1.0,7.289894420328634e-05,0.00017140217960965695,0.0028664207388673204,0.003299103248182899,1.0,1.0,1.0,1.0,1.0,1.0,0.8221855163547375,1.0,0.0019547014338245376,0.003821317375640161,1.0,1.0,0.0004584094529352868,0.024194063944666985,1.0,0.6917472234632418,1.0,1.0,0.09467298070469955,0.05955222919610279,1.0,1.0,1.0,1.0,2.6656410304599466e-07,0.08553669192455915,1.0,1.0,1.0,0.7073454233072509,0.0017374182211988263,0.004738318259888526
0.0001389607469808095,0.0038756458598925153,0.3874404127709159,0.9081664034546576,4.878656504623728e-07,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.849777251091374e-20,4.1840732761031276e-20,9.992425225067547e-17,2.79910320765872e-15,3.2505006443790456e-11,1.003046154739094e-06,1.0,1.0,1.0,1.0,1.0,1.0,1.7953503502120313e-06,6.534414855031479e-05,0.053131809255161276,0.09863457652574054,2.0739408096281433e-16,4.372884403140151e-06,0.24793026633738072,0.5563048113137922,1.0,1.0,1.0,1.0,4.954822885675154e-17,5.796315176795657e-14,6.320905913120217e-12,3.0420289944974255e-11,7.607795900999109e-24,2.714611925208823e-23,5.738885920287654e-24,5.392036536020253e-24,2.615351372829401e-16,2.7701294059732695e-11,1.0,1.0,1.7110687350443413e-13,6.276144949491069e-13,5.0511691559659244e-11,6.351823299119576e-11,2.139707799668017e-06,0.0032550692875613014,0.080726508179077,0.03581307539699406,1.0,1.0,1.0,1.0,2.7527231589366027e-11,8.022436150153359e-11,4.562898376423763e-05,7.6093087158418505e-06,2.875123571480564e-12,1.6052832635768157e-09,0.0004794529032235773,5.293836158467193e-07,1.0,1.0,1.0,1.0,4.895358552038992e-06,0.0001414236520904135,0.0921324148999334,0.10944725547234946,4.416681599989513e-17,1.3355423470356395e-08,1.0,0.4262632246285276,1.0,1.0,1.0,1.0
0.00021566385055941608,0.005680877799810332,0.5175147081090923,1.0,8.199207445224214e-07,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.091847563199854e-19,9.433782117382217e-20,2.1124862217773854e-16,5.747711774082923e-15,6.085018997226825e-11,1.6692914672559277e-06,1.0,1.0,1.0,1.0,1.0,1.0,2.9610300832538584e-06,0.0001025421528753186,0.07494274142776548,0.13656373011718254,4.3581169036674766e-16,7.105187990631183e-06,0.3374644481954636,0.7408898952756812,1.0,1.0,1.0,1.0,1.0554953697914899e-16,1.1560944953685573e-13,1.2043815154435089e-11,5.6947710147908635e-11,1.8367761720546623e-23,6.490537017732557e-23,1.3876203395786644e-23,1.3039720272829563e-23,5.486375571997627e-16,5.1907589510491364e-11,1.0,1.0,3.3644854711957007e-13,1.2238707861192507e-12,9.40632774975599e-11,1.1812326565780535e-10,3.5111595804770586e-06,0.004797036839434947,0.11203199723852178,0.05069387248605051,1.0,1.0,1.0,1.0,5.1585026740751603e-11,1.4872189912863392e-10,7.212235229936885e-05,1.2327149551015281e-05,5.5066940403484285e-12,2.8763623698301395e-09,0.0007295926532574423,8.89824853738451e-07,1.0,1.0,1.0,1.0,7.944899860906049e-06,0.00021952184555904883,0.1275927128542188,0.15096399773804237,9.417912377316147e-17,2.332156645570996e-08,1.0,0.570142179435001,1.0,1.0,1.0,1.0
0.0023402991886639335,0.045537912872386434,1.0,1.0,1.3911585335180818e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.003797081664169e-17,8.723925580527543e-18,1.3602574793087501e-14,3.1033936609899575e-13,1.9459653003077325e-09,2.6880893510387125e-05,1.0,1.0,1.0,1.0,1.0,1.0,4.5514694202627564e-05,0.0011776081013972766,0.45149714875003916,0.7661562922239427,2.7078209757425594e-14,0.00010269357321473356,1.0,1.0,1.0,1.0,1.0,1.0,7.026564470718857e-15,5.257151788269039e-12,4.2578316754630557e-10,1.8310323038656364e-09,2.5137154071387015e-21,8.41296615788751e-21,1.92292576018991e-21,1.8118012824279712e-21,3.371505323802361e-14,1.6787951718924776e-09,1.0,1.0,1.4519450029054371e-11,4.9395189310213494e-11,2.93048917189062e-09,3.633762190389201e-09,5.345025246771997e-05,0.03896574668424057,0.6431700870049587,0.3242882761696184,1.0,1.0,1.0,1.0,1.6690281850805186e-09,4.514475124074687e-09,0.0008521026758798782,0.00016955793710692304,2.0374267721566695e-10,7.198081608185067e-08,0.0071006738148674245,1.4990731322960004e-05,1.0,1.0,1.0,1.0,0.00011391210973340734,0.002379521152907494,0.7218741965186414,0.8383313412423048,6.301294451138377e-15,5.103534947558369e-07,1.0,1.0,1.0,1.0,1.0,1.0
3.3264348999566065e-06,0.00014170047255198282,0.02867746465916485,0.07982163361603153,6.2366196729906185e-09,0.7763850512588708,1.0,1.0,1.0,1.0,1.0,1.0,5.84590155411776e-23,4.993119459747332e-23,2.0205966221593725e-19,7.10893815231899e-18,1.7327233659500758e-13,1.3792703193274086e-08,1.0,1.0,1.0,1.0,1.0,1.0,2.6091533445310955e-08,1.4259754087624782e-06,0.0028496018007086454,0.0057715334489637565,4.402442327699044e-19,6.975332537402503e-08,0.016905748028339888,0.04437261010699754,1.0,1.0,1.0,1.0,9.559674749749885e-20,1.8435148938042473e-16,2.960740713476416e-14,1.6136632313554838e-13,5.35326903254041e-27,2.058284558070029e-26,3.9717080388938364e-27,3.71789609625012e-27,5.644516995442814e-19,1.4577119498551948e-13,1.0,0.5862133821623264,5.933549147961037e-16,2.4292561525796602e-15,2.7869455280435245e-13,3.5725784002756234e-13,3.158984279545859e-08,0.00011671984361792427,0.0045906646730043575,0.001813865265722189,1.0,1.0,1.0,1.0,1.4482226544586103e-13,4.595238925491934e-13,9.557863878430342e-07,1.2951631110433476e-07,1.2577785060241593e-14,1.1886722880233101e-11,1.3419525889070568e-05,6.830946565941675e-09,1.0,1.0,1.0,1.0,7.923956570322983e-08,3.3929757059248323e-06,0.005337853759797609,0.006523513989055341,8.454143254199766e-20,1.1985773299322742e-10,0.29664097094043723,0.032212867411541724,1.0,1.0,1.0,1.0
