algorithm,init,crossover,GD+
RVEA,greedy_multi,HUX,0.06932019481664793
RVEA,greedy_multi,UX,0.07004067995017352
RVEA,greedy_multi,2P,0.07240820775763723
RVEA,greedy_multi,1P,0.0764434994837475
AGEMOEA2,greedy_multi,UX,0.09149933642658141
AGEMOEA2,greedy_multi,HUX,0.09259363865860767
AGEMOEA2,greedy_multi,1P,0.10122368375669273
AGEMOEA2,greedy_multi,2P,0.10168327026177183
NSGA3,greedy_multi,HUX,0.1122020274476386
UNSGA3,greedy_multi,HUX,0.11313771314119832
UNSGA3,greedy_multi,UX,0.11381674536306445
NSGA3,greedy_multi,UX,0.11414756134944729
NSGA3,greedy_multi,1P,0.11530369541195692
SMSEMOA,greedy_multi,HUX,0.11721444526651993
SMSEMOA,greedy_multi,2P,0.11733611653309332
UNSGA3,greedy_multi,2P,0.11880526305039009
UNSGA3,greedy_multi,1P,0.12111189578043649
SMSEMOA,greedy_multi,1P,0.12215613116482975
NSGA3,greedy_multi,2P,0.1235713169288948
SMSEMOA,greedy_multi,UX,0.12488467298397998
SPEA2,greedy_multi,HUX,0.18704324585743243
NSGA2,greedy_multi,UX,0.18720503696690763
SPEA2,greedy_multi,UX,0.18958123752411396
SPEA2,greedy_multi,2P,0.19719167791774278
NSGA2,greedy_multi,HUX,0.19787641952064264
SPEA2,greedy_multi,1P,0.19906736114269982
NSGA2,greedy_multi,2P,0.21125432578258904
NSGA2,greedy_multi,1P,0.21515115882021438
SMSEMOA,greedy_ting,HUX,0.3305623055351127
SMSEMOA,greedy_ting,UX,0.3387602934746017
SMSEMOA,greedy_ting,1P,0.3423208736086684
NSGA3,greedy_ting,2P,0.34803198064183233
NSGA3,greedy_ting,1P,0.35513376438185495
UNSGA3,greedy_ting,UX,0.3575467281461441
UNSGA3,greedy_ting,2P,0.3597838056238365
UNSGA3,greedy_ting,1P,0.3648760553325247
UNSGA3,greedy_ting,HUX,0.3665205515951436
AGEMOEA2,greedy_ting,UX,0.36785374770056367
SMSEMOA,greedy_ting,2P,0.368644320375336
AGEMOEA2,greedy_ting,HUX,0.3698780741399268
NSGA3,greedy_ting,UX,0.3741068958504072
SPEA2,greedy_ting,2P,0.3752665054615421
NSGA3,greedy_ting,HUX,0.37531751272294017
SPEA2,greedy_ting,1P,0.3793577085331836
AGEMOEA2,greedy_ting,2P,0.3811950046588223
AGEMOEA2,greedy_ting,1P,0.3917961005930493
SPEA2,greedy_ting,HUX,0.42121277273377106
SPEA2,greedy_ting,UX,0.4243513733852039
NSGA2,greedy_ting,1P,0.46001334051570075
NSGA2,greedy_ting,2P,0.4674779130059577
RVEA,greedy_ting,2P,0.476718715853991
NSGA2,greedy_ting,HUX,0.48286649224846195
NSGA2,greedy_ting,UX,0.48711475675389215
RVEA,greedy_ting,UX,0.493517606335579
RVEA,greedy_ting,HUX,0.49651844124894506
RVEA,greedy_ting,1P,0.5105369832852031
SMSEMOA,random_dense,UX,0.5119465956078408
SMSEMOA,random_dense,HUX,0.5122546352271471
SPEA2,random_dense,UX,0.584278598402571
SPEA2,random_dense,HUX,0.5862163709907195
UNSGA3,random_dense,HUX,0.5952667052968038
NSGA3,random_dense,HUX,0.5962786824995655
UNSGA3,random_dense,UX,0.5981380922766982
NSGA3,random_dense,UX,0.5987526551305132
AGEMOEA2,random_dense,UX,0.6359354649079815
SMSEMOA,random_dense,2P,0.642723824982019
AGEMOEA2,random_dense,HUX,0.644411219066109
SPEA2,random_dense,2P,0.6581563238020284
NSGA2,random_dense,UX,0.6590522296710668
RVEA,random_dense,HUX,0.6605191028377817
RVEA,random_dense,UX,0.6607174727100522
NSGA2,random_dense,HUX,0.6614835850792203
SMSEMOA,random_dense,1P,0.6706635618936861
SPEA2,random_dense,1P,0.7041590364174922
UNSGA3,random_dense,2P,0.7097513573110394
NSGA3,random_dense,2P,0.710877316197263
AGEMOEA2,random_dense,2P,0.7214077145724567
RVEA,random_dense,2P,0.7352505163062407
UNSGA3,random_dense,1P,0.7423662214481562
NSGA3,random_dense,1P,0.7448772117114622
AGEMOEA2,random_dense,1P,0.7466342402300575
NSGA2,random_dense,2P,0.754494525872594
RVEA,random_dense,1P,0.7595158876994235
NSGA2,random_dense,1P,0.7822959052401595
