algorithm,init,crossover,IGD+
NSGA2,greedy_multi,HUX,0.000723060671473181
NSGA2,greedy_multi,UX,0.0010240764488334434
NSGA2,greedy_multi,2P,0.0010764692850999855
NSGA2,greedy_multi,1P,0.0011045520481338552
UNSGA3,greedy_multi,HUX,0.0017970670257260206
NSGA3,greedy_multi,HUX,0.0019120675423913247
NSGA3,greedy_multi,1P,0.002016769681758447
UNSGA3,greedy_multi,UX,0.002174706597819453
NSGA3,greedy_multi,2P,0.002253741211196222
UNSGA3,greedy_multi,2P,0.002284933010841209
NSGA3,greedy_multi,UX,0.0024510409442293785
NSGA2,greedy_ting,HUX,0.0025055236770119404
UNSGA3,greedy_multi,1P,0.002605693450215048
NSGA2,greedy_ting,UX,0.002983181490022988
SPEA2,greedy_multi,1P,0.0035415687443150832
RVEA,greedy_multi,2P,0.0035727406383010696
AGEMOEA2,greedy_multi,1P,0.003695830121113935
SPEA2,greedy_multi,2P,0.0039015607751214567
SMSEMOA,greedy_multi,UX,0.004096172136687529
RVEA,greedy_multi,1P,0.00418146575611368
SMSEMOA,greedy_multi,2P,0.004191474561247612
AGEMOEA2,greedy_multi,2P,0.004320499034639347
AGEMOEA2,greedy_multi,HUX,0.0044184309663317725
AGEMOEA2,greedy_multi,UX,0.004698388528412008
SPEA2,greedy_multi,UX,0.004796150654714087
RVEA,greedy_multi,UX,0.0049034933515305825
NSGA2,greedy_ting,2P,0.004916145802396924
SMSEMOA,greedy_multi,HUX,0.004974256472270794
SPEA2,greedy_multi,HUX,0.004984122783090673
RVEA,greedy_multi,HUX,0.0052407584923362975
UNSGA3,greedy_ting,UX,0.005578032895269705
NSGA3,greedy_ting,UX,0.005785037064041452
SMSEMOA,greedy_multi,1P,0.005913396520401396
UNSGA3,greedy_ting,HUX,0.006069671346298201
NSGA3,greedy_ting,HUX,0.006137520158144335
NSGA2,greedy_ting,1P,0.006273468863988351
AGEMOEA2,greedy_ting,HUX,0.007049760820856319
AGEMOEA2,greedy_ting,UX,0.007311994423294074
SPEA2,greedy_ting,HUX,0.008217744439537291
AGEMOEA2,greedy_ting,2P,0.008399096023320228
SMSEMOA,greedy_ting,UX,0.009867973322423718
SMSEMOA,greedy_ting,HUX,0.010004083299284735
SMSEMOA,greedy_ting,1P,0.01020824826457626
AGEMOEA2,greedy_ting,1P,0.010371129793959348
SMSEMOA,greedy_ting,2P,0.01129725732746847
SPEA2,greedy_ting,UX,0.01145008962646554
NSGA3,greedy_ting,2P,0.011494536047184646
UNSGA3,greedy_ting,2P,0.012613467520099652
NSGA3,greedy_ting,1P,0.016596437558405168
SPEA2,greedy_ting,2P,0.01734664482689859
SPEA2,greedy_ting,1P,0.018345264336322345
UNSGA3,greedy_ting,1P,0.018835375633277113
RVEA,greedy_ting,2P,0.025222065183041317
RVEA,greedy_ting,1P,0.031220574957609673
RVEA,greedy_ting,HUX,0.04373371579609927
RVEA,greedy_ting,UX,0.06039662261222496
NSGA2,random_dense,HUX,0.35764117440529297
NSGA2,random_dense,UX,0.3704633204640404
SPEA2,random_dense,UX,0.387849040478092
SPEA2,random_dense,HUX,0.38996702532903116
NSGA3,random_dense,HUX,0.4100496132555864
UNSGA3,random_dense,UX,0.41094172755080627
UNSGA3,random_dense,HUX,0.41286148571255027
NSGA3,random_dense,UX,0.41376195262676413
AGEMOEA2,random_dense,UX,0.4532262542706354
AGEMOEA2,random_dense,HUX,0.45423618455151626
SMSEMOA,random_dense,UX,0.4655220023245615
SMSEMOA,random_dense,HUX,0.4660102010065028
SPEA2,random_dense,2P,0.5393287006362251
NSGA2,random_dense,2P,0.5610861100658807
UNSGA3,random_dense,2P,0.5766243708732036
AGEMOEA2,random_dense,2P,0.5784604349952399
NSGA3,random_dense,2P,0.5835069444549058
RVEA,random_dense,UX,0.5866567445579238
RVEA,random_dense,HUX,0.5870372364216802
SPEA2,random_dense,1P,0.5917296556827271
SMSEMOA,random_dense,2P,0.5945451442407822
NSGA2,random_dense,1P,0.6240832498536516
UNSGA3,random_dense,1P,0.6272773690980792
SMSEMOA,random_dense,1P,0.6273408857952253
NSGA3,random_dense,1P,0.6298052621200949
AGEMOEA2,random_dense,1P,0.6326798392427542
RVEA,random_dense,2P,0.6759557199186752
RVEA,random_dense,1P,0.69682050438649
