algorithm,init,crossover,MinSum
UNSGA3,random_dense,HUX,1.3712356167284665
NSGA3,random_dense,HUX,1.3717005536098335
NSGA3,random_dense,UX,1.3736622012945736
AGEMOEA2,random_dense,UX,1.3742535928519972
AGEMOEA2,random_dense,HUX,1.3746783042028539
UNSGA3,random_dense,UX,1.3772381152691966
SPEA2,random_dense,UX,1.4014604405118458
SPEA2,random_dense,HUX,1.4053003104771749
UNSGA3,random_dense,2P,1.4216067965818908
AGEMOEA2,random_dense,2P,1.4219277281205673
SMSEMOA,random_dense,HUX,1.4233137508941034
NSGA3,random_dense,2P,1.4239031105192324
SMSEMOA,random_dense,UX,1.4249368338937072
SPEA2,random_dense,2P,1.4307664085729344
NSGA2,random_dense,UX,1.4334677976373353
AGEMOEA2,greedy_ting,HUX,1.4349996119125645
AGEMOEA2,greedy_ting,UX,1.4363685248681028
SMSEMOA,random_dense,2P,1.441830845950891
NSGA2,random_dense,HUX,1.443604015733408
AGEMOEA2,random_dense,1P,1.4450181038521313
UNSGA3,random_dense,1P,1.4476745211770192
NSGA3,random_dense,1P,1.4510785431987632
SPEA2,random_dense,1P,1.452281998194718
SMSEMOA,random_dense,1P,1.4595116612655783
NSGA2,random_dense,2P,1.4756014770491233
NSGA2,greedy_ting,HUX,1.4818080113353487
NSGA2,random_dense,1P,1.48256696249592
NSGA2,greedy_ting,UX,1.4826542621781116
RVEA,random_dense,HUX,1.4827272374194567
RVEA,random_dense,UX,1.4878878058403795
AGEMOEA2,greedy_ting,2P,1.4896931210899802
UNSGA3,greedy_ting,HUX,1.4901075268970352
NSGA3,greedy_ting,UX,1.494335771865011
NSGA3,greedy_ting,HUX,1.4953743666028207
UNSGA3,greedy_ting,UX,1.4954456535659526
AGEMOEA2,greedy_multi,UX,1.497354516875155
AGEMOEA2,greedy_multi,HUX,1.498847864772425
SMSEMOA,greedy_ting,HUX,1.4994376376668614
UNSGA3,greedy_multi,UX,1.500598231394199
NSGA3,greedy_multi,UX,1.5007312162455038
UNSGA3,greedy_multi,HUX,1.500739689230934
SMSEMOA,greedy_ting,UX,1.501189223818788
NSGA3,greedy_multi,HUX,1.5014820292677353
SMSEMOA,greedy_ting,2P,1.5034106650182462
AGEMOEA2,greedy_multi,2P,1.5044427890198162
SPEA2,greedy_ting,HUX,1.5060091628562369
AGEMOEA2,greedy_multi,1P,1.5076055326142013
UNSGA3,greedy_multi,2P,1.5076066155081183
NSGA3,greedy_multi,2P,1.5082644976044024
SPEA2,greedy_multi,HUX,1.5084465712204662
SPEA2,greedy_multi,UX,1.5101094108112578
UNSGA3,greedy_multi,1P,1.5104478453006618
NSGA3,greedy_ting,2P,1.5106347001158367
SMSEMOA,greedy_ting,1P,1.5111526578587973
NSGA3,greedy_multi,1P,1.5112549418738235
NSGA2,greedy_ting,2P,1.5117392078732153
SPEA2,greedy_ting,UX,1.5123578061109038
AGEMOEA2,greedy_ting,1P,1.5128912002888144
UNSGA3,greedy_ting,2P,1.5153701097527648
SPEA2,greedy_ting,2P,1.5179041199516108
SPEA2,greedy_multi,2P,1.5189314667650993
SMSEMOA,greedy_multi,UX,1.5192711121071685
RVEA,greedy_multi,UX,1.5198018256168735
SMSEMOA,greedy_multi,HUX,1.5198191281258322
SPEA2,greedy_multi,1P,1.519938776094808
NSGA2,greedy_ting,1P,1.5203835980822793
RVEA,greedy_multi,HUX,1.5207887009934762
RVEA,random_dense,2P,1.5217333846803134
SMSEMOA,greedy_multi,2P,1.5230482315006901
SMSEMOA,greedy_multi,1P,1.5240474721131243
RVEA,greedy_multi,2P,1.52437604494176
SPEA2,greedy_ting,1P,1.5252947134416832
NSGA2,greedy_multi,UX,1.5292521763600448
RVEA,greedy_multi,1P,1.5308325384973824
RVEA,random_dense,1P,1.530948429155819
NSGA3,greedy_ting,1P,1.5322887825447509
NSGA2,greedy_multi,HUX,1.532423539513173
UNSGA3,greedy_ting,1P,1.534282458775017
NSGA2,greedy_multi,1P,1.5418429568476488
NSGA2,greedy_multi,2P,1.543412377689989
RVEA,greedy_ting,2P,1.6026558590326279
RVEA,greedy_ting,1P,1.6117127278168906
RVEA,greedy_ting,HUX,1.6134595426443208
RVEA,greedy_ting,UX,1.6150325917140216
