algorithm,init,crossover,Range
NSGA2,greedy_ting,UX,1.625899024058371
NSGA2,greedy_ting,HUX,1.6197652860793863
NSGA2,greedy_ting,2P,1.5935277360383369
NSGA2,greedy_ting,1P,1.5814604817642146
AGEMOEA2,greedy_ting,1P,1.5698196463168939
AGEMOEA2,greedy_ting,2P,1.5544337821768164
AGEMOEA2,greedy_ting,UX,1.55024194674805
AGEMOEA2,greedy_ting,HUX,1.5472323602931206
SMSEMOA,greedy_ting,1P,1.460275226274913
SMSEMOA,greedy_ting,2P,1.435393183689755
SMSEMOA,greedy_ting,HUX,1.4346985269094166
NSGA3,greedy_ting,1P,1.4342886172225797
SMSEMOA,greedy_ting,UX,1.4340476720971203
UNSGA3,greedy_ting,1P,1.4241304413406948
UNSGA3,greedy_ting,2P,1.4112185001210453
NSGA3,greedy_ting,2P,1.4068639583566087
SPEA2,greedy_ting,UX,1.4018843126268208
SPEA2,greedy_ting,HUX,1.4008503461782102
NSGA3,greedy_ting,UX,1.3991197193654317
NSGA3,greedy_ting,HUX,1.3931493024338855
UNSGA3,greedy_ting,HUX,1.3927262232949367
UNSGA3,greedy_ting,UX,1.3804529449542968
RVEA,greedy_ting,1P,1.3684576251732818
RVEA,greedy_ting,2P,1.3061775578444947
RVEA,greedy_ting,HUX,1.2286766390307011
RVEA,greedy_ting,UX,1.2092394422768264
SPEA2,greedy_ting,1P,1.1976220861351734
NSGA2,random_dense,HUX,1.1146862022262543
SPEA2,greedy_ting,2P,1.1099769221173401
NSGA2,random_dense,UX,1.0889543713085803
NSGA2,random_dense,2P,0.8253515746240474
AGEMOEA2,random_dense,HUX,0.8055630767087368
SPEA2,random_dense,HUX,0.8037756665854713
SPEA2,random_dense,UX,0.8006944451150232
AGEMOEA2,random_dense,UX,0.7780311634455729
NSGA2,random_dense,1P,0.7257872258804385
UNSGA3,random_dense,UX,0.7202278572115924
UNSGA3,random_dense,HUX,0.7151700253465978
NSGA3,random_dense,HUX,0.7150998034333741
NSGA3,random_dense,UX,0.7078129005204966
AGEMOEA2,random_dense,2P,0.6407312630302628
SMSEMOA,random_dense,HUX,0.57853945682587
UNSGA3,random_dense,2P,0.5776145024058034
SMSEMOA,random_dense,UX,0.572450208842572
AGEMOEA2,random_dense,1P,0.5615566821090889
SPEA2,random_dense,2P,0.5523571082689829
SPEA2,random_dense,1P,0.5521763293955926
NSGA3,random_dense,2P,0.5480424603376693
NSGA3,random_dense,1P,0.5305590451575273
UNSGA3,random_dense,1P,0.5194893510191365
SPEA2,greedy_multi,UX,0.4476535406105289
SPEA2,greedy_multi,HUX,0.44333878996179027
NSGA2,greedy_multi,HUX,0.431774696661363
NSGA2,greedy_multi,UX,0.4219061692517258
SPEA2,greedy_multi,2P,0.4207666263434392
NSGA2,greedy_multi,2P,0.41963188912331123
SPEA2,greedy_multi,1P,0.41438118472517776
NSGA2,greedy_multi,1P,0.41207030233564274
SMSEMOA,random_dense,2P,0.4110110826835953
SMSEMOA,random_dense,1P,0.3898388479543822
AGEMOEA2,greedy_multi,2P,0.3825121333914338
AGEMOEA2,greedy_multi,HUX,0.3820785799604274
AGEMOEA2,greedy_multi,UX,0.3784653290223296
UNSGA3,greedy_multi,UX,0.3782434751372623
UNSGA3,greedy_multi,HUX,0.374739158041637
NSGA3,greedy_multi,UX,0.37442855030086397
NSGA3,greedy_multi,2P,0.37039048742797326
NSGA3,greedy_multi,HUX,0.3674480292701949
UNSGA3,greedy_multi,2P,0.36369676852972094
AGEMOEA2,greedy_multi,1P,0.3636765615415213
UNSGA3,greedy_multi,1P,0.35354314586164187
NSGA3,greedy_multi,1P,0.3397128307939574
RVEA,random_dense,UX,0.3297631379282221
RVEA,random_dense,HUX,0.324688735856216
RVEA,random_dense,1P,0.2916996853278514
SMSEMOA,greedy_multi,UX,0.28716680281735024
RVEA,random_dense,2P,0.284923442504629
SMSEMOA,greedy_multi,HUX,0.2828127781233391
RVEA,greedy_multi,UX,0.28239741773169025
SMSEMOA,greedy_multi,1P,0.28062187937383026
SMSEMOA,greedy_multi,2P,0.28013358996636745
RVEA,greedy_multi,HUX,0.27890856503608225
RVEA,greedy_multi,2P,0.2658681558803037
RVEA,greedy_multi,1P,0.2625076183386739
