Compacidad,Tolerancia,Disimilitud,Balance
47.0,11.0,0.43777350233891654,0.005368750524994467
7.0,1.0,0.5088652482269503,0.03328368845652052
15.0,1.0,0.3078014184397163,0.010459232432976237
46.0,11.0,0.4362087573234659,0.005333873539526151
8.0,1.0,0.5095301418439716,0.03154703100636299
14.0,1.0,0.36005572441742656,0.011914369452322935
22.0,4.0,0.4480980012894907,0.008977538253434383
14.0,2.0,0.3914007092198582,0.012436364833771143
30.0,7.0,0.4262706855791962,0.006574429487394454
31.0,6.0,0.4373999084877602,0.007025797217429122
38.0,9.0,0.4504245987308697,0.006039779638119684
28.0,5.0,0.4610562310030395,0.008198971219316176
39.0,9.0,0.4621294780869249,0.006259530118074919
37.0,8.0,0.47024151811385856,0.006797216171795608
23.0,4.0,0.4314292321924144,0.008889195949833494
43.0,11.0,0.4398606300511298,0.005500701302958118
22.0,3.0,0.4564796905222437,0.00987991150652171
41.0,10.0,0.44977080089949834,0.00578641786491011
28.0,5.0,0.4299645390070922,0.007126442511514944
33.0,8.0,0.44847410272942184,0.006772040080166655
17.0,2.0,0.4458698372966208,0.011364754806670579
41.0,10.0,0.44596523092890505,0.005741923498205113
31.0,6.0,0.46834248455730954,0.007778179720586237
19.0,3.0,0.4768103770063456,0.011534695757624896
33.0,7.0,0.48038899634644316,0.007788695238967517
8.0,1.0,0.5090868794326241,0.029228155572531663
10.0,1.0,0.5093971631205674,0.02629467204869
9.0,1.0,0.509160756501182,0.02548301863681518
14.0,1.0,0.31864235055724416,0.011037612570303503
13.0,2.0,0.4999318057828696,0.016670858583423386
15.0,1.0,0.315839243498818,0.010552900871295325
11.0,1.0,0.3616215344938749,0.015726261077792993
7.0,1.0,0.4830293819655522,0.032278216100081004
14.0,1.0,0.3268110435663627,0.01144157465876051
9.0,1.0,0.5092592592592592,0.02723236435805392
15.0,1.0,0.3369385342789598,0.01077108448043642
15.0,1.0,0.3298463356973995,0.010724641477904669
8.0,1.0,0.48559397163120566,0.027939629467204952
9.0,1.0,0.49487785657998423,0.02420544213378254
25.0,4.0,0.39198581560283685,0.007606694834263938
13.0,1.0,0.47108565193671575,0.01547811549726787
10.0,2.0,0.5030141843971631,0.023891623912278025
15.0,1.0,0.42192671394799053,0.01232851787580533
19.0,2.0,0.4855823068309071,0.012188743156824673
40.0,8.0,0.45447695035460994,0.005990595213394705
7.0,1.0,0.5079787234042553,0.03286440481579652
27.0,4.0,0.42146046755975836,0.007376279121403371
11.0,2.0,0.5085428755641522,0.020764015936142112
30.0,5.0,0.4365543735224586,0.006826701338240313
12.0,1.0,0.41954787234042556,0.01620155877994882
35.0,8.0,0.4351570415400203,0.006374345724407183
12.0,1.0,0.36421394799054374,0.014240438071805077
36.0,8.0,0.48384554767533494,0.007159574778574486
29.0,6.0,0.4165138175593055,0.006759069577840805
16.0,2.0,0.44398271276595747,0.011971078380229554
