Compacidad,Tolerancia,Disimilitud,Balance
13.0,1.0,0.42519094380796507,0.027273217768503697
25.0,1.0,0.32836879432624116,0.02593847391982296
11.0,1.0,0.5101547388781431,0.029936152129966958
10.0,1.0,0.4464539007092198,0.028196645037975983
12.0,1.0,0.3885195035460993,0.022485170226388483
14.0,1.0,0.32225177304964536,0.013315287022836967
17.0,1.0,0.2706508135168961,0.009191878093340492
11.0,1.0,0.5101547388781431,0.02835359542168493
10.0,1.0,0.45921985815602834,0.025677405563100407
11.0,1.0,0.40578658929722755,0.021280330518236183
13.0,1.0,0.3579514457174031,0.015199269789865112
15.0,1.0,0.30354609929078014,0.011453146220009126
11.0,1.0,0.47743391360412635,0.02391782760316411
10.0,1.0,0.42730496453900707,0.023828906996629592
17.0,1.0,0.37677304964539005,0.012067321214339462
12.0,1.0,0.4841903073286052,0.025385396407234227
17.0,1.0,0.43544013350020855,0.01708407890268903
141.0,18.0,0.3211671948091142,0.00538227505054652
112.0,9.0,0.3600873860182371,0.011920968626529374
112.0,9.0,0.31530996707193515,0.006801115089722461
91.0,5.0,0.3656281661600811,0.01508767034872465
91.0,5.0,0.3255689346114878,0.010379424429448933
88.0,8.0,0.30241578014184395,0.007535426791313011
73.0,7.0,0.39959195569804723,0.013317888462057628
73.0,7.0,0.36568541727387543,0.009641991731077652
64.0,5.0,0.38299257535460995,0.014083938095916274
57.0,4.0,0.40500186636804775,0.014003171130460767
51.0,4.0,0.3948685857321652,0.01378712276917325
172.0,23.0,0.3671913656605641,0.007147013830069826
163.0,26.0,0.3448092068050298,0.004987986013297615
145.0,17.0,0.36515040352164346,0.006685084815891178
129.0,11.0,0.3581835175105833,0.00744531065542762
92.0,13.0,0.405286386062288,0.008513792012705985
334.0,53.0,0.3364733299358729,0.0035935130492487748
280.0,37.0,0.3443579027355623,0.004936278983356597
280.0,37.0,0.3238253546099291,0.004072982000796975
244.0,25.0,0.3319962795023834,0.005353098585062718
172.0,29.0,0.352929655286162,0.004736036599860853
161.0,21.0,0.3669441874807277,0.007775163499780606
351.0,58.0,0.3406781030894506,0.0037379608082054017
306.0,44.0,0.33767904324850506,0.00417367395016109
250.0,37.0,0.35230496453900706,0.0045364176349278135
179.0,30.0,0.3527923055588573,0.004740150085975291
352.0,62.0,0.339277079303675,0.0034533695318628224
325.0,49.0,0.335354609929078,0.003756606594741672
295.0,39.0,0.33282846495973073,0.004499131510164292
246.0,35.0,0.34022372138615004,0.004639284953750329
340.0,56.0,0.33800323320817693,0.003575102900047231
