Compacidad,Tolerancia,Disimilitud,Balance
10.0,1.0,0.4540780141843972,0.023848618027262115
11.0,1.0,0.39966150870406186,0.01982492498756035
12.0,1.0,0.3571217494089835,0.016105703065182293
16.0,1.0,0.29582225177304966,0.010488281127199102
10.0,1.0,0.49796099290780144,0.028054353088375724
9.0,1.0,0.4662135539795114,0.02696459637000686
10.0,1.0,0.42579787234042554,0.022339788931643387
12.0,1.0,0.3802452718676123,0.018503318486313165
13.0,1.0,0.3241953082378614,0.013051751858469166
10.0,1.0,0.48209219858156027,0.025317608520698278
12.0,1.0,0.4417109929078014,0.020606282511149786
21.0,1.0,0.3953478554542384,0.011080382285368855
12.0,1.0,0.4885490543735225,0.020178913275307506
21.0,2.0,0.45107227288078355,0.015441107512032226
129.0,23.0,0.3436898675023366,0.0038740329622482003
136.0,21.0,0.306744107217355,0.0037018156478685446
100.0,16.0,0.36789007092198583,0.0046313638021226265
102.0,14.0,0.3319687804199694,0.00513008056517111
99.0,15.0,0.30457948277097213,0.003947388781303044
81.0,12.0,0.36347517730496454,0.0063112214636391484
81.0,12.0,0.3297872340425532,0.004972826773808042
71.0,7.0,0.37956997302966733,0.006899122177022695
60.0,8.0,0.3872340425531915,0.007046447194138447
54.0,6.0,0.4169950091935907,0.007466036428408857
50.0,3.0,0.3723936170212766,0.008087178398973903
270.0,48.0,0.3307853953244024,0.0038334130601081935
201.0,34.0,0.33815408771744115,0.00388397788252319
166.0,24.0,0.34286614543279503,0.005012777304857577
166.0,24.0,0.32587798000512685,0.004003506321314095
133.0,21.0,0.3555364475017331,0.004465877427119083
119.0,15.0,0.34841170510757496,0.004422813160805204
90.0,13.0,0.36829196217494087,0.0053118011077950816
310.0,55.0,0.3293582704186685,0.0032733012922727825
247.0,42.0,0.34096031814396877,0.0035844290957931855
246.0,42.0,0.3233797497549444,0.003312953893948458
176.0,27.0,0.34935122501611865,0.004417449160183874
153.0,23.0,0.35919320446854863,0.004896691831788528
345.0,59.0,0.3286797204234762,0.003462302647560387
289.0,44.0,0.33692237846327516,0.0034865854737352693
236.0,39.0,0.33352115638898905,0.004061908893592692
173.0,31.0,0.3435411798466773,0.0038967186713230813
298.0,51.0,0.32516719025179686,0.0036088887756611007
256.0,44.0,0.34183150487588654,0.003652260304816473
227.0,38.0,0.3448503452369794,0.0035051857806554297
341.0,57.0,0.32742403444187934,0.0034641115234950526
