Compacidad,Tolerancia,Disimilitud,Balance
7.0,1.0,0.4830293819655522,0.032278216100081004
7.0,1.0,0.5088652482269503,0.03328368845652052
8.0,1.0,0.46254432624113473,0.026688827822418437
11.0,2.0,0.47807865892972273,0.020781397247506918
37.0,4.0,0.43140214682767875,0.005937812981211934
36.0,8.0,0.40181737588652483,0.005849046982904775
29.0,7.0,0.4260210320371729,0.007423360433341744
12.0,1.0,0.33865248226950356,0.013146450547423794
20.0,4.0,0.43093971631205674,0.009867202039635785
15.0,3.0,0.5037234042553191,0.017574788743021298
28.0,1.0,0.3547049138804458,0.006049337587664391
17.0,1.0,0.2935440133500209,0.00872687897401295
47.0,12.0,0.43879206277350236,0.005588385783938661
32.0,7.0,0.5031028368794326,0.00853702577209392
9.0,1.0,0.42671394799054374,0.022012921326336213
30.0,1.0,0.3659278959810875,0.005741179986195651
46.0,8.0,0.40519966080789394,0.004637977805727631
33.0,6.0,0.4939555125725339,0.00811884128262885
31.0,5.0,0.35578242964996565,0.005546116425771842
9.0,1.0,0.4548857368006305,0.02379431537400638
19.0,1.0,0.44965472191116085,0.011576077714339321
18.0,3.0,0.4093282111899133,0.010770505708813124
12.0,2.0,0.5004432624113475,0.019158589964455346
44.0,7.0,0.39829142488716957,0.0046292096029225
11.0,2.0,0.5068504190844616,0.022680344485640085
27.0,7.0,0.493892828999212,0.009453017573906352
17.0,1.0,0.43700458906967043,0.011939944051187657
15.0,1.0,0.4700945626477541,0.015023710522050565
18.0,1.0,0.48744089834515364,0.013252325002747842
28.0,2.0,0.3531534954407295,0.0058640965723092756
22.0,1.0,0.3895067698259188,0.008254583521955572
18.0,2.0,0.3243695823483057,0.008150103843175549
11.0,1.0,0.36129916183107674,0.015900697736241396
8.0,1.0,0.5050975177304965,0.027844139426462418
14.0,2.0,0.4214159067882472,0.01391156446545705
32.0,2.0,0.39561170212765956,0.005981684774407719
21.0,3.0,0.3916328942924688,0.00934822219131267
30.0,2.0,0.366903073286052,0.005854948052020621
39.0,10.0,0.46056101109292596,0.006309632529692379
16.0,1.0,0.4163896276595745,0.01238472119560597
17.0,1.0,0.45807259073842305,0.012395813916331613
38.0,4.0,0.3829087346024636,0.004867978822156655
37.0,4.0,0.4094546674333908,0.005636251524731379
28.0,5.0,0.40286220871327255,0.007078035869546226
20.0,3.0,0.4153368794326241,0.009676127646999764
40.0,9.0,0.42054521276595747,0.005468297601195847
