algorithm,init,run,seed,elapsed_sec,n_solutions_final_front,Range,SumMin,MinSum,MaxToleranceRate,AvgToleranceRate,AvgHammingDistance,Hypervolume
NSGA2,random,1,896979,285.0198106765747,200,2.0529074529856746,0.5552403498989864,1.126208923544425,0.028368794326241134,0.017701801411235646,189.42731582633053,0.33635516622156214
NSGA2,random,2,7744030,286.03087425231934,200,2.0523758192929495,0.5994307837259208,1.153117527381078,0.026058631921824105,0.016429412737283534,201.72529551820728,0.3154664416715481
NSGA2,random,3,6550185,284.3919174671173,200,2.1790913104575496,0.5339651294810591,1.124921325478275,0.02867383512544803,0.017551118353659582,188.98554971988793,0.34520734212336185
NSGA2,random,4,4393254,291.55978631973267,200,2.236233764253699,0.5590012447588274,1.136607921829798,0.027491408934707903,0.016923055624411324,197.03862675070027,0.3288602567458125
NSGA2,random,5,4334622,290.5809624195099,200,2.3018411628018063,0.5320906820503538,1.1477411570478735,0.02666666666666667,0.016712821022372325,193.15826610644254,0.33358019650769405
NSGA2,greedy_hybrid,1,902106,287.21739172935486,200,1.187038737286793,1.0394283321143338,1.242537228975945,0.10344827586206896,0.057168043240519745,31.99583823529412,0.14135155977979308
NSGA2,greedy_hybrid,2,7749157,291.99143052101135,200,1.1602073019778398,1.0513497436139463,1.2423356133613104,0.10714285714285714,0.057343528107393425,34.273677871148465,0.1395647359709753
NSGA2,greedy_hybrid,3,6555312,283.196115732193,200,0.9997214249492179,1.1944034917063038,1.3657776711544698,0.1,0.05438074924645129,32.49761904761905,0.10780019703778497
NSGA2,greedy_hybrid,4,4398381,283.63967061042786,200,1.3501561760615315,0.8998620417238118,1.1195674380311238,0.09090909090909091,0.059108008177890976,37.659446778711484,0.17681374942634537
NSGA2,greedy_hybrid,5,4339749,280.49022936820984,200,1.1379606009048266,1.060312022680925,1.2428379307496114,0.0967741935483871,0.05958281091871939,31.298705882352937,0.13157184175056855
NSGA2,greedy_pure,1,893454,279.2909646034241,200,0.6984543917290663,1.2738183685007256,1.367013859991118,0.1,0.06833864758658895,22.092123949579832,0.06833821078175853
NSGA2,greedy_pure,2,7740505,278.9139666557312,200,0.7011124789881047,1.2724654161277122,1.3668243400197253,0.10416666666666667,0.06829318158754633,22.14667717086835,0.06916792302545373
NSGA2,greedy_pure,3,6546660,279.7295300960541,200,0.7161311984236315,1.2668305751260003,1.3674912592620179,0.1111111111111111,0.07175231358908492,23.309672969187677,0.07225490008457473
NSGA2,greedy_pure,4,4389729,280.2132077217102,200,0.6907531806062422,1.277840317332115,1.3667989254570203,0.11538461538461539,0.07169350203911062,21.565168767507004,0.06628861270145281
NSGA2,greedy_pure,5,4331097,279.43662786483765,200,0.6846637402109427,1.2805272406730641,1.367344629795558,0.10810810810810811,0.06671810844633351,21.303927170868345,0.06465566378863588
NSGA3,random,1,900546,278.3848898410797,40,2.1529644428439587,0.6105961452042089,1.0868958598829885,0.0326530612244898,0.017215843528413117,154.10879551820727,0.35005625144794283
NSGA3,random,2,7747597,279.30477023124695,51,2.524208564061192,0.6598261122850311,1.1072978216401064,0.030534351145038167,0.015554439964993656,154.3551820728291,0.3374791393776915
